순위,브랜드,제품명,카테고리,평점,리뷰수,가격(円),발매일,url,업로드일,상품ID
1,クレ・ド・ポー ボーテ,ヴォワールコレクチュールｎ,化粧下地,5.7,14343,7700,2020/3/21,https://www.cosme.net/products/10188648/,2025-02-20 23:26:48,10188648
2,コスメデコルテ,ルージュデコルテ　クリームグロウ,口紅,5.2,914,5500,2025/1/16,https://www.cosme.net/products/10265098/,2025-02-20 23:26:48,10265098
3,ロージーローザ,マルチファンデパフ ２Ｐ,パフ・スポンジ,5.5,4647,638,2023/11/1,https://www.cosme.net/products/10243404/,2025-02-20 23:26:48,10243404
4,ロージーローザ,リアルックミラー,その他メイクグッズ,5.1,3449,495,2015/10/27,https://www.cosme.net/products/10101720/,2025-02-20 23:26:48,10101720
5,キャンメイク,クリーミータッチライナー,ジェルアイライナー,5.4,19806,715,2018/3/1,https://www.cosme.net/products/10147158/,2025-02-20 23:26:48,10147158
6,アテニア,スキンクリア クレンズ オイル アロマタイプ,オイルクレンジング,5.6,9450,1980,2023/11/15,https://www.cosme.net/products/10243030/,2025-02-20 23:26:48,10243030
7,ランコム,ジェニフィック アルティメ セラム,ブースター・導入液,5.8,5094,11990,2024/9/6,https://www.cosme.net/products/10259468/,2025-02-20 23:26:48,10259468
8,ナンバーズイン(numbuzin),5番 白玉グルタチオンCふりかけマスク,シートマスク・パック,5.2,6482,290,2024/1/15,https://www.cosme.net/products/10245780/,2025-02-20 23:26:48,10245780
9,d プログラム,モイストケア ローション MB,化粧水,5.4,5999,3025,2020/8/21,https://www.cosme.net/products/10194929/,2025-02-20 23:26:48,10194929
10,SK-II,スキンパワーアドバンスト クリーム,フェイスクリーム,5.9,4547,17600,2023/8/20,https://www.cosme.net/products/10240630/,2025-02-20 23:26:48,10240630
11,ケイト,リップモンスター,口紅,5.4,24515,1540,2021/5/1,https://www.cosme.net/products/10206485/,2025-02-20 23:26:48,10206485
12,セザンヌ,超細芯アイブロウ,アイブロウペンシル,5.5,15981,550,2018/3/26,https://www.cosme.net/products/10146071/,2025-02-20 23:26:48,10146071
13,コスメデコルテ,ルース パウダー,ルースパウダー,5.7,6446,6050,2024/1/16,https://www.cosme.net/products/10248076/,2025-02-20 23:26:48,10248076
14,KANEBO,カネボウ シャドウオンフェース,ジェル・クリームチーク,5.2,2290,3300,2023/8/4,https://www.cosme.net/products/10240190/,2025-02-20 23:26:48,10240190
15,rom&nd,ハンオールブロウカラ,眉マスカラ,5.4,5885,1210,2023/7/27,https://www.cosme.net/products/10235626/,2025-02-20 23:26:48,10235626
16,ヒロインメイク,スピーディーマスカラリムーバー,ポイントメイクリムーバー,6.0,12435,924,2017/2/8,https://www.cosme.net/products/10124096/,2025-02-20 23:26:48,10124096
17,オルビス,エッセンスインヘアミルク,アウトバストリートメント,5.1,15570,1100,2011/10/1,https://www.cosme.net/products/10029390/,2025-02-20 23:26:48,10029390
18,ルルルン,ルルルン ハイドラ EX マスク,シートマスク・パック,5.4,4688,880,2023/11/1,https://www.cosme.net/products/10245884/,2025-02-20 23:26:48,10245884
