상품ID,제조사,브랜드명,카테고리,베스트_코스메,카테고리_랭킹
10188648,資生堂インターナショナル,クレ・ド・ポー ボーテ,ベースメイク > 化粧下地・コンシーラー > 化粧下地,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 殿堂入り', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 @cosme SHOPPING ベストヒット賞 総合 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2023 ベスト化粧下地 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2023 価格別賞 ハイプライス部門 化粧下地 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2022 ベスト化粧下地 第1位', 'BestCosme_Award_6': '@cosmeベストコスメアワード2022 価格別賞 ハイプライス部門 化粧下地 第1位'}",化粧下地ランキング 1位
10265098,コスメデコルテ,コスメデコルテ,メイクアップ > 口紅・グロス・リップライナー > 口紅,,口紅ランキング 3位
10243404,ロージーローザ,ロージーローザ,美容グッズ・美容家電 > メイクアップグッズ > パフ・スポンジ,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベスト美容グッズ 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 上半期新作コスメ 総合 第3位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 上半期新作ベスト美容グッズ 第1位'}",パフ・スポンジランキング 1位
10101720,ロージーローザ,ロージーローザ,美容グッズ・美容家電 > メイクアップグッズ > その他メイクグッズ,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベスト美容グッズ 第3位'},その他メイクグッズランキング 1位
10147158,井田ラボラトリーズ,キャンメイク,メイクアップ > アイライナー > ジェルアイライナー,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2022 殿堂入り', 'BestCosme_Award_2': '@cosmeベストコスメアワード2021 ベストアイライナー 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2020 ベストアイライナー 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2019 ベストアイライナー 第3位'}",ジェルアイライナーランキング 1位
10243030,アテニア,アテニア,スキンケア・基礎化粧品 > クレンジング > オイルクレンジング,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 総合大賞', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 ベストクレンジング 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 クレンジング 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2024 上半期新作コスメ 総合大賞', 'BestCosme_Award_5': '@cosmeベストコスメアワード2024 上半期新作ベストクレンジング 第1位', 'BestCosme_Award_6': '@cosmeベストコスメアワード2024 上半期新作コスメ 価格別賞 ロープライス部門 クレンジング 第1位', 'BestCosme_Award_7': '@cosmeベストコスメアワード2024 @cosme SHOPPING 上半期新作ベストヒット賞 総合 第1位', 'BestCosme_Award_8': '@cosmeベストコスメアワード2024 @cosme STORE 上半期新作ベストヒット賞 総合 第2位'}",オイルクレンジングランキング 1位
10259468,ランコム,ランコム,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液 > スキンケア・基礎化粧品 > 化粧水 > ブースター・導入液,,美容液ランキング 2位
10245780,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストシートマスク 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ミドルプライス部門 シートマスク 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 上半期新作ベストシートマスク 第3位'}",シートマスク・パックランキング 1位
10194929,資生堂インターナショナル,d プログラム,スキンケア・基礎化粧品 > 化粧水 > 化粧水,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベスト化粧水 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ミドルプライス部門 化粧水 第1位'}",化粧水ランキング 2位
10240630,P＆Gプレステージ,SK-II,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,フェイスクリームランキング 1位
