순위,브랜드,제품명,카테고리,평점,리뷰수,가격(円),발매일,url,업로드일,상품ID
1,VT(ブイティー),CICA デイリースージングマスク,シートマスク・パック,5.2,クチコミ10040件,2420,2019/12/2,https://www.cosme.net/products/10189359/,2025-02-21 01:44:59,10189359
2,the SAEM,CPチップコンシーラー,コンシーラー,4.6,クチコミ8808件,858,- (2018/8/22追加発売),https://www.cosme.net/products/10145207/,2025-02-21 01:44:59,10145207
3,rom&nd,ジューシーラスティングティント,口紅,4.9,クチコミ6715件,1320,2019/11/21 (2024/4/20追加発売),https://www.cosme.net/products/10176465/,2025-02-21 01:44:59,10176465
4,TIRTIR,MASK FIT RED CUSHION,リキッドファンデーション,4.8,クチコミ6539件,2970,2021/12/11 (2024/7/17追加発売),https://www.cosme.net/products/10217471/,2025-02-21 01:44:59,10217471
5,ナンバーズイン(numbuzin),5番 白玉グルタチオンCふりかけマスク,シートマスク・パック,5.2,クチコミ6484件,1090,2024/1/15,https://www.cosme.net/products/10245780/,2025-02-21 01:44:59,10245780
6,rom&nd,ハンオールブロウカラ,眉マスカラ,5.4,クチコミ5885件,1210,2023/7/27 (2024/3/1追加発売),https://www.cosme.net/products/10235626/,2025-02-21 01:44:59,10235626
7,イニスフリー,レチノール シカ リペア セラム,美容液,4.7,クチコミ5573件,3960,2022/2/1 (2024/3/1追加発売),https://www.cosme.net/products/10217712/,2025-02-21 01:44:59,10217712
8,Anua,ドクダミ77 スージングトナー,化粧水,5.0,クチコミ5330件,2380,- (2022/4/25追加発売),https://www.cosme.net/products/10198590/,2025-02-21 01:44:59,10198590
9,Torriden (トリデン),ダイブイン マスク,シートマスク・パック,5.4,クチコミ4721件,2750,- (2023/6/20追加発売),https://www.cosme.net/products/10210539/,2025-02-21 01:44:59,10210539
10,ナンバーズイン(numbuzin),3番 すべすべキメケアシートマスク,シートマスク・パック,5.0,クチコミ4396件,1090,2021/9/10 (2022/11/28追加発売),https://www.cosme.net/products/10216004/,2025-02-21 01:44:59,10216004
