product_id,メーカー,ブランド名,アイテムカテゴリ,ベストコスメ,ランキングIN
10189359,VT COSMETICS,VT(ブイティー),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2023 ベストシートマスク 第3位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2023 価格別賞 ロープライス部門 シートマスク 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2022 ベストシートマスク 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2021 ベストシートマスク 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2021 @cosme STORE ベストヒット賞 総合 第1位', 'BestCosme_Award_6': '@cosmeベストコスメアワード2020 上半期新作ベストシートマスク・パック 第2位'}",シートマスク・パックランキング 13位
10145207,the SAEM international,the SAEM,ベースメイク > 化粧下地・コンシーラー > コンシーラー,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2020 殿堂入り', 'BestCosme_Award_2': '@cosmeベストコスメアワード2020 @cosme STORE ベストヒット賞 ベースメイク 第2位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2019 ベストコンシーラー 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2019 @cosme STORE ベストヒット賞 ベースメイク 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2018 ベストコンシーラー 第1位'}",コンシーラーランキング 11位
10176465,iFAMILYSC,rom&nd,メイクアップ > 口紅・グロス・リップライナー > 口紅,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2022 ベストリキッドルージュ 第2位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2021 ベストリキッドルージュ 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2020 ベストリキッドルージュ 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2020 上半期新作ベストリキッドルージュ 第2位'}",ティントランキング 18位
10217471,TIRTIR,TIRTIR,ベースメイク > ファンデーション > リキッドファンデーション > ベースメイク > ファンデーション > その他ファンデーション,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストクッションファンデ 第2位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2023 ベストクッションファンデ 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2023 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2022 ベストクッションファンデ 第2位', 'BestCosme_Award_6': '@cosmeベストコスメアワード2022 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_7': '@cosmeベストコスメアワード2022 上半期新作ベストクッションファンデ 第1位', 'BestCosme_Award_8': '@cosmeベストコスメアワード2022 上半期新作コスメ 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_9': '@cosmeベストコスメアワード2022 @cosme STORE 上半期新作ベストヒット賞 総合 第2位'}",その他ファンデーションランキング 2位
10245780,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストシートマスク 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ミドルプライス部門 シートマスク 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 上半期新作ベストシートマスク 第3位'}",シートマスク・パックランキング 1位
10235626,iFAMILYSC,rom&nd,メイクアップ > アイブロウ > 眉マスカラ,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 総合 第3位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 ベストアイブロウ 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 アイブロウ 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2023 ベストアイブロウ 第3位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2023 下半期アイブロウ新人賞'}",眉マスカラランキング 1位
10217712,アモーレパシフィックジャパン,イニスフリー,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2023 価格別賞 ミドルプライス部門 美容液 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2022 上半期新作ベスト美容液 第2位'}",
10198590,The Founders,Anua,スキンケア・基礎化粧品 > 化粧水 > 化粧水,,化粧水ランキング 17位
10210539,Torriden,Torriden (トリデン),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストシートマスク 第3位'},シートマスク・パックランキング 3位
10216004,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,韓国コスメランキング 5位
