product_id,メーカー,ブランド名,アイテムカテゴリ,ベストコスメ,ランキングIN
10245780,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストシートマスク 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ミドルプライス部門 シートマスク 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 上半期新作ベストシートマスク 第3位'}",シートマスク・パックランキング 1位
10235626,iFAMILYSC,rom&nd,メイクアップ > アイブロウ > 眉マスカラ,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 総合 第3位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 ベストアイブロウ 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 アイブロウ 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2023 ベストアイブロウ 第3位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2023 下半期アイブロウ新人賞'}",眉マスカラランキング 1位
10210539,Torriden,Torriden (トリデン),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストシートマスク 第3位'},シートマスク・パックランキング 3位
10254107,BENOW,fwee(フィー),メイクアップ > 口紅・グロス・リップライナー > リップグロス,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 下半期リップ新人賞'},リップグロスランキング 1位
10216004,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,韓国コスメランキング 5位
10165317,アモーレパシフィックジャパン,LANEIGE(ラネージュ),スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストリップケア 第3位'},リップケア・リップクリームランキング 4位
10251711,BENOW,fwee(フィー),メイクアップ > 口紅・グロス・リップライナー > 口紅 > メイクアップ > チーク > ジェル・クリームチーク,,ジェル・クリームチークランキング 2位
10171625,アリエルトレーディング,LAGOM(ラゴム),スキンケア・基礎化粧品 > 洗顔料 > その他洗顔料,,その他洗顔料ランキング 2位
10228908,Rainmakers,Wonjungyo,メイクアップ > マスカラ > マスカラ,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストマスカラ 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 マスカラ 第1位'}",マスカラランキング 2位
10218299,Torriden,Torriden (トリデン),スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,リップケア・リップクリームランキング 7位
10251566,フードコスメ,BIOHEAL BOH,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 下半期フェイスクリーム新人賞'},フェイスクリームランキング 10位
10202882,Torriden,Torriden (トリデン),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,美容液ランキング 9位
10235552,Rainmakers,Wonjungyo,メイクアップ > アイシャドウ > ジェル・クリームアイシャドウ,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベスト涙袋・二重メイク 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2023 ベスト涙袋・二重メイク 第2位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2023 上半期新作ベスト涙袋・二重メイク 第1位'}",ジェル・クリームアイシャドウランキング 2位
10248879,Torriden,Torriden (トリデン),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,シートマスク・パックランキング 9位
10256083,BENOW,fwee(フィー),美容グッズ・美容家電 > メイクアップグッズ > メイクブラシ,,メイクブラシランキング 3位
10222192,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,シートマスク・パックランキング 11位
10198590,The Founders,Anua,スキンケア・基礎化粧品 > 化粧水 > 化粧水,,化粧水ランキング 17位
10239308,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,韓国コスメランキング 18位
10192336,アモーレパシフィックジャパン,AESTURA,スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,,フェイスクリームランキング 12位
10263023,The Founders,Anua,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液 > スキンケア・基礎化粧品 > 化粧水 > ブースター・導入液,,ブースター・導入液ランキング 8位
10189359,VT COSMETICS,VT(ブイティー),スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2023 ベストシートマスク 第3位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2023 価格別賞 ロープライス部門 シートマスク 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2022 ベストシートマスク 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2021 ベストシートマスク 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2021 @cosme STORE ベストヒット賞 総合 第1位', 'BestCosme_Award_6': '@cosmeベストコスメアワード2020 上半期新作ベストシートマスク・パック 第2位'}",シートマスク・パックランキング 13位
10222606,Laka COSMETICS,Laka,メイクアップ > 口紅・グロス・リップライナー > 口紅,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストリキッドルージュ 第3位'},ティントランキング 2位
10228909,Rainmakers,Wonjungyo,メイクアップ > チーク > パウダーチーク > メイクアップ > アイシャドウ > パウダーアイシャドウ > コフレ・キット・セット > メイクアップキット・パレット,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストマルチパレット 第1位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2023 ベストマルチパレット 第1位'}",メイクアップキット・パレットランキング 6位
10256344,TIRTIR,TIRTIR,メイクアップ > 口紅・グロス・リップライナー > 口紅 > メイクアップ > 口紅・グロス・リップライナー > リップグロス > スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,ティントランキング 3位
10233050,iFAMILYSC,rom&nd,メイクアップ > 口紅・グロス・リップライナー > 口紅 > スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストリップスティック 第3位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 リップ 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2023 上半期新作ベストリップスティック 第2位'}",口紅ランキング 14位
10248360,The Founders,Anua,スキンケア・基礎化粧品 > 乳液・美容液など > 美容液,,
10254267,VIVAWAVE,hince,メイクアップ > 口紅・グロス・リップライナー > 口紅 > メイクアップ > 口紅・グロス・リップライナー > リップグロス > スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,ティントランキング 5位
10217471,TIRTIR,TIRTIR,ベースメイク > ファンデーション > リキッドファンデーション > ベースメイク > ファンデーション > その他ファンデーション,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストクッションファンデ 第2位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2023 ベストクッションファンデ 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2023 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2022 ベストクッションファンデ 第2位', 'BestCosme_Award_6': '@cosmeベストコスメアワード2022 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_7': '@cosmeベストコスメアワード2022 上半期新作ベストクッションファンデ 第1位', 'BestCosme_Award_8': '@cosmeベストコスメアワード2022 上半期新作コスメ 価格別賞 ロープライス部門 ファンデーション 第1位', 'BestCosme_Award_9': '@cosmeベストコスメアワード2022 @cosme STORE 上半期新作ベストヒット賞 総合 第2位'}",その他ファンデーションランキング 2位
10210133,アモーレパシフィックジャパン,イニスフリー,ベースメイク > フェイスパウダー > ルースパウダー,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2023 ベストパウダー 第3位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2022 ベストパウダー 第2位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2022 価格別賞 ロープライス部門 パウダー 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2021 下半期パウダー新人賞'}",ルースパウダーランキング 4位
10242169,BBIA,BBIA,メイクアップ > 口紅・グロス・リップライナー > 口紅 > メイクアップ > 口紅・グロス・リップライナー > リップグロス,,ティントランキング 6位
10245097,TFIT CLASS,tfit,ベースメイク > 化粧下地・コンシーラー > コンシーラー,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 価格別賞 ロープライス部門 コンシーラー 第1位'},コンシーラーランキング 6位
10259984,アモーレパシフィックジャパン,LANEIGE(ラネージュ),スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,
10260664,The Founders,Anua,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,シートマスク・パックランキング 17位
10254608,Rainmakers,Wonjungyo,ベースメイク > フェイスパウダー > ルースパウダー,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 上半期新作コスメ 価格別賞 ロープライス部門 パウダー 第1位'},ルースパウダーランキング 7位
10177097,愛敬産業,LUNA,ベースメイク > 化粧下地・コンシーラー > コンシーラー,,コンシーラーランキング 8位
10254113,BENOW,fwee(フィー),メイクアップ > チーク > ジェル・クリームチーク,,ジェル・クリームチークランキング 7位
10252994,アモーレパシフィックジャパン,LANEIGE(ラネージュ),スキンケア・基礎化粧品 > 乳液・美容液など > フェイスクリーム,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストスリーピングマスク・パック 第2位', 'BestCosme_Award_2': '@cosmeベストコスメアワード2024 下半期スリーピングマスク新人賞'}",スリーピングマスク・パックランキング 3位
10251887,The Founders,Anua,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,シートマスク・パックランキング 18位
10082122,トゥークールフォースクール,too cool for school,ベースメイク > フェイスパウダー > プレストパウダー,,シェーディングランキング 8位
10263076,Rainmakers,Wonjungyo,メイクアップ > 口紅・グロス・リップライナー > 口紅,,ティントランキング 8位
10145207,the SAEM international,the SAEM,ベースメイク > 化粧下地・コンシーラー > コンシーラー,"{'BestCosme_Award_1': '@cosmeベストコスメアワード2020 殿堂入り', 'BestCosme_Award_2': '@cosmeベストコスメアワード2020 @cosme STORE ベストヒット賞 ベースメイク 第2位', 'BestCosme_Award_3': '@cosmeベストコスメアワード2019 ベストコンシーラー 第1位', 'BestCosme_Award_4': '@cosmeベストコスメアワード2019 @cosme STORE ベストヒット賞 ベースメイク 第1位', 'BestCosme_Award_5': '@cosmeベストコスメアワード2018 ベストコンシーラー 第1位'}",コンシーラーランキング 11位
10241231,Rainmakers,Wonjungyo,メイクアップ > 口紅・グロス・リップライナー > リップグロス > スキンケア・基礎化粧品 > 目元・口元スペシャルケア > リップケア・リップクリーム,,リップグロスランキング 10位
10257961,アリエルトレーディング,FEMMUE（ファミュ）,スキンケア・基礎化粧品 > パック・フェイスマスク > シートマスク・パック,,
10250351,iFAMILYSC,rom&nd,メイクアップ > 口紅・グロス・リップライナー > リップグロス,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 上半期新作ベストリキッドルージュ 第2位'},リップグロスランキング 11位
10248587,The Founders,Anua,スキンケア・基礎化粧品 > クレンジング > オイルクレンジング,,オイルクレンジングランキング 9位
10173734,魔女工場,manyo,スキンケア・基礎化粧品 > クレンジング > オイルクレンジング,,オイルクレンジングランキング 12位
10231697,ＲＯＭ Ｉｎｔｅｒｎａｔｉｏｎａｌ,Dinto,メイクアップ > 口紅・グロス・リップライナー > 口紅 > メイクアップ > 口紅・グロス・リップライナー > リップグロス,,ティントランキング 10位
10251355,BENOW,ナンバーズイン(numbuzin),スキンケア・基礎化粧品 > 化粧水 > 化粧水,,
10199851,AMUSE,AMUSE,メイクアップ > 口紅・グロス・リップライナー > リップグロス,,ティントランキング 11位
10237743,VT COSMETICS,VT(ブイティー),スキンケア・基礎化粧品 > 乳液・美容液など > 美容液 > スキンケア・基礎化粧品 > 化粧水 > ブースター・導入液,{'BestCosme_Award_1': '@cosmeベストコスメアワード2024 ベストブースター 第2位'},ブースター・導入液ランキング 11位
