순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,셀퓨전씨,스킨 블레미쉬 밤 인텐시브 40ml (2개입),4.29,1394,38000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
2,유리피부,셀룸 아마이드 BB 크림[SPF50+/PA++++][브라이트플러스]40g,4.39,385,12900,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
3,아누아,매트벗 글로우 커버 베이지 SPF50+PA++++ 50ml,4.17,346,17900,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
4,프리셜리,크리스탈 비건 비비크림 [SPF38/PA+++] [01 라이트베이지],4.48,254,18200,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
5,피몽쉐,아쿠아 블레미쉬 커버 밤 50ml,4.26,632,61750,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
6,스와니코코,펩타인 바이옴 BB크림 40ml,4.80,15,35000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
7,알렉산더킴스코,로얄 비비크림 50ML,4.35,416,52800,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
8,유리피부,셀룸 아마이드 BB 크림 [SPF50+/PA++++] [내추럴]40g,4.54,56,12900,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
9,에르보리앙,BB 크림 [SPF20] [누드],4.40,10,18000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
10,코르테,더모 프로텍션 리바이벌 밤,4.75,12,46000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
11,토니모리,루미너스 여신광채 비비크림 45g [SPF37/PA++] [01 화사한베이지],3.53,3087,11500,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
12,미샤,M 초보양 비비크림 [21호 화사한베이지] 50ml,4.19,90,19600,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
13,시드물,사카로 BF크림 [23호],3.86,191,16800,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
14,미샤,M 초보양 비비크림 [17호 밝은베이지] 50ml,4.28,54,22400,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
15,슈라멕,블레미쉬 밤 [23호 클래식],4.29,17,28000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
16,비알워터풀,비비크림 [브라이트],3.97,178,49000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
17,파파레서피,블레미쉬 밤 50ml [SPF26/PA++] (2개),4.19,362,45000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
18,입솜,롱래스팅 톤업 비비 [SPF50+/PA++++] 30ml,4.23,783,27000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
19,알렉스,(해외) 로얄 비비크림,3.90,10,,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
20,"디어,클레어스",일루미네이팅 서플 블레미쉬 크림 [SPF40/PA++](모찌비비) 40ml,4.16,97,23000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
21,라시뎀,더마 베리어 이펙트 비건 블레미쉬 밤,4.42,26,25000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
22,프리셜리,크리스탈 비건 비비크림 [SPF38/PA+++] [02 네추럴베이지],4.51,35,18200,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
23,보나쥬르,언더커버 더마 리페어 비비크림 30ml,4.38,91,18000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
24,스킨스쿨,큐어 비비 크림,4.58,36,58000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
25,시드물,메가 펩타이드 에코 하이드로 수딩 비비크림 [23호],4.06,128,28400,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
26,에르보리앙,CC 레드 코렉트 [SPF25],4.11,106,20000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
27,닥터자르트,더메이크업™ 리쥬비네이팅 뷰티밤 [SPF40/PA+++] [01 라이트],3.94,631,31000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
28,시드물,사카로 BF크림 [21호],3.70,442,16800,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
29,옥시젠슈티컬스,인텐시브 블레미쉬 밤,3.82,98,78000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
30,트로이아르케,에스테틱비비 A [SPF50+/PA+++],4.61,18,38000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
31,시바산,메조 블래미쉬 밤,4.19,37,88000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
32,글로우,브리더블 비비크림 [#1],4.21,14,30000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
33,글로우,브리더블 비비크림 [#화이트],3.88,17,30000,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
34,바루랩,[30%] 바루솔 엑스퍼트 비비크림 (30ml),4.53,15,20300,2025-02-20 23:55:56,베이스메이크업,BB_CC크림
