순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,일리윤,세라마이드 아토 로션 더블 (350ml*2개+50ml+크림 75ml*2개),4.56,21024,26500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
2,아토팜,MLE 로션 300ml (2개입),4.73,4031,65000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
3,싸이닉,더 심플 데일리 로션 대용량 기획세트 (260ml+300ml),4.41,21459,21000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
4,에스트라,아토베리어365 로션 150ml기획(바디크림30ml+샤쉐)+크림10ml,4.68,1056,26400,2025-02-20 23:55:56,스킨케어,로션_에멀젼
5,라운드랩,1025 독도 로션 400ml,4.30,25233,25600,2025-02-20 23:55:56,스킨케어,로션_에멀젼
6,코스노리,판테놀 베리어 에멀전 150ml (2개입),4.72,960,31200,2025-02-20 23:55:56,스킨케어,로션_에멀젼
7,아토팜,수딩 젤 로션 160ml(2개입),4.73,1820,33600,2025-02-20 23:55:56,스킨케어,로션_에멀젼
8,세타필,모이스춰라이징 로션,4.49,1278,21500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
9,피지오겔,DMT 페이셜 로션,4.14,12768,26500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
10,라운드랩,소나무 진정 시카 로션 250ml,4.56,701,22500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
11,시드물,울트라 페이셜 모이스처라이징 로션 80g,4.19,7677,9900,2025-02-20 23:55:56,스킨케어,로션_에멀젼
12,더마비,세라엠디 리페어 로션 400ml 2개,4.60,1176,28500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
13,세라베라,아토 판테놀 로션 180ml+180ml+180ml # 덱스판테놀10%,4.76,433,70200,2025-02-20 23:55:56,스킨케어,로션_에멀젼
14,온그리디언츠,스킨 베리어 카밍 로션 220mL,4.41,328,29750,2025-02-20 23:55:56,스킨케어,로션_에멀젼
15,비플레인,캐모마일 약산성 로션 150ml,4.48,4037,15600,2025-02-20 23:55:56,스킨케어,로션_에멀젼
16,벨프리모,히알베리어 아토 로션 200ml,4.59,371,19600,2025-02-20 23:55:56,스킨케어,로션_에멀젼
17,제로이드,수딩 로션,4.25,2371,30000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
18,에스트라,아토베리어 로션,4.73,228,37000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
19,닥터지,더모이스처 배리어.D 데일리 로션,4.39,404,34000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
20,한율,어린쑥 수분진정 플루이드 125ml,4.63,206,27200,2025-02-20 23:55:56,스킨케어,로션_에멀젼
21,와더스킨,저자극 민감성 브리즈 에센스 플루이드 로션 210ml (1+1),4.50,34,29000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
22,딕셔니스트,아미노산 로션 150ml 더블세트,4.62,149,39000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
23,아누아,어성초 70 데일리 로션 200ml,4.53,138,19900,2025-02-20 23:55:56,스킨케어,로션_에멀젼
24,제로이드,인텐시브 로션,4.34,1027,36000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
25,피지오겔,레드수딩 AI 로션,4.25,1209,22500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
26,마녀공장,비피다 바이옴 앰플 로션 300ml,4.37,605,20500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
27,닥터지,레드 블레미쉬 멀티 플루이드,4.18,5434,95000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
28,뉴트로지나,인텐스 리페어 시카 에멀젼 [무향],4.58,233,22000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
29,일소,데일리 모이스처 소프트닝 로션 150ml,4.61,71,20900,2025-02-20 23:55:56,스킨케어,로션_에멀젼
30,이니스프리,비자 트러블 로션 100mL,4.26,202,12800,2025-02-20 23:55:56,스킨케어,로션_에멀젼
31,시드물,아토 로션 200ml,4.16,2589,7800,2025-02-20 23:55:56,스킨케어,로션_에멀젼
32,투데이위드,소프트 모이스쳐 판테놀 5% 에센스 로션 300ml,4.69,45,29000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
33,세타필,모이스춰라이징 로션,4.49,47,43000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
34,리바이포유,컨트롤로션,4.69,58,29000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
35,아토팜,판테놀 로션 180ml,4.69,51,28500,2025-02-20 23:55:56,스킨케어,로션_에멀젼
36,오울루,버치 아토 모이스처 로션_200ml,4.66,853,40000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
37,닥터지,레드 블레미쉬 밸런싱 에센스 플루이드,4.68,71,32000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
38,리얼베리어,익스트림 로션 150ml,4.45,281,26000,2025-02-20 23:55:56,스킨케어,로션_에멀젼
