순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,일리윤,프레쉬 모이스춰 립앤아이 리무버 300ml (2개입),4.80,819,27800,2025-02-20 23:55:56,클렌징,립_아이리무버
2,폰즈,클리어 훼이스 스파 립앤아이 메이크업 리무버,4.51,5192,10900,2025-02-20 23:55:56,클렌징,립_아이리무버
3,코스노리,마이크로 액티브 립앤아이 리무버 100ml (2개입),4.63,1051,16800,2025-02-20 23:55:56,클렌징,립_아이리무버
4,클리오,킬래쉬 마스카라 리무버 [2개입] 8.5g,4.76,508,11000,2025-02-20 23:55:56,클렌징,립_아이리무버
5,이니스프리,애플씨드 립앤아이 메이크업 리무버,4.46,712,9000,2025-02-20 23:55:56,클렌징,립_아이리무버
6,아리얼,아리얼 스트레스 릴리빙 립앤아이 리무버 패드 30매 - (ARSR037)A_립앤아이 리무버 패드 30매,4.54,468,3600,2025-02-20 23:55:56,클렌징,립_아이리무버
7,키스미,히로인메이크 스피디 마스카라 리무버,4.71,403,13000,2025-02-20 23:55:56,클렌징,립_아이리무버
8,에뛰드,립 앤 아이 리무버,4.58,66,7000,2025-02-20 23:55:56,클렌징,립_아이리무버
9,어퓨,미네랄 립 앤 아이 리무버 [스윗로즈] 100ml,4.30,1328,4500,2025-02-20 23:55:56,클렌징,립_아이리무버
10,미샤,퍼펙트 립앤아이 메이크업 리무버 155ml,4.31,936,4500,2025-02-20 23:55:56,클렌징,립_아이리무버
11,바이오더마,센시비오 H2O 아이,4.63,41,18000,2025-02-20 23:55:56,클렌징,립_아이리무버
12,닥터지,그린 딥 립앤아이 리무버,4.57,150,17000,2025-02-20 23:55:56,클렌징,립_아이리무버
13,키스미,아이 젠틀 오프 립앤아이 리무버,4.62,317,24000,2025-02-20 23:55:56,클렌징,립_아이리무버
14,비바이바닐라,립 앤 아이 리무버 클리어 100ml,4.58,125,5850,2025-02-20 23:55:56,클렌징,립_아이리무버
15,어퓨,미네랄 립 앤 아이 리무버 [오마린] 100ml,4.26,1075,4500,2025-02-20 23:55:56,클렌징,립_아이리무버
16,스킨푸드,밀크 쉐이크 포인트 메이크업 리무버 160ml (2개),4.44,216,20000,2025-02-20 23:55:56,클렌징,립_아이리무버
17,포인트앤,딥 클린 립앤아이 리무버 롱패드 88매,4.58,123,14300,2025-02-20 23:55:56,클렌징,립_아이리무버
18,비페스타,저자극 립&아이 메이크업 리무버,4.75,51,10800,2025-02-20 23:55:56,클렌징,립_아이리무버
19,케어존,저자극 립앤아이 리무버,4.30,335,3500,2025-02-20 23:55:56,클렌징,립_아이리무버
20,에뛰드,마스카라 전용 리무버,4.79,14,8500,2025-02-20 23:55:56,클렌징,립_아이리무버
21,식물나라,제주 탄산수 딥 립 앤 아이 리무버,4.41,17,8900,2025-02-20 23:55:56,클렌징,립_아이리무버
22,코스노리,롱 액티브 마스카라 리무버 9g,4.39,18,11000,2025-02-20 23:55:56,클렌징,립_아이리무버
23,산다화,아쿠아 립앤아이 메이크업 리무버 100ml,4.64,28,21000,2025-02-20 23:55:56,클렌징,립_아이리무버
24,랑콤,비파씰 더블 액션 아이 메이크업 리무버,4.53,30,44000,2025-02-20 23:55:56,클렌징,립_아이리무버
25,폴라초이스,젠틀 터치 메이크업 리무버젠틀 터치 메이크업 리무버 127ml,4.47,40,27200,2025-02-20 23:55:56,클렌징,립_아이리무버
26,해서린,선셋 카멜리아 리무버 스틱,4.59,34,7700,2025-02-20 23:55:56,클렌징,립_아이리무버
27,플로디카,마일드 터치 립앤아이 리무버,4.62,101,23000,2025-02-20 23:55:56,클렌징,립_아이리무버
28,페리페라,잉크 립앤아이 리무버,4.06,47,10000,2025-02-20 23:55:56,클렌징,립_아이리무버
29,아리얼,스트레스 릴리빙 미셀라 립 앤 아이 리무버 300ml,3.85,200,19800,2025-02-20 23:55:56,클렌징,립_아이리무버
30,비욘드,라이스 밀크 립 앤 아이 리무버,4.25,24,12000,2025-02-20 23:55:56,클렌징,립_아이리무버
31,더페이스샵,허브데이 립앤아이 메이크업 리무버 [워터프루프],3.97,139,7000,2025-02-20 23:55:56,클렌징,립_아이리무버
32,더페이스샵,미감수 브라이트 립 앤 아이 메이크업 리무버,3.62,249,9000,2025-02-20 23:55:56,클렌징,립_아이리무버
33,VDL,네이키드 립앤아이 메이크업 리무버,4.10,20,18000,2025-02-20 23:55:56,클렌징,립_아이리무버
34,S2ND,마일드 립 앤 아이 리무버,4.39,194,13000,2025-02-20 23:55:56,클렌징,립_아이리무버
