순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,헤라,센슈얼 누드 글로스 [422호 란제리],4.75,255,40000,2025-02-20 23:55:56,립메이크업,립글로스
2,롬앤,글래스팅 컬러 글로스 [01 피오니발레],4.52,214,13000,2025-02-20 23:55:56,립메이크업,립글로스
3,롬앤,글래스팅 워터 글로스 [00 메테오트랙],4.49,785,13000,2025-02-20 23:55:56,립메이크업,립글로스
4,헤라,센슈얼 누드 글로스 [462호 스피치리스],4.69,45,40000,2025-02-20 23:55:56,립메이크업,립글로스
5,페리페라,잉크 글래스팅 립글로스 [8호 러브오브페이트],4.49,35,12000,2025-02-20 23:55:56,립메이크업,립글로스
6,롬앤,글래스팅 컬러 글로스 [04 그레이피웨이],4.69,54,13000,2025-02-20 23:55:56,립메이크업,립글로스
7,롬앤,글래스팅 컬러 글로스 [03 로즈핀치],4.60,42,13000,2025-02-20 23:55:56,립메이크업,립글로스
8,디올,어딕트 립 맥시마이저 [012 로즈우드],4.70,27,49000,2025-02-20 23:55:56,립메이크업,립글로스
9,웰라쥬,리얼 히알루로닉 립 플럼퍼 3.8ml,4.33,12,11200,2025-02-20 23:55:56,립메이크업,립글로스
10,롬앤,글래스팅 컬러 글로스 [02 너티베이그],4.71,48,13000,2025-02-20 23:55:56,립메이크업,립글로스
11,헤라,센슈얼 누드 글로스 [380호 체리쉬],4.56,16,40000,2025-02-20 23:55:56,립메이크업,립글로스
12,롬앤,글래스팅 컬러 글로스 [06 디픈무어],4.48,44,13000,2025-02-20 23:55:56,립메이크업,립글로스
13,네이처리퍼블릭,허니 멜팅 립 [08 블랙체리슈] 2.7g,4.58,12,9900,2025-02-20 23:55:56,립메이크업,립글로스
14,헤라,센슈얼 누드 글로스 [432호 노허슬],4.63,16,40000,2025-02-20 23:55:56,립메이크업,립글로스
15,디올,어딕트 립 맥시마이저 [001 핑크],4.78,32,49000,2025-02-20 23:55:56,립메이크업,립글로스
16,네이처리퍼블릭,허니 멜팅 립 [06 고소한코코넛],4.39,18,14000,2025-02-20 23:55:56,립메이크업,립글로스
17,페리페라,잉크 글래스팅 립글로스 [3호 칠링로지],4.58,12,12000,2025-02-20 23:55:56,립메이크업,립글로스
18,컬러그램,탕후루 탱글 꿀로스 [03 딸기키킥],4.53,19,10000,2025-02-20 23:55:56,립메이크업,립글로스
19,롬앤,글래스팅 워터 글로스 [01 산호크러쉬],4.37,284,13000,2025-02-20 23:55:56,립메이크업,립글로스
20,매드피치,글로우핏 무드 글로스 [물먹피치],4.75,12,13900,2025-02-20 23:55:56,립메이크업,립글로스
21,디올,어딕트 립 맥시마이저 [007 라즈베리],4.67,24,49000,2025-02-20 23:55:56,립메이크업,립글로스
22,롬앤,글래스팅 컬러 글로스 [07 스프링피버],4.69,13,13000,2025-02-20 23:55:56,립메이크업,립글로스
23,롬앤,글래스팅 컬러 글로스 [05 딤모브],4.53,53,13000,2025-02-20 23:55:56,립메이크업,립글로스
24,페리페라,잉크 글래스팅 립글로스 [7호 쏘왓],4.31,13,12000,2025-02-20 23:55:56,립메이크업,립글로스
25,페리페라,잉크 글래스팅 립글로스 [4호 굿온유],4.80,10,12000,2025-02-20 23:55:56,립메이크업,립글로스
26,페리페라,잉크 글래스팅 립글로스 [6호 메이드잇],4.50,14,12000,2025-02-20 23:55:56,립메이크업,립글로스
27,페리페라,잉크 글래스팅 립글로스 [2호 엣지누드],4.37,30,12000,2025-02-20 23:55:56,립메이크업,립글로스
