순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,롬앤,제로 매트 립스틱 [10 핑크샌드],4.42,525,12000,2025-02-20 23:55:56,립메이크업,립스틱
2,클리오,벨벳 립펜슬 기획세트 [2호 피치베이지],4.56,45,9800,2025-02-20 23:55:56,립메이크업,립스틱
3,3CE,소프트 매트 립스틱 [#웨이백],4.57,108,19000,2025-02-20 23:55:56,립메이크업,립스틱
4,퓌,립앤치크 블러리 푸딩팟 [ND04 마이],4.61,62,22000,2025-02-20 23:55:56,립메이크업,립스틱
5,손앤박,아티 스프레드 컬러 밤 [01 선셋],4.64,70,3000,2025-02-20 23:55:56,립메이크업,립스틱
6,맥,레트로 매트 립스틱 [루비우],4.16,6021,37000,2025-02-20 23:55:56,립메이크업,립스틱
7,맥,파우더 키스 립스틱 [멀잇오버],4.49,344,43000,2025-02-20 23:55:56,립메이크업,립스틱
8,손앤박,아티스프레드컬러밤 [03 멜로우],4.55,55,3000,2025-02-20 23:55:56,립메이크업,립스틱
9,클리오,벨벳 립펜슬 기획세트 [1호 로지핑크],4.85,33,9800,2025-02-20 23:55:56,립메이크업,립스틱
10,네이처리퍼블릭,립 스튜디오 쉬어 글로우 립스틱 [01 무드피치] 3.1g,4.81,27,6900,2025-02-20 23:55:56,립메이크업,립스틱
11,클리오,크리스탈 글램밤 [004 꿀사과] (3g),4.57,14,12600,2025-02-20 23:55:56,립메이크업,립스틱
12,샤넬,루쥬 코코 플래쉬 [90호 쥬르],4.72,36,59000,2025-02-20 23:55:56,립메이크업,립스틱
13,홀리카홀리카,멜로우 블러링 립 펜슬 [02 누베이지],4.67,15,11800,2025-02-20 23:55:56,립메이크업,립스틱
14,롬앤,제로 매트 립스틱 [22 모브빈즈],4.42,79,12000,2025-02-20 23:55:56,립메이크업,립스틱
15,홀리카홀리카,멜팅 블러 립 팟 [03 뮤브],4.42,26,11900,2025-02-20 23:55:56,립메이크업,립스틱
16,퓌,립앤치크 블러리 푸딩팟 [ND03 위드아웃],4.19,64,22000,2025-02-20 23:55:56,립메이크업,립스틱
17,에스쁘아,노웨어 립스틱 바밍글로우 [7호 애쉬메이플],4.87,15,24000,2025-02-20 23:55:56,립메이크업,립스틱
18,롬앤,제로 매트 립스틱 [02 올댓재즈],4.27,1118,12000,2025-02-20 23:55:56,립메이크업,립스틱
19,3CE,소프트 매트 립스틱 [머머링],4.59,101,19000,2025-02-20 23:55:56,립메이크업,립스틱
20,클리오,벨벳 립펜슬 기획세트 [3호 커피브라운],4.68,25,9800,2025-02-20 23:55:56,립메이크업,립스틱
21,힌스,무드인핸서 마뜨 립스틱 [얼루어],4.63,103,19000,2025-02-20 23:55:56,립메이크업,립스틱
22,네이처리퍼블릭,립 스튜디오 쉬어 글로우 립스틱 [08 던로즈],4.80,25,15000,2025-02-20 23:55:56,립메이크업,립스틱
23,디올,어딕트 립스틱 [DIOR 8],4.93,14,57000,2025-02-20 23:55:56,립메이크업,립스틱
24,롬앤,제로 매트 립스틱 [01 더스티핑크],4.36,263,12000,2025-02-20 23:55:56,립메이크업,립스틱
25,롬앤,제로 매트 립스틱 [21 스모크드베이지],4.37,67,12000,2025-02-20 23:55:56,립메이크업,립스틱
26,클리오,벨벳 립펜슬 기획세트 [6호 바닐라코랄],4.70,10,9800,2025-02-20 23:55:56,립메이크업,립스틱
27,3CE,헤이지 립 클레이 [웜브라우니],4.80,20,20000,2025-02-20 23:55:56,립메이크업,립스틱
28,3CE,블러 매트 립스틱 [로지니스],4.82,17,24000,2025-02-20 23:55:56,립메이크업,립스틱
29,하트퍼센트,도트 온 무드 립펜슬 [#01. 피치베이지],4.35,17,14000,2025-02-20 23:55:56,립메이크업,립스틱
30,롬앤,제로 매트 립스틱 [08 어도러블],4.36,162,12000,2025-02-20 23:55:56,립메이크업,립스틱
31,페리페라,잉크 무드 매트 스틱 [006 모브병유발],4.50,107,10500,2025-02-20 23:55:56,립메이크업,립스틱
32,클리오,크리스탈 글램밤 [005 꿀라즈베리],4.73,11,12600,2025-02-20 23:55:56,립메이크업,립스틱
33,맥,파우더 키스 립스틱 [스테이큐리어스],4.59,152,39000,2025-02-20 23:55:56,립메이크업,립스틱
34,삐아,라스트 파우더 립스틱2 [07 진저] 3.5g,4.57,23,10000,2025-02-20 23:55:56,립메이크업,립스틱
35,클리오,크리스탈 글램밤 [001 꿀복숭아],4.41,22,12600,2025-02-20 23:55:56,립메이크업,립스틱
36,네이처리퍼블릭,바이플라워 에코 크레용 립 벨벳 [1호 엔젤블러쉬] 2.8g,4.90,10,3900,2025-02-20 23:55:56,립메이크업,립스틱
37,퓌,립앤치크 블러리 푸딩팟 [MV03 배디],4.71,21,22000,2025-02-20 23:55:56,립메이크업,립스틱
38,맥,파우더 키스 립스틱 [디보티드투칠리],4.58,36,39000,2025-02-20 23:55:56,립메이크업,립스틱
39,에스쁘아,노웨어 립스틱 바밍글로우 [6호 뉴로즈],4.39,23,24000,2025-02-20 23:55:56,립메이크업,립스틱
40,클리오,쉬폰 무드 립 [10호 피그밀푀유],4.80,10,15400,2025-02-20 23:55:56,립메이크업,립스틱
41,3CE,소프트 매트 립스틱 [#헤이지로즈],4.85,13,19000,2025-02-20 23:55:56,립메이크업,립스틱
42,네이처리퍼블릭,립 스튜디오 인텐스 새틴 립스틱 [01 레어베이지] 3.1g,4.80,10,6900,2025-02-20 23:55:56,립메이크업,립스틱
43,클리오,쉬폰 무드 립 [5호 아몬드업],4.77,26,22000,2025-02-20 23:55:56,립메이크업,립스틱
44,클리오,크리스탈 글램밤 [006 꿀무화과],4.59,17,12600,2025-02-20 23:55:56,립메이크업,립스틱
45,라카,본딩 글로우 립스틱 [#201 미로],4.71,14,16000,2025-02-20 23:55:56,립메이크업,립스틱
46,3CE,샤인 리플렉터 [#넥타],4.70,10,21000,2025-02-20 23:55:56,립메이크업,립스틱
47,웨이크메이크,듀이 젤 글레이즈 스틱 [08 뮤티드플럼],4.69,16,16000,2025-02-20 23:55:56,립메이크업,립스틱
48,하트퍼센트,도트 온 무드 립펜슬 [#02. 크리미핑크],4.26,85,14000,2025-02-20 23:55:56,립메이크업,립스틱
49,디올,어딕트 립스틱 [536 럭키],4.50,12,57000,2025-02-20 23:55:56,립메이크업,립스틱
50,롬앤,립 메이트 펜슬 #비오버쉐이드 [01 텐더리피치],4.50,14,13000,2025-02-20 23:55:56,립메이크업,립스틱
51,웨이크메이크,듀이 젤 글레이즈 스틱 [11 라즈베리퓨레],4.62,13,16000,2025-02-20 23:55:56,립메이크업,립스틱
52,클리오,쉬폰 무드 립 [2호 로즈넛],4.40,15,22000,2025-02-20 23:55:56,립메이크업,립스틱
53,3CE,샤인 리플렉터 [#레인오어샤인],4.40,15,19000,2025-02-20 23:55:56,립메이크업,립스틱
54,어뮤즈,듀 밤 [04 앵두],4.50,30,20000,2025-02-20 23:55:56,립메이크업,립스틱
55,샤넬,루쥬 코코 플래쉬 [92호 아무르],4.58,19,55000,2025-02-20 23:55:56,립메이크업,립스틱
