순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,토리든,솔리드인 세라마이드 립 에센스 11ml (3개묶음),4.66,4204,16900,2025-02-20 23:55:56,립메이크업,립케어_립밤
2,시드물,호호바 립 에센스 [오리지날고보습] 13ml,4.62,12416,3800,2025-02-20 23:55:56,립메이크업,립케어_립밤
3,라네즈,립 슬리핑 마스크 EX [베리] 20g,4.46,3240,17600,2025-02-20 23:55:56,립메이크업,립케어_립밤
4,비플레인,캐모마일 듀얼 보습 립밤 3.6g (2개묶음),4.58,2208,17800,2025-02-20 23:55:56,립메이크업,립케어_립밤
5,토코보,비타 글레이즈드 립 마스크 20mL,4.65,560,16000,2025-02-20 23:55:56,립메이크업,립케어_립밤
6,에뛰드,진저슈가 오버나이트 립 마스크,4.53,587,9000,2025-02-20 23:55:56,립메이크업,립케어_립밤
7,바이오더마,아토덤 립스틱,4.73,352,20000,2025-02-20 23:55:56,립메이크업,립케어_립밤
8,아토팜,판테놀 립세라 4g,4.81,202,9600,2025-02-20 23:55:56,립메이크업,립케어_립밤
9,이니스프리,유채 꿀 립밤 (초보습) 3.5g,4.59,395,7000,2025-02-20 23:55:56,립메이크업,립케어_립밤
10,바세린,(유니레버) 립 테라피 미니자 립밤 [오리지널],4.61,1051,5000,2025-02-20 23:55:56,립메이크업,립케어_립밤
11,더블유드레스룸,점보 립밤 [SPF50+/PA++++] [모이스트립프로텍터],4.32,397,15000,2025-02-20 23:55:56,립메이크업,립케어_립밤
12,피지오겔,DMT 마일드 립밤,4.58,194,11900,2025-02-20 23:55:56,립메이크업,립케어_립밤
13,블리스텍스,립 메덱스 립밤 7g,4.49,736,4000,2025-02-20 23:55:56,립메이크업,립케어_립밤
14,유리아쥬,스틱레브르 오리지널,4.25,7538,13000,2025-02-20 23:55:56,립메이크업,립케어_립밤
15,닥터브로너스,베이비 마일드 오가닉 립밤 4g,4.40,640,6900,2025-02-20 23:55:56,립메이크업,립케어_립밤
16,시드물,호호바 립 에센스 [오렌지향] 13ml,4.81,85,3800,2025-02-20 23:55:56,립메이크업,립케어_립밤
17,에뛰드,진저슈가 립밤 스틱,4.74,97,8000,2025-02-20 23:55:56,립메이크업,립케어_립밤
18,브링그린,대나무히알루 립에센스,4.64,42,9800,2025-02-20 23:55:56,립메이크업,립케어_립밤
19,라네즈,립 슬리핑 마스크 EX [자몽],4.80,96,22000,2025-02-20 23:55:56,립메이크업,립케어_립밤
20,이니스프리,유채 꿀 립밤 3.5g,4.56,167,7000,2025-02-20 23:55:56,립메이크업,립케어_립밤
21,뉴트로지나,데일리 립 밤,4.50,70,4900,2025-02-20 23:55:56,립메이크업,립케어_립밤
22,일리윤,세라마이드 무향 립밤 3.2g,4.24,331,8200,2025-02-20 23:55:56,립메이크업,립케어_립밤
23,바세린,(유니레버) 립 테라피 미니자 립밤 [코코아버터],4.38,1141,5000,2025-02-20 23:55:56,립메이크업,립케어_립밤
24,밀크바오밥,패밀리 립밤 무향 3.5g 2개 [증정: 퍼퓸 핸드크림 화이트머스크 50g],4.64,312,15700,2025-02-20 23:55:56,립메이크업,립케어_립밤
25,에뛰드,진저슈가 에센셜 립밤,4.61,59,7500,2025-02-20 23:55:56,립메이크업,립케어_립밤
26,리얼베리어,익스트림 모이스처 립밤 3.3G,4.46,26,8000,2025-02-20 23:55:56,립메이크업,립케어_립밤
27,에스트라,아토베리어 365 립밤,4.61,106,15000,2025-02-20 23:55:56,립메이크업,립케어_립밤
28,멘소래담,메디케이티드 립밤 3.5g,4.51,67,3780,2025-02-20 23:55:56,립메이크업,립케어_립밤
29,마녀공장,트리트먼트 립 세럼 10ml,4.69,45,8500,2025-02-20 23:55:56,립메이크업,립케어_립밤
30,유이크,바이옴 베리어 멜팅 모이스처 립밤 [오리지널] 3.2g,4.74,61,12000,2025-02-20 23:55:56,립메이크업,립케어_립밤
31,토코보,레몬 슈가 스크럽 립 마스크 20mL,4.75,28,16000,2025-02-20 23:55:56,립메이크업,립케어_립밤
32,비플레인,밀크 세라마이드 립 에센스 (10gx2개),4.00,12,13200,2025-02-20 23:55:56,립메이크업,립케어_립밤
