순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,롬앤,쥬시 래스팅 틴트 [25 베어그레이프],4.55,2088,13000,2025-02-20 23:55:56,립메이크업,립틴트
2,페리페라,잉크 무드 글로이 틴트 [5호 어쩔체리] [2개입] 4g,4.61,696,16500,2025-02-20 23:55:56,립메이크업,립틴트
3,롬앤,쥬시 래스팅 틴트 [06 피그피그],4.45,2440,13000,2025-02-20 23:55:56,립메이크업,립틴트
4,롬앤,쥬시 래스팅 틴트 [23 누카다미아],4.58,557,13000,2025-02-20 23:55:56,립메이크업,립틴트
5,롬앤,듀이풀 워터 틴트 [13 커스터드모브],4.48,526,13000,2025-02-20 23:55:56,립메이크업,립틴트
6,페리페라,[약과몰입] 잉크 무드 글로이 틴트 [020 당맛도리],4.74,186,8800,2025-02-20 23:55:56,립메이크업,립틴트
7,에뛰드,픽싱 틴트 [#5 미드나잇 모브] 4g,4.57,665,9600,2025-02-20 23:55:56,립메이크업,립틴트
8,페리페라,잉크 무드 글로이 틴트 [2호 손웜수템] [2개입] 4g,4.46,514,16500,2025-02-20 23:55:56,립메이크업,립틴트
9,페리페라,[페리복권 컬렉션] 잉크 무드 글로이 틴트 [023 정신차렷],4.64,111,8800,2025-02-20 23:55:56,립메이크업,립틴트
10,롬앤,듀이풀 워터 틴트 [09 코튼멜바],4.56,303,13000,2025-02-20 23:55:56,립메이크업,립틴트
11,클리오,크리스탈 글램틴트 [3호 블러쉬드피치],4.52,149,12600,2025-02-20 23:55:56,립메이크업,립틴트
12,3CE,블러 워터 틴트 [#레이다운],4.57,383,18000,2025-02-20 23:55:56,립메이크업,립틴트
13,롬앤,쥬시 래스팅 틴트 [22 포멜로스킨],4.57,281,13000,2025-02-20 23:55:56,립메이크업,립틴트
14,클리오,크리스탈 글램틴트 [1호 빈티지애플],4.51,106,12600,2025-02-20 23:55:56,립메이크업,립틴트
15,클리오,크리스탈 글램틴트 [6호 데일리모브] (3.2g),4.60,123,12600,2025-02-20 23:55:56,립메이크업,립틴트
16,롬앤,쥬시 래스팅 틴트 [31 베어애프리콧],4.54,157,13000,2025-02-20 23:55:56,립메이크업,립틴트
17,어뮤즈,듀 틴트 [06 피그듀],4.54,1190,20000,2025-02-20 23:55:56,립메이크업,립틴트
18,페리페라,페리티지 컬렉션 잉크 무드 글로이 틴트 [012 웜고리즘],4.53,187,11000,2025-02-20 23:55:56,립메이크업,립틴트
19,롬앤,듀이풀 워터 틴트 [12 캐니언],4.53,211,13000,2025-02-20 23:55:56,립메이크업,립틴트
20,롬앤,블러 퍼지 틴트 [06 모비쉬],4.67,172,13000,2025-02-20 23:55:56,립메이크업,립틴트
21,페리페라,잉크 무드 글로이 틴트 [3호 맘찍로즈] [2개입] 4g,4.47,128,16500,2025-02-20 23:55:56,립메이크업,립틴트
22,릴리바이레드,글래시 레이어 픽싱 틴트 [12 머스캣샤워] 3.8g,4.41,135,7900,2025-02-20 23:55:56,립메이크업,립틴트
23,클리오,크리스탈 글램틴트 (냥생역전코숏) [014 하트핑크다이아],4.81,37,12600,2025-02-20 23:55:56,립메이크업,립틴트
24,컬러그램,누디 블러 틴트 [07 긱로즈],4.67,30,10000,2025-02-20 23:55:56,립메이크업,립틴트
25,롬앤,블러 퍼지 틴트 [07 쿨로즈업],4.55,243,13000,2025-02-20 23:55:56,립메이크업,립틴트
26,페리페라,워터 베어 틴트 [008 여쿨러팅],4.53,106,9600,2025-02-20 23:55:56,립메이크업,립틴트
27,데이지크,쥬시 듀이 틴트 [07 체리 소다],4.75,56,11900,2025-02-20 23:55:56,립메이크업,립틴트
28,롬앤,쥬시 래스팅 틴트 [07 쥬쥬브],4.35,987,13000,2025-02-20 23:55:56,립메이크업,립틴트
29,페리페라,잉크 무드 글로이 틴트 [19 쿨당대란],4.66,134,11000,2025-02-20 23:55:56,립메이크업,립틴트
30,페리페라,떡이당 컬렉션 잉크 무드 글로이 틴트 [029 쿨레벌떡],4.73,26,8800,2025-02-20 23:55:56,립메이크업,립틴트
31,3CE,블러 워터 틴트 [#핑크구아바],4.54,194,18000,2025-02-20 23:55:56,립메이크업,립틴트
