순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,에뛰드,컬 픽스 마스카라 [01 블랙 + 뷰러 기획세트] 8g,4.64,1490,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
2,클리오,킬래쉬 수퍼프루프 마스카라 [001 롱컬링] 7g,4.55,2489,12600,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
3,에뛰드,닥터 마스카라 픽서 [#02 블랙] 6g,4.61,122,6400,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
4,에뛰드,컬 픽스 마스카라 [04 가닥볼륨 + 속눈썹 빗 기획세트] 8g,4.89,28,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
5,에뛰드,컬 픽스 마스카라 [02 브라운 + 뷰러 기획세트] 8g,4.54,270,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
6,에뛰드,컬 픽스 마스카라 [03 그레이브라운 + 뷰러 기획세트] 8g,4.60,133,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
7,이니스프리,스키니 꼼꼼카라 Zero 1호 블랙 3.5g,4.61,36,13000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
8,키스미,히로인메이크 롱앤컬 마스카라 EX [01 딥블랙],4.23,8858,18000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
9,쏘내추럴,메이크업 세팅 매직실러 10ml,4.24,237,12500,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
10,클리오,킬래쉬 수퍼프루프 마스카라 [000 깔끔픽싱],4.77,81,18000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
11,뮤드,인스파이어 멀티 픽서 마스카라 [01 클리어블랙],4.92,39,14000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
12,에뛰드,닥터 마스카라 픽서 포 [퍼펙트 래쉬] 6ml,4.46,50,6400,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
13,클리오,킬래쉬 수퍼프루프 마스카라 [002 볼륨컬링] 7g,4.34,412,14400,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
14,페리페라,잉크 블랙 카라 [001 롱래쉬컬링],4.18,2151,12000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
15,홀리카홀리카,래쉬 코렉팅 마스카라 [01 하이퍼컬링],4.35,404,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
16,뮤드,스키니 컬링 마스카라 [01 블랙],4.60,30,14000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
17,롬앤,한올 픽스 마스카라 [L01 롱블랙],4.44,286,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
18,홀리카홀리카,래쉬 코렉팅 마스카라 [03 롱익스텐션],4.52,84,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
19,페리페라,잉크 블랙 카라 [3 깔끔컬링] 8g,4.44,270,7800,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
20,지베르니,밀착 센서티브 마스카라 [02 블랙브라운] 4g,4.29,87,9500,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
21,에뛰드,래쉬 펌 컬 픽스 마스카라 [또렷한블랙],4.10,2382,15000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
22,뮤드,스키니 컬링 마스카라 [05 뮤트브라운],4.62,21,14000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
23,투쿨포스쿨,아트클래스 매지컬 픽싱 마스카라 [1호 클리어블랙],4.82,22,15000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
24,이니스프리,스키니 꼼꼼카라 1호 블랙 3.5g,4.42,31,12000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
25,클리오,킬래쉬 수퍼프루프 마스카라 [010 또렷컬] (7g),4.31,13,12600,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
26,심플레인,슬림 마스카라 [01 블랙],4.56,247,12000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
27,홀리카홀리카,래쉬 코렉팅 마스카라 [02 디파인볼륨],4.22,119,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
28,데이지크,무드 업 마스카라 롱앤컬 [02 초코브라운],4.52,52,19000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
29,자빈드서울,윙크 플레이 마스카라,4.16,19,16000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
30,헤이미쉬,데일리즘 스머지 스탑 마스카라 컬링 [블랙],4.23,397,12600,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
31,키스미,히로인메이크 볼륨앤컬 마스카라 EX [01 딥블랙],4.38,13,18000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
32,치카이치코,원픽 스키니카라 3g [01 픽싱볼륨],4.44,80,15000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
33,메이블린뉴욕,스카이 하이 마스카라,4.39,61,19000,2025-02-20 23:55:56,아이메이크업,마스카라_픽서
