순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,에스네이처,퍼펙트 아쿠아 메이크업 베이스 프렙 30ml,4.56,500,27300,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
2,셀퓨전씨,워터핏 톤업 선베이스 [SPF50+/PA++++] 40ml,4.47,110,17800,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
3,코스노리,유어 스킨 드레스 톤업 베이스 50ml SPF50+/PA++++ (2개입),4.35,653,37900,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
4,에뛰드,님프 광채 볼류머 24g,4.49,43,18000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
5,바닐라코,올데이 프렙 톤업 베이스 크림 [SPF50+/PA+++] 35ml,4.53,30,19000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
6,이니스프리,라이트 피팅 메이크업 베이스 1 퍼플 30mL,4.50,14,20800,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
7,투쿨포스쿨,아트클래스 블랑 드 베이스 [1호 클리어블루],4.39,114,16000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
8,에뛰드,글로우 온 베이스 [하이드라],4.53,104,18000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
9,더마펌,울트라 수딩 선 메이크업 베이스 R4 [SPF50+/PA++++] 50ml,4.28,423,20000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
10,에뛰드,글로우 온 베이스 [오일볼륨],4.71,59,18000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
11,세잔느,메이크 킵 베이스 [SPF28/PA++] [라이트블루],4.40,87,17000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
12,꾸셀,베이스 오리지널,4.49,45,21000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
13,헤이미쉬,아트리스 글로우 베이스 [SPF50+/PA++++],4.29,395,19800,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
14,정샘물뷰티,스킨 세팅 선 베이스 [SPF50+/PA++++] [워터],4.60,25,32000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
15,에스쁘아,피치 스킨 피팅 베이스 올 뉴 [SPF50+/PA++++],4.11,27,28000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
16,맥,라이트풀 C+ 코랄 그라스 틴티드 프라이머 [SPF45/PA++++],3.94,314,60000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
17,입큰,톤웨어 틴티드 톤업 베이스 [SPF35/PA+++] [아이시블루],4.50,10,20000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
18,정샘물뷰티,스킨 세팅 톤업 선 베이스 [SPF50+/PA+++] 40ml +증정,3.83,36,33000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
19,샤넬,르 블랑 메이크업 베이스 [SPF50+/PA+++] [로제],4.09,75,85000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
20,fmgt,에어코튼 메이크업 베이스 [SPF30/PA++] [02 라벤더],3.71,3128,5000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
21,정샘물뷰티,마스터클래스 글로우 베이스 [SPF30/PA+++] 50ml +증정,4.20,10,30600,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
22,힌스,세컨 스킨 톤업 베이스 [SPF50+/PA++++] [라이트피치],4.24,79,28000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
23,정샘물뷰티,스킨 세팅 톤 밸런싱 베이스 [SPF50+/PA+++] 40ml +증정,4.08,38,33000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
24,지베르니,밀착 톤데이션 [SPF50+/PA+++] 30ml,4.50,12,22500,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
25,메이블린뉴욕,핏미스킨틴트 [01 페어핑크],4.70,10,20000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
26,라네즈,글로이 메이크업 세럼,4.21,70,28000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
27,fmgt,에어코튼 메이크업 베이스 [SPF30/PA++] [01 민트],3.69,2545,5000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
28,RMK,메이크업 베이스 [SPF4],4.45,11,46000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
29,투쿨포스쿨,아트클래스 블랑 드 베이스 [2호 에끌라로즈],4.25,68,16000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
30,비디비치,스킨 일루미네이션 [SPF30/PA++] [라이트핑크],3.79,188,29000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
31,더랩바이블랑두,클리어 히알 물광 틴티드 커버 크림,3.33,12,5000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
32,루나,롱래스팅 코렉터 [2호 퓨어라벤더],4.33,15,15000,2025-02-20 23:55:56,베이스메이크업,메이크업베이스
