순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,바닐라코,프라임 프라이머 세팅 픽서 100ml,4.65,97,15000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
2,쏘내추럴,메이크업 픽서 120ml,4.39,122,19200,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
3,어반디케이,올나이터 세팅 픽서,4.18,1411,46000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
4,투쿨포스쿨,피니쉬 세팅 픽서,4.24,164,16000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
5,헤라,메이크업 픽서 80ml+ (사은품증정),4.33,27,34000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
6,3CE,메이크업 픽서 미스트,4.14,14,17000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
7,자트인사이트,울트라 세팅 진짜 픽서,4.42,40,17000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
8,미샤,글로우 스킨밤 투 고 미스트 80ml,4.25,69,22000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
9,어반디케이,(해외) 올 나이터 세팅 스프레이,4.37,59,,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
10,클리오,메이크업 픽서,4.15,26,15000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
11,쏘내추럴,비건 메이크업 캄 픽서,4.10,10,22000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
12,베네피트,더 포어페셔널 슈퍼 세터,4.60,15,44000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
13,미샤,픽스 미 메이크업 픽서 50ml,3.75,109,8800,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
14,맥,프렙+프라임 픽스 플러스 [오리지널],3.69,510,41000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
15,루나,롱래스팅 세팅픽서,3.89,36,16000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
16,세인트랩073,브릴리언트 메이크업 픽서,4.07,14,28000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
17,어반디케이,올나이트 세팅 픽서 [울트라매트],3.91,44,45000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
18,토니모리,포켓 바니 보송 픽서,3.90,10,11800,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
19,에스티로더,셋+ 리프레쉬 퍼펙팅 메이크업 미스트,4.07,42,57000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
20,맥,프렙+프라임 픽스 플러스 [매티파잉미스트],3.68,22,41000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
21,메이크업포에버,미스트&픽스,3.79,14,44000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
22,에스쁘아,글로우 픽스 미스트,3.90,10,20000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
23,에스쁘아,풀데이 세팅 픽서,3.50,14,20000,2025-02-20 23:55:56,베이스메이크업,메이크업픽서
