순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,트리마이,멀티케어 겔 아이패치 [링클스무싱] 60매 (1+1),4.58,404,20000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
2,메디힐,레티놀 콜라겐 아이 앰플 패치 60매,4.59,357,14200,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
3,한율,달빛유자 비타톤업 애플존 패드 60매,4.65,228,23200,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
4,아비브,콜라겐 아이패치 부활초 젤리 60매,4.42,100,16100,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
5,잇츠스킨,도라에몽 에디션 파워10 감초줄렌 젤리패드,4.66,50,39000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
6,아비브,그린 LHA 모공 패드 클리어 터치,4.55,11,24000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
7,일소,어성초 텐더좀 더블 진정 패드 60매 320g,4.81,21,19500,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
8,유이크,바이옴 비타씨 다크서클 아이패치 60매,4.45,105,19800,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
9,구달,청귤 비타C 수분 아이패치 [60매] [2개입] [증정],4.23,291,28000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
10,마르시끄,링클 리페어 하이드로겔 아이패치 18매,4.53,100,12900,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
11,더마토리,프로 비타 에이 레티날 아이패치 [2개입] [증정],4.30,66,26500,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
12,마르시끄,링클 리페어 미간 주름 패치 0.3gX5장(11패치X5장),4.41,184,19900,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
13,더마펌,비타 액티브 마이크로 크리스탈 패치 플러스 1박스 (3매입),4.56,27,34000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
14,원데이즈유,콜라겐 하이드로겔 아이패치 60매,4.67,15,27000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
15,지아이케이,데일리 콜라겐 아이패치,4.70,10,7000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
16,시드물,엑토인시카 에센스 토너,4.38,29,68000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
17,쏘내추럴,살버터 글로우 크림 팩 10매,4.50,20,22000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
18,매트리콜,콜라겐원 클래식,4.18,33,35000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
19,코씨,문릿 콜라겐 마스크팩,4.57,14,64000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
20,포잇,유브이 블록 멀티 스포츠 썬 패치,4.83,53,35000,2025-02-20 23:55:56,마스크_팩,부분마스크_팩
