순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,라운드랩,자작나무 수분 선스틱 19g,4.59,2227,19900,2025-02-20 23:55:56,선케어,선스틱
2,토코보,코튼 소프트 선스틱 [SPF50+/PA++++] 19g,4.62,1304,17600,2025-02-20 23:55:56,선케어,선스틱
3,듀이트리,어반쉐이드 쿨 카밍 선스틱 SPF50+/PA++++ 20g 세트 (1+1),4.47,1162,19900,2025-02-20 23:55:56,선케어,선스틱
4,랩클,[1+1] 대용량 에어펜스 선스틱 22g,4.64,703,30900,2025-02-20 23:55:56,선케어,선스틱
5,휘게,클린 비건 선스틱 20g [SPF50+ / PA++++] 2개,4.68,877,26900,2025-02-20 23:55:56,선케어,선스틱
6,마녀공장,히알루론 하이드레이팅 선스틱 18g (1+1),4.74,237,30800,2025-02-20 23:55:56,선케어,선스틱
7,셀퓨전씨,아쿠아티카 스틱 썬스크린 100 19g (2개입),4.64,747,29000,2025-02-20 23:55:56,선케어,선스틱
8,아토팜,야외놀이 선스틱 SPF50+/PA++++ 21g (2개입),4.64,386,29900,2025-02-20 23:55:56,선케어,선스틱
9,벤튼,무기자차 선스틱 (SPF50+/PA++++) 15g,4.52,496,16000,2025-02-20 23:55:56,선케어,선스틱
10,토코보,시카 쿨링 선스틱 [SPF50+/PA++++] 18g,4.71,168,17600,2025-02-20 23:55:56,선케어,선스틱
11,AHC,마스터즈 에어 리치 선스틱 [SPF50+/PA++++],4.47,413,29600,2025-02-20 23:55:56,선케어,선스틱
12,메이크프렘,유브이 디펜스 미 워터리 선스틱 18g,4.67,413,16800,2025-02-20 23:55:56,선케어,선스틱
13,유이크,바이옴 레미디 퍼펙트 보송 선스틱 18g,4.69,130,20200,2025-02-20 23:55:56,선케어,선스틱
14,블리브유,콜라겐 바운싱 선스틱 19g [증정: 탄력 패드 2매 * 3개],4.68,200,31500,2025-02-20 23:55:56,선케어,선스틱
15,이즈앤트리,어니언 프레쉬 라이트 선 스틱 50ml,4.67,147,20700,2025-02-20 23:55:56,선케어,선스틱
16,스킨1004,마다가스카르 센텔라 히알루-시카 실키핏 선 스틱 20g,4.62,113,19000,2025-02-20 23:55:56,선케어,선스틱
17,아이레시피,워터리터치 에센스선밤 10g SPF50+/PA++++(1+1),4.46,1337,28900,2025-02-20 23:55:56,선케어,선스틱
18,닥터지,레드 블레미쉬 수딩 업 선 스틱 [SPF50+/PA++++],4.44,162,27000,2025-02-20 23:55:56,선케어,선스틱
19,달바,에어 핏 프레쉬 선 스틱 [SPF50+/PA++++] 19g,4.65,174,36000,2025-02-20 23:55:56,선케어,선스틱
20,셀퓨전씨,스틱 썬스크린 100 [SPF50+/PA++++] 19g (2개입),4.41,238,29000,2025-02-20 23:55:56,선케어,선스틱
21,톤핏선,[1+1] 비건 워터프루프 노세범 선스틱 SPF50+/PA++++,4.62,52,20500,2025-02-20 23:55:56,선케어,선스틱
22,싸이닉,엔조이 슈퍼 액티브 에어리 선스틱 대용량 25g (2개),4.04,1817,19000,2025-02-20 23:55:56,선케어,선스틱
23,닥터지,브라이트닝 톤 업 선 스틱 [SPF50+/PA++++],4.25,12,22000,2025-02-20 23:55:56,선케어,선스틱
24,네이처리퍼블릭,캘리포니아 알로에 보송 선스틱 SPF50+ PA++++ 24g (1+1),4.25,1285,24500,2025-02-20 23:55:56,선케어,선스틱
25,메이크프렘,유브이 디펜스 미 카밍 선스틱 20g,4.49,188,16800,2025-02-20 23:55:56,선케어,선스틱
26,라로제,클린 선스틱 [SPF50],4.36,319,29000,2025-02-20 23:55:56,선케어,선스틱
27,닥터지,그린 마일드 업 선 스틱 [SPF50+/PA++++],4.20,263,25000,2025-02-20 23:55:56,선케어,선스틱
28,미샤,올 어라운드 세이프 블록 코튼 선스틱 17g,4.67,15,17500,2025-02-20 23:55:56,선케어,선스틱
29,부쉬맨,워터프루프 서핑 선스틱 16g SPF50+ PA++++ (2개입),4.70,69,33900,2025-02-20 23:55:56,선케어,선스틱
30,포비페이스,에어리 노세범 선 스틱 [SPF50+/PA++++],4.60,207,25000,2025-02-20 23:55:56,선케어,선스틱
31,큐어,워터 스플래쉬 쿨링 선스틱 [SPF50+/PA++++],4.24,216,50000,2025-02-20 23:55:56,선케어,선스틱
32,땡큐파머,선 프로젝트 실키 카밍 아웃도어 선스틱 14g,4.63,301,14000,2025-02-20 23:55:56,선케어,선스틱
33,AHC,내추럴 퍼펙션 프레쉬 선스틱 [SPF50+/PA++++],4.11,156,19000,2025-02-20 23:55:56,선케어,선스틱
34,듀이트리,어반쉐이드 피치라이크 톤업 선스틱 13g,4.33,179,14900,2025-02-20 23:55:56,선케어,선스틱
35,헤라,UV프로텍터 액티브 선 밤 10g [SPF50+/PA++++],4.12,17,32300,2025-02-20 23:55:56,선케어,선스틱
36,오브제,오브제 오일 컨트롤 선스틱 [SPF50+/PA++++] 18g,4.33,18,19800,2025-02-20 23:55:56,선케어,선스틱
37,라운드어라운드,컴포트 그린티 에어 선스틱 [SPF50+/PA++++],4.69,13,22000,2025-02-20 23:55:56,선케어,선스틱
38,딘시,프리미엄 비건 쓰리 인 원 선스틱 [SPF50+/PA++++],4.68,28,43500,2025-02-20 23:55:56,선케어,선스틱
39,더마블록,마일드 선스틱 [SPF50+/PA++++],4.58,12,5000,2025-02-20 23:55:56,선케어,선스틱
40,AHC,내추럴 퍼펙션 더블 쉴드 선스틱 [SPF50+/PA++++],4.10,412,125000,2025-02-20 23:55:56,선케어,선스틱
41,시드물,울트라 페이셜 모이스처라이징 썬스틱 [SPF50+/PA++++],4.41,29,16800,2025-02-20 23:55:56,선케어,선스틱
42,아비브,퀵 선스틱 프로텍션 바 [SPF50+/PA++++],4.55,11,28000,2025-02-20 23:55:56,선케어,선스틱
43,로우퀘스트,에키네시아 에어리 선 스틱 [SPF50+/PA++++],4.31,13,25000,2025-02-20 23:55:56,선케어,선스틱
44,라운드어라운드,그린티 시카 마일드 선스틱 [SPF50+/PA++++],4.17,78,20000,2025-02-20 23:55:56,선케어,선스틱
45,비프루브,마린 워터풀 선스틱 [SPF50+/PA++++],4.17,18,5000,2025-02-20 23:55:56,선케어,선스틱
46,엠퀴리,코어 선 스틱 [SPF50+/PA++++],4.50,10,32000,2025-02-20 23:55:56,선케어,선스틱
