순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,바론시에,엑토인 선쿠션 12g [SPF50+/PA++++],4.58,642,15800,2025-02-20 23:55:56,선케어,선쿠션_팩트
2,아토팜,톡톡 페이셜 선팩트 [SPF43/PA+++] 본품 15g(2개입),4.64,1005,34900,2025-02-20 23:55:56,선케어,선쿠션_팩트
3,아떼,비건 릴리프 라이팅 톤업 선쿠션 [SPF50+/PA++++] [01 미스티퍼플],4.57,311,30000,2025-02-20 23:55:56,선케어,선쿠션_팩트
4,라운드랩,자작나무 수분 선쿠션 [SPF50+/PA++++] 15g,4.43,1125,16500,2025-02-20 23:55:56,선케어,선쿠션_팩트
5,에이지투웨니스,선 에센스 팩트 카밍 롱프로텍션 [SPF50+/PA++++],4.56,471,28000,2025-02-20 23:55:56,선케어,선쿠션_팩트
6,마르시끄,세럼 글로우 톤업 선 쿠션 12g [SPF50+/PA++++],4.52,252,23800,2025-02-20 23:55:56,선케어,선쿠션_팩트
7,톤핏선,비건 톤업 톤핏선쿠션 12g SPF50+/PA++++,4.40,325,23000,2025-02-20 23:55:56,선케어,선쿠션_팩트
8,싸이닉,엔조이 올라운드 에어리 썬쿠션 EX 25g,4.28,1468,14400,2025-02-20 23:55:56,선케어,선쿠션_팩트
9,듀이트리,어반쉐이드 커버 앤 핏 선쿠션 14g,4.25,438,12900,2025-02-20 23:55:56,선케어,선쿠션_팩트
10,달바,워터풀 프레쉬 선쿠션 [SFP50+/PA++++] 25g,4.43,183,42000,2025-02-20 23:55:56,선케어,선쿠션_팩트
11,브링그린,티트리 시카 톤업 선 쿠션 [SPF50+/PA++++],4.25,205,20000,2025-02-20 23:55:56,선케어,선쿠션_팩트
12,달바,워터풀 톤업 선쿠션 15g+15g,4.38,39,84000,2025-02-20 23:55:56,선케어,선쿠션_팩트
13,식물나라,뽀얀쌀 생기 톤업 선쿠션 [SPF50+/PA++++] [02 생기피치],4.09,138,17800,2025-02-20 23:55:56,선케어,선쿠션_팩트
14,테,초록 35 [SPF35/PA++],4.60,116,34000,2025-02-20 23:55:56,선케어,선쿠션_팩트
15,미샤,시카딘 레스큐 아토 왕쿠션 선 25g [SPF50+/PA++++],4.47,19,18060,2025-02-20 23:55:56,선케어,선쿠션_팩트
16,미샤,세이프 블록 RX 커버 톤업 선 쿠션 14ml [SPF50+/PA++++],4.15,213,23000,2025-02-20 23:55:56,선케어,선쿠션_팩트
17,블리브유,콜라겐 바운싱 선쿠션 [SPF50+/PA++++],4.46,109,39000,2025-02-20 23:55:56,선케어,선쿠션_팩트
18,스킨앤랩,베리어덤 마일드 선쿠션 15g [SPF50+/PA++++],4.50,22,26200,2025-02-20 23:55:56,선케어,선쿠션_팩트
19,네이처리퍼블릭,그린더마 마일드 시카 빅 선쿠션 SPF50+ PA++++ 25g,4.38,21,13900,2025-02-20 23:55:56,선케어,선쿠션_팩트
20,태그,핑크 라이트 선쿠션 [SPF50+/PA++++],4.64,11,5000,2025-02-20 23:55:56,선케어,선쿠션_팩트
21,셀퓨전씨,토닝 썬쿠션 [SPF50+/PA++++] 13g,4.19,125,16500,2025-02-20 23:55:56,선케어,선쿠션_팩트
22,그린핑거,프레쉬 마일드 선쿠션 [SPF50+/PA++++],4.23,26,18000,2025-02-20 23:55:56,선케어,선쿠션_팩트
23,릴릴,릴릴 무기자차 톤업 코랄센텔라 선쿠션 25g (SPF50+/PA++++),4.25,12,19000,2025-02-20 23:55:56,선케어,선쿠션_팩트
24,엘솔레,모이스처라이징 마일드 선쿠션 [SPF50+/PA++++] 12g,4.41,300,19900,2025-02-20 23:55:56,선케어,선쿠션_팩트
