순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,라운드랩,자작나무 수분 선크림 80ml,4.59,23641,19900,2025-02-20 23:55:56,선케어,선크림_로션
2,에스네이처,아쿠아 365 유브이 선크림 40ml+40ml (2개 묶음),4.73,3504,26900,2025-02-20 23:55:56,선케어,선크림_로션
3,스킨1004,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼 50ml,4.75,3165,15200,2025-02-20 23:55:56,선케어,선크림_로션
4,달바,워터풀 선크림 [SPF50+/PA++++] [에센스],4.50,6877,34000,2025-02-20 23:55:56,선케어,선크림_로션
5,토리든,다이브인 무기자차 마일드 선크림 60ml (2개묶음),4.56,7710,32500,2025-02-20 23:55:56,선케어,선크림_로션
6,"디어,클레어스",올 데이 에어리 선크림 50g 더블기획(+언센티드 토너 30ml+수딩크림20g),4.62,3476,25900,2025-02-20 23:55:56,선케어,선크림_로션
7,비플레인,선뮤즈 모이스처 선크림 대용량 80ml [SPF50+/PA++++],4.65,6257,17900,2025-02-20 23:55:56,선케어,선크림_로션
8,닥터지,그린 마일드 업 선 플러스 35ml 듀오 기획세트,4.23,16495,22000,2025-02-20 23:55:56,선케어,선크림_로션
9,싸이닉,엔조이 마일드 썬 에센스 대용량 80ml,4.52,3524,9900,2025-02-20 23:55:56,선케어,선크림_로션
10,구달,어성초 진정 수분 선크림 [SPF50+/PA++++] [2개입] (24AD) [증정],4.53,1657,28000,2025-02-20 23:55:56,선케어,선크림_로션
11,코스알엑스,울트라 라이트 인비저블 선스크린 50ml (2개입) [SPF50+/PA++++],4.72,698,25500,2025-02-20 23:55:56,선케어,선크림_로션
12,아토팜,징크 마일드 선크림 [SPF50+/PA++++],4.72,960,14400,2025-02-20 23:55:56,선케어,선크림_로션
13,라운드랩,자작나무 무기자차 선크림 [SPF50+/PA++++] 50ml,4.55,2637,15900,2025-02-20 23:55:56,선케어,선크림_로션
14,YBK,릴리프 하이드레이션 라이트 썬스크린 [SPF50+/PA++++] 50ml (2개묶음),4.75,1412,35000,2025-02-20 23:55:56,선케어,선크림_로션
15,토리든,다이브인 워터리 모이스처 선크림 60ml (2개묶음),4.58,1206,32500,2025-02-20 23:55:56,선케어,선크림_로션
16,라운드랩,자작나무 수분 톤업 선크림 50ml,4.35,1280,15900,2025-02-20 23:55:56,선케어,선크림_로션
17,에뛰드,순정 디렉터 수분 선크림 [SPF50+/PA++++],4.44,3192,25000,2025-02-20 23:55:56,선케어,선크림_로션
18,에스트라,더마UV365 장벽수분 무기자차 선크림 40ml SPF50+/PA++++,4.51,1038,24800,2025-02-20 23:55:56,선케어,선크림_로션
19,달바,워터풀 톤업 선크림 [SPF50+/PA++++] 50ml,4.40,2977,34000,2025-02-20 23:55:56,선케어,선크림_로션
20,토리든,밸런스풀 시카 톤업 선크림 60ml (2개묶음),4.63,884,32500,2025-02-20 23:55:56,선케어,선크림_로션
21,후시다인,더마 트러블 징크 카밍 선크림 [SPF50+/PA++++],4.60,529,26000,2025-02-20 23:55:56,선케어,선크림_로션
22,메이크프렘,유브이 디펜스 미 노세범 선크림 50ml (증정),4.56,881,15600,2025-02-20 23:55:56,선케어,선크림_로션
23,조선미녀,맑은쌀선크림 50ml,4.67,262,18000,2025-02-20 23:55:56,선케어,선크림_로션
