순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,코스노리,롱 액티브 아이래쉬 세럼 속눈썹영양제 9g (2개입),4.49,5657,32000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
2,마르시끄,인리치드 속눈썹 눈썹 블랙 영양제 7.5ml,4.54,987,19900,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
3,코스노리,아이래쉬 틴팅 세럼 01 딥블랙 9g,4.44,625,16000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
4,마르시끄,인리치드 속눈썹 눈썹 영양제 7.5g,4.75,110,17900,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
5,시드물,[1+1]속눈썹 영양제 아이래쉬 세럼 11ml,4.34,1569,16800,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
6,벤튼,[2개] 어니스트 아이래쉬 세럼 10mL,4.54,375,31500,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
7,바이브랩,리바이브 테라피 헤어 브로우 래쉬 세럼 10ml,4.35,787,21000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
8,에뛰드,마이 래쉬 세럼,4.58,53,6500,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
9,에뛰드,파워 래쉬 속눈썹 영양제,4.41,162,23000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
10,트윌링,속눈썹 영양제 아이세럼 단백질 에센스 10ml,4.53,201,19800,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
11,젬소,GEMSHO 미국산 젬소 속눈썹 영양제 3ml,4.52,31,43900,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
12,홀리카홀리카,래쉬 코렉팅 케어 에센셜 세럼 9ml,4.45,78,12800,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
13,입솜,펩타이드 아이래쉬 앰플 8ml,4.41,881,12000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
14,롬앤,한올 래쉬 세럼,4.42,530,15000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
15,웨이크메이크,스트롱 볼륨 래쉬 앰플,4.20,221,14000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
16,마녀공장,4GF 아이래쉬 앰플 5ml,4.16,653,15400,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
17,뮤드,트루 아이래쉬 세럼,4.49,255,27000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
18,앤디얼,아이래쉬 부스터 앰플 어드밴스드,4.33,575,21500,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
19,바이브랩,바이탈 리치 에센스,4.43,263,56000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
20,닥터방기원,너리싱세럼 포 래쉬 앤 브로우,4.71,28,18000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
21,다슈,데일리 단백질 속눈썹 영양제,4.48,25,25000,2025-02-20 23:55:56,아이메이크업,속눈썹영양제
