순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,시드물,녹차 필링 젤 (그린티퓨어스킨필링젤) 120ml,4.42,15300,4800,2025-02-20 23:55:56,클렌징,스크럽_필링
2,비플레인,녹두 밀크 필링 젤 120ml (+폼40ml),4.70,930,19800,2025-02-20 23:55:56,클렌징,스크럽_필링
3,라운드랩,1025 독도 필링젤 120ml,4.65,1671,13500,2025-02-20 23:55:56,클렌징,스크럽_필링
4,일소,슈퍼 멜팅 세범 소프트너 150ml 단품,4.45,574,21000,2025-02-20 23:55:56,클렌징,스크럽_필링
5,아임프롬,피그 스크럽 마스크 100g (2개 묶음),4.54,725,26000,2025-02-20 23:55:56,클렌징,스크럽_필링
6,닥터지,브라이트닝 필링 젤,4.20,4877,21000,2025-02-20 23:55:56,클렌징,스크럽_필링
7,메디필,엑스트라 슈퍼9 플러스 2.0 100ml,4.22,960,13800,2025-02-20 23:55:56,클렌징,스크럽_필링
8,폴라초이스,(화해 단독) 바하 리퀴드 각질제거제 118ml (+화장솜 50매),4.14,1479,29750,2025-02-20 23:55:56,클렌징,스크럽_필링
9,듀이트리,픽 앤 퀵 화장발 마스크 30매,4.26,792,11500,2025-02-20 23:55:56,클렌징,스크럽_필링
10,스킨푸드,블랙슈가 마스크 워시 오프 120g,3.91,2039,13000,2025-02-20 23:55:56,클렌징,스크럽_필링
11,아누아,어성초 LHA 모이스처 필링젤 120ml,4.81,16,18000,2025-02-20 23:55:56,클렌징,스크럽_필링
12,폴라초이스,바하+아하+파하 리퀴드 118ml,4.48,23,45050,2025-02-20 23:55:56,클렌징,스크럽_필링
13,일리윤,세라마이드 더마 약산성 클렌징폼,4.55,74,14000,2025-02-20 23:55:56,클렌징,스크럽_필링
14,메디필,엑스트라 슈퍼9 플러스 액티브 스틱 33g,4.36,415,19200,2025-02-20 23:55:56,클렌징,스크럽_필링
15,마녀공장,갈락토미 엔자임 필링젤 75ml (1+1),4.29,283,14500,2025-02-20 23:55:56,클렌징,스크럽_필링
16,주미소,블랙헤드 멜팅 소프트너 밀착패드 기획세트 (150ml+40매),4.41,81,14700,2025-02-20 23:55:56,클렌징,스크럽_필링
17,앰플엔,퓨리파잉샷 호박 효소 필링젤 100ml (2개입),4.55,730,17900,2025-02-20 23:55:56,클렌징,스크럽_필링
18,마녀공장,퓨어 아쿠아 필링 젤 120ml (+퓨어폼20ml),4.59,73,10500,2025-02-20 23:55:56,클렌징,스크럽_필링
19,메디필,레드 락토 콜라겐 곤약 필링 젤 95ml,4.67,15,29000,2025-02-20 23:55:56,클렌징,스크럽_필링
20,스킨1004,마다가스카르 센텔라 토닝 토너- 210ml,4.31,761,18000,2025-02-20 23:55:56,클렌징,스크럽_필링
21,메디필,엑스트라 슈퍼 9 플러스 2.0 피지 클리너,4.23,74,3000,2025-02-20 23:55:56,클렌징,스크럽_필링
22,닥터지,그린 딥 포밍 스크럽,4.40,162,23000,2025-02-20 23:55:56,클렌징,스크럽_필링
23,스트라이덱스,(해외) 맥시멈,4.35,299,,2025-02-20 23:55:56,클렌징,스크럽_필링
24,에피누보,리설페이싱 어드밴스드 필,4.75,16,65000,2025-02-20 23:55:56,클렌징,스크럽_필링
25,뷰티레시피,리틀머메이드 디스 이즈 프린세스 필링젤 150ml,4.63,16,11900,2025-02-20 23:55:56,클렌징,스크럽_필링
26,폴라초이스,10% 아하 바디로션 210ml,4.28,316,39100,2025-02-20 23:55:56,클렌징,스크럽_필링
27,설화수,백삼팩,4.47,15,72000,2025-02-20 23:55:56,클렌징,스크럽_필링
28,코스알엑스,약산성 굿나잇 필링 젤 120ml,4.54,24,14300,2025-02-20 23:55:56,클렌징,스크럽_필링
29,솔테라피,솔티 마사지 스크럽 워시 200g,4.68,44,19000,2025-02-20 23:55:56,클렌징,스크럽_필링
30,다자연,어성초 필링젤,4.79,28,18000,2025-02-20 23:55:56,클렌징,스크럽_필링
31,메디큐브,레드 석시닉애씨드 필링세럼,4.04,214,52000,2025-02-20 23:55:56,클렌징,스크럽_필링
32,토르홉,사우난지앙 솔트 마스크,4.19,74,45100,2025-02-20 23:55:56,클렌징,스크럽_필링
33,에이프릴스킨,카렌둘라 PHA 각질필링젤,4.62,29,28000,2025-02-20 23:55:56,클렌징,스크럽_필링
34,차앤박화장품,인비져블 필링 부스터 에센스,4.73,33,34000,2025-02-20 23:55:56,클렌징,스크럽_필링
35,시드물,데일리 포어 클리닉 [1제 디졸브에센스],4.19,124,13700,2025-02-20 23:55:56,클렌징,스크럽_필링
36,코스알엑스,에이씨 컬렉션 카밍 폼 클렌저 150ml,4.19,63,10400,2025-02-20 23:55:56,클렌징,스크럽_필링
37,더샘,셀 리뉴 바이오 마이크로 필 소프트 젤,4.52,46,13500,2025-02-20 23:55:56,클렌징,스크럽_필링
