순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,퓨리피아,메타바이옴 토너패드 60매 더블기획(+메타바이옴 크림 30ml),4.73,2848,16900,2025-02-20 23:55:56,클렌징,스크럽_필링패드
2,일루미엘,[2/28 예약배송] 물결 수분 네모패드 60매 2개 (+수분 네모패드 3매입*10개),4.75,2352,33600,2025-02-20 23:55:56,클렌징,스크럽_필링패드
3,리브엠,워터핏 8중 수분착붙 대왕패드 90매 기획(패드 60매+패드30매),4.70,2686,16800,2025-02-20 23:55:56,클렌징,스크럽_필링패드
4,구달,어성초 히알루론 수딩 클리어패드 (70매),4.73,735,20800,2025-02-20 23:55:56,클렌징,스크럽_필링패드
5,아비브,수분초 히알루론 패드 하이드레이팅 터치 75매,4.64,2113,16800,2025-02-20 23:55:56,클렌징,스크럽_필링패드
6,메디힐,티트리 트러블 패드 100매,4.58,4388,18400,2025-02-20 23:55:56,클렌징,스크럽_필링패드
7,더마펌,수딩 리페어 토닝 패드 R4 70매,4.69,1221,21000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
8,리브엠,시카좀 카밍 클리어 패드 80매(+시카좀패드10매),4.75,686,14000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
9,토리든,밸런스풀 시카 토너 패드 60매,4.66,2448,16100,2025-02-20 23:55:56,클렌징,스크럽_필링패드
10,듀이트리,AC 컨트롤 EX 딥 그린 카밍 패드 60매,4.57,1416,14900,2025-02-20 23:55:56,클렌징,스크럽_필링패드
11,아페리레,순수 블루 토너패드 70매+리필 70매,4.62,1042,19800,2025-02-20 23:55:56,클렌징,스크럽_필링패드
12,셀리맥스,어성초 바하 지우개 패드 60매 (2개),4.37,4780,20000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
13,초록초롱,비건 허브 각질 피지케어 제주 페퍼민트 토너패드(280ml*70패드),4.66,622,26100,2025-02-20 23:55:56,클렌징,스크럽_필링패드
14,잇츠스킨,파워10 감초줄렌 토너패드 듀오세트 60매 (2개입),4.68,449,33900,2025-02-20 23:55:56,클렌징,스크럽_필링패드
15,메디큐브,제로모공패드 2.0,4.25,3063,35000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
16,메이크프렘,인테카 트러블 수딩 패드 70매 (증정),4.61,478,18760,2025-02-20 23:55:56,클렌징,스크럽_필링패드
17,아비브,어성초 스팟 패드 카밍 터치 80매,4.38,2036,21600,2025-02-20 23:55:56,클렌징,스크럽_필링패드
18,아누아,어성초 77 클리어 패드 70매,4.30,2044,19600,2025-02-20 23:55:56,클렌징,스크럽_필링패드
19,이즈앤트리,어니언 뉴페어 클리어 패드 60매,4.53,1026,24900,2025-02-20 23:55:56,클렌징,스크럽_필링패드
20,더마토리,하이포알러제닉 시카 거즈 패드 (23AD),4.41,6711,16400,2025-02-20 23:55:56,클렌징,스크럽_필링패드
21,마녀공장,비피다 바이옴 앰플 패드 70매(150ml) (+패드2매입x3장),4.62,3114,18400,2025-02-20 23:55:56,클렌징,스크럽_필링패드
22,코스알엑스,원스텝 오리지널 클리어 패드 70매 (2개입),4.04,9593,30000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
23,벨프리모,히알포어 타이트닝 토너 패드 60매,4.63,402,12900,2025-02-20 23:55:56,클렌징,스크럽_필링패드
24,피캄,베리어 사이클 락토P 토너패드 60매,4.47,744,22900,2025-02-20 23:55:56,클렌징,스크럽_필링패드
25,넘버즈인,4번 모공제로 깐달걀 토너패드 70매,4.33,562,20800,2025-02-20 23:55:56,클렌징,스크럽_필링패드
26,프리메이,하트리프 카밍 에센셜 패드 70매 (2개입 2개),4.66,1864,27000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
27,메디힐,피토엔자임 각질 패드 90매,4.41,766,20000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
28,아임프롬,리코리스 클리어 패드 200ml(60매) (2개 묶음),4.65,374,26000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
29,스트라이덱스,센시티브 패드 55매 (2개),3.89,5260,19620,2025-02-20 23:55:56,클렌징,스크럽_필링패드
30,라운드랩,1025 독도 패드 70매,4.40,2274,19200,2025-02-20 23:55:56,클렌징,스크럽_필링패드
31,라운드랩,소나무 진정 시카 패드 50매,4.50,658,22500,2025-02-20 23:55:56,클렌징,스크럽_필링패드
32,이니스프리,비타C 그린티 엔자임 잡티 토닝 패드 60매,4.69,75,21000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
33,스킨푸드,판토테닉 워터 파슬리 클리어 패드 30매 2+1,4.37,149,26000,2025-02-20 23:55:56,클렌징,스크럽_필링패드
