순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,토니모리,어성초 시카 쿨링 수분 크림 100ml,4.49,485,19900,2025-02-20 23:55:56,마스크_팩,슬리핑팩
2,풀리,그린 토마토 크림 90ml,4.59,238,26900,2025-02-20 23:55:56,마스크_팩,슬리핑팩
3,바이오던스,하이드로 세라놀 리얼 딥 마스크,4.58,591,20000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
4,다자연,블루 아가베 포어 슬리핑 마스크 100ml,4.69,421,10000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
5,시드물,알로에 에센셜 [지성민감성피부용] 165ml,4.27,5578,8900,2025-02-20 23:55:56,마스크_팩,슬리핑팩
6,시드물,[1+1]꿀 펩타이드 수면 팩 40ml,4.24,6488,9800,2025-02-20 23:55:56,마스크_팩,슬리핑팩
7,메디큐브,콜라겐 나이트 랩핑 마스크,4.43,714,54000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
8,리더스코스메틱,프로 하이드라 아미노 슬리핑 마스크 4ml(30ea+30ea),4.66,634,14400,2025-02-20 23:55:56,마스크_팩,슬리핑팩
9,하우스오브비,하우스오브비 글루타치온 페이스 필름 3매입 (1box),4.62,416,24000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
10,한율,달빛유자 수면팩,4.60,208,34000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
11,라네즈,워터 슬리핑 마스크 EX 70ml,4.47,575,27200,2025-02-20 23:55:56,마스크_팩,슬리핑팩
12,스킨1004,마다가스카르 센텔라 히알루-시카 슬리핑 팩 - 100ml,4.43,1508,14250,2025-02-20 23:55:56,마스크_팩,슬리핑팩
13,시드물,닥터트럽 징크크림 60g,3.98,3472,14800,2025-02-20 23:55:56,마스크_팩,슬리핑팩
14,바노바기,디엑스 마스크 히야 아쿠아플렉스 (7매입),4.65,494,20000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
15,바이오던스,콜라겐 리얼 딥 마스크,4.14,430,20000,2025-02-20 23:55:56,마스크_팩,슬리핑팩
16,알렉산더킴스코,로얄 비비크림 50ML,4.35,416,52800,2025-02-20 23:55:56,마스크_팩,슬리핑팩
