순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,토리든,다이브인 저분자 히알루론산 마스크 30매,4.75,13777,43000,2025-02-20 23:55:56,마스크_팩,시트마스크
2,메디힐,마데카소사이드 에센셜 마스크 흔적 리페어 10매,4.75,1752,10000,2025-02-20 23:55:56,마스크_팩,시트마스크
3,프리메이,올리브 시카 카밍 앰플 마스크 20매 기획,4.74,4115,15900,2025-02-20 23:55:56,마스크_팩,시트마스크
4,에스네이처,수퍼 아쿠아겔 오아시스 앰플 마스크 30매,4.71,5777,38900,2025-02-20 23:55:56,마스크_팩,시트마스크
5,메디힐,하이퍼 콜라겐 마스크 10매,4.61,608,42000,2025-02-20 23:55:56,마스크_팩,시트마스크
6,다자연,마스크팩 [어성초],4.45,24308,1500,2025-02-20 23:55:56,마스크_팩,시트마스크
7,메디힐,티트리 에센셜 마스크 10매,4.66,2454,10500,2025-02-20 23:55:56,마스크_팩,시트마스크
8,IMU,딥콜라겐 젤리팩 4pack,4.54,692,14000,2025-02-20 23:55:56,마스크_팩,시트마스크
9,닥터오라클,화이트 미백 레시피 마스크팩 25ml(25매입/1box),4.71,1077,13450,2025-02-20 23:55:56,마스크_팩,시트마스크
10,토리든,밸런스풀 시카 마스크 10매,4.72,1758,14500,2025-02-20 23:55:56,마스크_팩,시트마스크
11,본어글리,퍼밍 켈프 퍼스트 마스크 (1매),4.61,1449,1500,2025-02-20 23:55:56,마스크_팩,시트마스크
12,프리메이,비건 핑크 콜라겐 앰플 마스크 30매,4.76,1155,22500,2025-02-20 23:55:56,마스크_팩,시트마스크
13,아로셀,슈퍼 콜라겐 마스크,4.64,450,36000,2025-02-20 23:55:56,마스크_팩,시트마스크
14,라운드랩,자작나무 수분 마스크 (30매),4.58,2848,32900,2025-02-20 23:55:56,마스크_팩,시트마스크
15,비플레인,시카풀 카밍 마스크 30매 (10매x3박스),4.70,3847,47250,2025-02-20 23:55:56,마스크_팩,시트마스크
16,메디힐,마데카소사이드 에센셜 마스크10매+10매,4.71,1613,25000,2025-02-20 23:55:56,마스크_팩,시트마스크
17,듀이트리,AC 컨트롤 EX 딥마스크,4.48,3653,30000,2025-02-20 23:55:56,마스크_팩,시트마스크
18,토리든,셀메이징 비타C 브라이트닝 마스크 10매,4.70,427,15000,2025-02-20 23:55:56,마스크_팩,시트마스크
19,더블유제이,이지에프온 리바이탈 크림 마스크팩 28ml *5매,4.52,391,24800,2025-02-20 23:55:56,마스크_팩,시트마스크
20,백아율,모이스처 밸런싱 마스크 15매+2매 기획세트,4.75,2293,16900,2025-02-20 23:55:56,마스크_팩,시트마스크
21,나드,티트리 진정 수분 마스크팩 (30개입),4.63,1539,14900,2025-02-20 23:55:56,마스크_팩,시트마스크
22,메디힐,더마365 마스크 마데카소사이드 30매,4.75,136,15200,2025-02-20 23:55:56,마스크_팩,시트마스크
23,웰라쥬,리얼 히알루로닉 블루 앰플 마스크 30매 (5매입x6개),4.79,310,45000,2025-02-20 23:55:56,마스크_팩,시트마스크
24,메디힐,스피큘 모공 탄력 시스템 마스크 1 10매,4.55,498,45000,2025-02-20 23:55:56,마스크_팩,시트마스크
25,아비브,껌딱지 시트 마스크 어성초 스티커 10매,4.71,272,28000,2025-02-20 23:55:56,마스크_팩,시트마스크
26,아비브,약산성 시트 마스크 어성초 핏 10매,4.47,2322,28000,2025-02-20 23:55:56,마스크_팩,시트마스크
27,바이오던스,하이드로 세라놀 리얼 딥 마스크,4.58,591,20000,2025-02-20 23:55:56,마스크_팩,시트마스크
28,에스네이처,화이트 글로우 앰플 마스크 10매,4.61,210,15900,2025-02-20 23:55:56,마스크_팩,시트마스크
29,셀퓨전씨,시카 쿨링 마스크 10매,4.73,318,13000,2025-02-20 23:55:56,마스크_팩,시트마스크
30,라운드랩,소나무 진정 시카 마스크 30매,4.63,312,33000,2025-02-20 23:55:56,마스크_팩,시트마스크
31,아로셀,보툴케어 모공 마스크 EX 42g*4매,4.75,12,40000,2025-02-20 23:55:56,마스크_팩,시트마스크
32,휴캄,자작나무 수분 마스크팩 20매 기획 (+시카마스크 3매 증정),4.66,949,19900,2025-02-20 23:55:56,마스크_팩,시트마스크
33,수이스킨,편안한 진정초 시트 마스크 2BOX (25ml*10매),4.73,502,18000,2025-02-20 23:55:56,마스크_팩,시트마스크
34,하우스오브비,하우스오브비 글루타치온 페이스 필름 3매입 (1box),4.62,416,24000,2025-02-20 23:55:56,마스크_팩,시트마스크
35,셀퓨전씨,포스트 알파 퍼스트 쿨링 마스크 10매,4.45,739,14500,2025-02-20 23:55:56,마스크_팩,시트마스크
36,파티온,노스카나인 트러블 세럼 마스크 10매,4.70,166,40000,2025-02-20 23:55:56,마스크_팩,시트마스크
37,휴캄,시카 진정 마스크 20매 기획 (+시카마스크 3매 증정),4.79,709,19900,2025-02-20 23:55:56,마스크_팩,시트마스크
38,비플레인,캐모마일 인텐스 보습 마스크 10매 (5매x2박스),4.72,503,20000,2025-02-20 23:55:56,마스크_팩,시트마스크
39,라운드랩,동백 딥 콜라겐 탄력 겔 마스크 4매,4.64,50,16800,2025-02-20 23:55:56,마스크_팩,시트마스크
40,라운드랩,1025 독도 수분 워터겔 마스크 30ml (10매),4.57,1018,20000,2025-02-20 23:55:56,마스크_팩,시트마스크
41,메디힐,더마 시너지 랩핑 마스크 [모공탄력] 10매,4.63,393,35000,2025-02-20 23:55:56,마스크_팩,시트마스크
42,프리메이,비건 옐로우 비타민 앰플 마스크 30매,4.73,348,23500,2025-02-20 23:55:56,마스크_팩,시트마스크
43,마녀공장,비피다 바이옴 앰플 마스크 10매,4.60,577,18000,2025-02-20 23:55:56,마스크_팩,시트마스크
44,듀이트리,AC 딥 열감 진정 마스크 20매,4.68,53,25800,2025-02-20 23:55:56,마스크_팩,시트마스크
45,토리든,셀메이징 저분자 콜라겐 탄력 겔 마스크 4매,4.61,159,22900,2025-02-20 23:55:56,마스크_팩,시트마스크
46,듀이트리,픽 앤 퀵 카밍 풀 마스크 30매,4.62,130,11500,2025-02-20 23:55:56,마스크_팩,시트마스크
47,제나벨,PDRN 리쥬비네이팅 마스크팩 10+1매 기획 (+PDRN 재생크림 1ml*5개),4.65,202,18900,2025-02-20 23:55:56,마스크_팩,시트마스크
48,바노바기,디엑스 마스크 히야 아쿠아플렉스 (7매입),4.65,494,20000,2025-02-20 23:55:56,마스크_팩,시트마스크
