순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,클리오,"샤프, 쏘 심플 펜슬 라이너 (AD) [4호 다크브라운] (0.14g) (2개입)",4.70,230,13500,2025-02-20 23:55:56,아이메이크업,아이라이너
2,클리오,"샤프, 쏘 심플 워터프루프 펜슬 라이너 (24AD) [5호 애쉬브라운] (0.14g)",4.71,48,7700,2025-02-20 23:55:56,아이메이크업,아이라이너
3,투쿨포스쿨,스머징 트임 라이너 [2호 퍼지],4.48,63,12000,2025-02-20 23:55:56,아이메이크업,아이라이너
4,머지,더 퍼스트 펜 아이라이너 [P2 브라우니] 0.5g,4.27,1577,6900,2025-02-20 23:55:56,아이메이크업,아이라이너
5,클리오,"샤프, 쏘 심플 펜슬 라이너 (AD) [3호 블랙브라운] (0.14g) [2개입]",4.58,53,13500,2025-02-20 23:55:56,아이메이크업,아이라이너
6,삐아,라스트 오토 젤 아이라이너 [20 모브번] 0.3g,4.50,14,9000,2025-02-20 23:55:56,아이메이크업,아이라이너
7,컬러그램,올인원 애교살 메이커 [03 진짜],4.30,116,9800,2025-02-20 23:55:56,아이메이크업,아이라이너
8,릴리바이레드,나인투나인 서바이벌 펜라이너 내추럴 [02 애쉬브라운] 1g,4.63,49,8100,2025-02-20 23:55:56,아이메이크업,아이라이너
9,클리오,"샤프, 쏘 심플 워터프루프 펜슬 라이너 (24AD) [6호 바닐라베이지] (0.14g)",4.71,28,7700,2025-02-20 23:55:56,아이메이크업,아이라이너
10,클리오,수퍼프루프 브러쉬 라이너 [킬브라운],4.25,322,12600,2025-02-20 23:55:56,아이메이크업,아이라이너
11,다이소,스타일리쉬 붓펜 아이라이너 [브라운],4.35,256,3000,2025-02-20 23:55:56,아이메이크업,아이라이너
12,투쿨포스쿨,아트클래스 스머징 트임 라이너 [4호 멜로우],4.90,10,12000,2025-02-20 23:55:56,아이메이크업,아이라이너
13,코스노리,슈퍼프루프 피팅 브러쉬 아이라이너 [02 블랙브라운] 0.6g,4.51,172,12600,2025-02-20 23:55:56,아이메이크업,아이라이너
14,릴리바이레드,스태리아이즈 나인투나인 젤 아이라이너 [4호 골든핑크] 0.5g,4.59,142,7000,2025-02-20 23:55:56,아이메이크업,아이라이너
15,컬러그램,음영 창조 라이너 [03 70%음영],4.57,51,9900,2025-02-20 23:55:56,아이메이크업,아이라이너
16,컬러그램,음영 창조 라이너 [02 30%음영],4.45,56,9900,2025-02-20 23:55:56,아이메이크업,아이라이너
17,키스미,히로인메이크 스무스 리퀴드 아이라이너 N [03 차콜브라운],4.56,32,18000,2025-02-20 23:55:56,아이메이크업,아이라이너
