순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,클리오,프로 아이 팔레트 에어 [03 뮤트라이브러리],4.66,169,23800,2025-02-20 23:55:56,아이메이크업,아이섀도
2,홀리카홀리카,마이페이브 무드 아이 팔레트 11 레터프롬스프링 7.9g,4.76,71,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
3,투쿨포스쿨,프로타주 펜슬 [9호 쉬어누드],4.51,440,13000,2025-02-20 23:55:56,아이메이크업,아이섀도
4,페리페라,잉크 포켓 섀도우 팔레트 23AD [4호 뮤트를아는느낌],4.66,135,11500,2025-02-20 23:55:56,아이메이크업,아이섀도
5,클리오,쉐이드 앤 섀도우 팔레트 [3호 스쿱오브쉐이드],4.70,231,23800,2025-02-20 23:55:56,아이메이크업,아이섀도
6,롬앤,베러 댄 팔레트 [06 피오니누드가든],4.45,456,30000,2025-02-20 23:55:56,아이메이크업,아이섀도
7,클리오,프로 아이 팔레트 에어 [02 로즈커넥트] (0.6g*12),4.68,147,23800,2025-02-20 23:55:56,아이메이크업,아이섀도
8,클리오,프로 아이 팔레트 에어 [08 라떼는선임] (0.6g*12),4.80,51,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
9,투쿨포스쿨,프로타주 펜슬 [1호 샤이닝린넨],4.43,515,13000,2025-02-20 23:55:56,아이메이크업,아이섀도
10,홀리카홀리카,마이페이브 피스 섀도우 [03 스트로베리크림] 1g,4.81,142,5100,2025-02-20 23:55:56,아이메이크업,아이섀도
11,페리페라,올테이크 무드 팔레트 [05 봄바람아너는계획이있구나],4.64,436,21000,2025-02-20 23:55:56,아이메이크업,아이섀도
12,웨이크메이크,소프트 블러링 아이팔레트 [08 캔디코랄블러링],4.53,93,34000,2025-02-20 23:55:56,아이메이크업,아이섀도
13,페리페라,올테이크 무드 라이크 팔레트 [01 프레스티지핑크] 13g,4.65,130,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
14,홀리카홀리카,핑크올로지 마이페이브 무드 아이 팔레트 8g,4.75,144,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
15,데이지크,섀도우 팔레트 [13 쿨 블렌딩],4.45,240,28900,2025-02-20 23:55:56,아이메이크업,아이섀도
16,롬앤,베러 댄 아이즈 뮤직시리즈 [M02 말린메밀꽃],4.41,996,18000,2025-02-20 23:55:56,아이메이크업,아이섀도
17,홀리카홀리카,마이페이브 피스 섀도우 [22 베베] 1g,4.83,187,5100,2025-02-20 23:55:56,아이메이크업,아이섀도
18,롬앤,베러 댄 팔레트 [05 쉐이드앤섀도우가든],4.52,211,30000,2025-02-20 23:55:56,아이메이크업,아이섀도
19,페리페라,페리복권 컬렉션 올테이크 무드 팔레트 [018 페리가말아주는뉴트럴아니면안돼],4.81,47,21000,2025-02-20 23:55:56,아이메이크업,아이섀도
20,페리페라,[약과몰입] 올테이크 무드 라이크 팔레트 [03 허니브라운],4.72,65,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
21,웨이크메이크,소프트 블러링 아이팔레트 [04 라벤더블러링],4.49,114,34000,2025-02-20 23:55:56,아이메이크업,아이섀도
22,에스쁘아,리얼 아이 팔레트 [11호 오트라떼],4.79,80,32000,2025-02-20 23:55:56,아이메이크업,아이섀도
23,에스쁘아,리얼 아이 팔레트 [4호 모브미],4.62,374,32000,2025-02-20 23:55:56,아이메이크업,아이섀도
24,클리오,코숏에디션 프로 아이 팔레트 [19호 낮잠자는치즈],4.62,139,34000,2025-02-20 23:55:56,아이메이크업,아이섀도
25,홀리카홀리카,마이페이브 피스 섀도우 [20 투샷아메리카노] 1g,4.84,161,5100,2025-02-20 23:55:56,아이메이크업,아이섀도
26,삐아,에센셜 아이 팔레트 [01 유어 모브] 8.5g,4.79,43,30000,2025-02-20 23:55:56,아이메이크업,아이섀도
27,데이지크,섀도우 팔레트 [27 로즈밀크티],4.69,13,27900,2025-02-20 23:55:56,아이메이크업,아이섀도
28,페리페라,도토리컬렉션 올테이크 무드 팔레트 [013 금쪽이는왜가을웜이좋아],4.62,117,21000,2025-02-20 23:55:56,아이메이크업,아이섀도
29,투쿨포스쿨,프로타주 팔레트 [2호 소프티핑크],4.64,14,34000,2025-02-20 23:55:56,아이메이크업,아이섀도
30,클리오,프로 아이 팔레트 에어 [01 코랄스튜디오] (0.6g*12),4.74,50,25500,2025-02-20 23:55:56,아이메이크업,아이섀도
31,홀리카홀리카,타로즈 컬렉션 마이페이브 무드 아이 팔레트 [픽더로즈] 8g,4.83,53,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
32,클리오,프로 아이 팔레트 에어 [004 핑크페어링],4.86,36,23800,2025-02-20 23:55:56,아이메이크업,아이섀도
33,홀리카홀리카,마이페이브 무드 아이 팔레트 [05 닛니트] 8g,4.69,129,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
34,홀리카홀리카,마이페이브 피스 섀도우 [02 핑키드] 1g,4.80,98,5100,2025-02-20 23:55:56,아이메이크업,아이섀도
35,릴리바이레드,스모어 딥 컬렉션 무드키보드 [11 #초코칩스모어],4.64,25,29000,2025-02-20 23:55:56,아이메이크업,아이섀도
36,웨이크메이크,소프트 블러링 아이팔레트 [05 뮤트코랄블러링],4.55,55,34000,2025-02-20 23:55:56,아이메이크업,아이섀도
37,클리오,냥생역전 코숏 에디션 프로 아이 팔레트 에어 [12호 크리스탈발바닥],4.71,17,23800,2025-02-20 23:55:56,아이메이크업,아이섀도
38,삐아,레디 투 웨어 아이 팔레트 [06 쿨스탠다드] 5g,4.60,42,20000,2025-02-20 23:55:56,아이메이크업,아이섀도
39,페리페라,나잇페리프렌즈 컬렉션 올테이크 무드 라이크 팔레트 [04 쿨블러쉬],4.50,26,22400,2025-02-20 23:55:56,아이메이크업,아이섀도
40,릴리바이레드,무드키보드 [05 웜 멤버십] 10.5g,4.54,128,20300,2025-02-20 23:55:56,아이메이크업,아이섀도
41,홀리카홀리카,마이페이브 피스 섀도우 [09 졸리] 1g,4.82,82,5100,2025-02-20 23:55:56,아이메이크업,아이섀도
42,릴리바이레드,무드키보드 [04 쿨 멤버십] 10.5g,4.43,128,20300,2025-02-20 23:55:56,아이메이크업,아이섀도
43,네이처리퍼블릭,데일리 베이직 팔레트 [5호 피치핑크] 2.4g,4.68,79,10500,2025-02-20 23:55:56,아이메이크업,아이섀도
44,페리페라,올테이크 무드 팔레트 [09 어?핑크너지금라벤더하는?],4.60,213,11900,2025-02-20 23:55:56,아이메이크업,아이섀도
45,클리오,프로 아이 팔레트 [14호 한남동아뜰리에],4.52,134,34000,2025-02-20 23:55:56,아이메이크업,아이섀도
46,릴리바이레드,무드키보드 [08 라벤더다이얼] 10.5g,4.53,60,20300,2025-02-20 23:55:56,아이메이크업,아이섀도
47,클리오,프로 아이 팔레트 에어 [07 라벤더신입] (0.6g*12),4.38,48,23800,2025-02-20 23:55:56,아이메이크업,아이섀도
