순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,에스네이처,아쿠아 소이 요거 아이크림 25g 더블 기획세트 + 수분크림 10ml,4.56,7712,26900,2025-02-20 23:55:56,스킨케어,아이케어
2,리더스코스메틱,리더스 그린 콜라겐 아이크림 포 페이스 50ml+30ml 기획,4.63,1593,13100,2025-02-20 23:55:56,스킨케어,아이케어
3,닥터멜락신,시멘리트 골조 아이 크림 50ml,4.48,425,30900,2025-02-20 23:55:56,스킨케어,아이케어
4,비햅,슬로우차가 광채탄력 페이스 아이 세럼 50ml,4.69,633,44100,2025-02-20 23:55:56,스킨케어,아이케어
5,소미,볼륨 리페어 아이크림 20ml (3개),4.66,413,21000,2025-02-20 23:55:56,스킨케어,아이케어
6,코스노리,아보카도 아이크림 올페이스 60ml 대용량 기획 (30ml + 15ml + 15ml),4.57,2417,18900,2025-02-20 23:55:56,스킨케어,아이케어
7,토리든,셀메이징 저분자 콜라겐 탄력 아이크림 30 ml,4.74,156,25000,2025-02-20 23:55:56,스킨케어,아이케어
8,닥터오라클,레티노타이트닝 3D톡스 펩타이드 아이크림 25ml,4.74,421,21900,2025-02-20 23:55:56,스킨케어,아이케어
9,유세린,하이알루론 3X 아이크림 [SPF15] 더블팩,4.62,118,102000,2025-02-20 23:55:56,스킨케어,아이케어
10,마티나겝하르트,아보카도 아이크림 15ml (jar)타입 (2개입),4.33,8867,29900,2025-02-20 23:55:56,스킨케어,아이케어
11,샤이샤이샤이,바나나 컨실 아이크림 15g,4.25,654,20800,2025-02-20 23:55:56,스킨케어,아이케어
12,아비브,콜라겐 아이크림 부활초 튜브 30ml,4.41,46,18200,2025-02-20 23:55:56,스킨케어,아이케어
13,AHC,퓨어레스큐아이크림,4.48,2428,8000,2025-02-20 23:55:56,스킨케어,아이케어
14,잇츠스킨,파워10 감초줄렌 아이크림 25ml,4.56,367,13000,2025-02-20 23:55:56,스킨케어,아이케어
15,라로제,안티퍼티그 아이 컨투어 스틱,4.51,427,44000,2025-02-20 23:55:56,스킨케어,아이케어
16,비플레인,하루한쑥 아이버터 25ml,4.37,1731,19800,2025-02-20 23:55:56,스킨케어,아이케어
17,AHC,텐레볼루션 아이크림 포 페이스,4.18,305,66000,2025-02-20 23:55:56,스킨케어,아이케어
18,스킨1004,마다가스카르 센텔라 프로바이오시카 바쿠치올 아이 크림_20ml,4.58,107,16800,2025-02-20 23:55:56,스킨케어,아이케어
19,에스티로더,어드밴스드 나이트 리페어 갈색병 아이 젤 크림,4.31,93,123000,2025-02-20 23:55:56,스킨케어,아이케어
20,라운드랩,1025 독도 아이크림 30ml,4.29,148,28000,2025-02-20 23:55:56,스킨케어,아이케어
21,조선미녀,인삼아이크림 30ml,4.25,24,17000,2025-02-20 23:55:56,스킨케어,아이케어
22,ELT,비타유스 비타민 아이크림 30ml,4.49,216,28000,2025-02-20 23:55:56,스킨케어,아이케어
23,AHC,프리미어 앰플인아이크림 코어리프팅,4.63,35,31000,2025-02-20 23:55:56,스킨케어,아이케어
24,나드,EGF 콜라겐 펩타이드 아이크림 40ml (4개입 1+1),4.52,60,19800,2025-02-20 23:55:56,스킨케어,아이케어
25,닥터디퍼런트,비타리프트-A [아이&넥],4.47,76,40000,2025-02-20 23:55:56,스킨케어,아이케어
26,AHC,유스 래스팅 리얼 아이크림 포 페이스,4.21,360,23000,2025-02-20 23:55:56,스킨케어,아이케어
27,메디큐브,딥 리프팅 펩타이드 아이크림,4.40,10,60000,2025-02-20 23:55:56,스킨케어,아이케어
28,편강율,집중케어 아이크림 25ml (2개입),4.55,22,14900,2025-02-20 23:55:56,스킨케어,아이케어
29,메디힐,비타 콜라겐 아이 앰플 패치 60매,4.36,28,14200,2025-02-20 23:55:56,스킨케어,아이케어
30,마녀공장,4GF 앰플 아이 크림 30ml,4.13,106,26500,2025-02-20 23:55:56,스킨케어,아이케어
31,W.피부연구소,스탑에이징 펩타이드 아이크림 30ml (2개입),4.60,96,12900,2025-02-20 23:55:56,스킨케어,아이케어
32,비원츠,피토 콜라겐 아이크림스틱,4.67,18,34000,2025-02-20 23:55:56,스킨케어,아이케어
33,에스트라,리제덤365 레티노이드 아이세럼,4.07,15,35000,2025-02-20 23:55:56,스킨케어,아이케어
34,바비브라운,엑스트라 리페어 아이크림 인텐스,4.63,46,144000,2025-02-20 23:55:56,스킨케어,아이케어
35,닥터마이스킨,올 그린 지모 펩타 히알루론 아이크림 75g (1+1),4.61,70,19800,2025-02-20 23:55:56,스킨케어,아이케어
36,AHC,프로샷 콜라 쥬비네이션 리프트4 캡슐 인퓨즈드 아이크림 포 페이스,4.13,15,38000,2025-02-20 23:55:56,스킨케어,아이케어
37,토니모리,레드레티놀 0.1% 링클 멀티크림,4.44,103,68000,2025-02-20 23:55:56,스킨케어,아이케어
38,썬플랜,타임슬립 아이 크림,4.31,99,62000,2025-02-20 23:55:56,스킨케어,아이케어
