순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,토리든,다이브인 저분자 히알루론산 세럼 100ml 기획 (+수딩크림 50ml),4.59,53973,26900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
2,웰라쥬,리얼 히알루로닉 블루 100 앰플 120ml기획(본품60ml+리필60ml),4.65,13110,19900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
3,메디힐,마데카소사이드 흔적 리페어 세럼 100ml 기획 (+패드 2매+마스크 1매),4.55,3143,26100,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
4,프리메이,트리플 이펙트 시너지 세럼 기획(세럼 50ml+크림30ml),4.64,1607,18900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
5,에스네이처,아쿠아 스쿠알란 세럼 100ml + 마스크팩 1매,4.71,8038,21900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
6,아누아,피디알엔 히알루론산 캡슐 100 세럼 30ml,4.60,1743,24900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
7,토리든,밸런스풀 시카 진정 세럼 50ml 기획 (+마스크팩 2매+크림 20ml),4.68,5108,14900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
8,파티온,노스카나인 트러블 세럼 20ml 1+1 기획,4.54,7997,21900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
9,에스네이처,아쿠아 콜라겐 펩타이드 젤에센스 50ml 1+1 더블 기획 (+토너 12ml),4.63,15336,18900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
10,스킨앤랩,베리어덤 링거 앰플 100ml 기획 (70ml+30ml),4.71,1851,19900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
11,에스네이처,화이트 글로우 앰플 50ml + 50ml,4.59,2509,21900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
12,코스알엑스,더 6 펩타이드 스킨 부스터 세럼 150ml 더블기획 (+30ml*2개),4.68,2779,29000,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
13,메디힐,티트리 진정 수분 앰플 73ml 기획(앰플 50ml+23ml+패드3매),4.63,4808,17900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
14,비플레인,녹두 모공 타이트업 세럼 30ml+15ml 기획,4.55,3224,15800,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
15,딕셔니스트,아미노산 앰플 60ml 기획(앰플 30ml+10ml*3개+토너20ml),4.61,4350,23900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
16,토코보,시카 카밍 세럼 50ml 기획 (+크림 15ml+세럼 5ml),4.69,1754,18900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
17,웰라쥬,리얼 시카 카밍 95 트러블 앰플 50ml (+마스크 2매 증정),4.62,2628,15900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
18,비플레인,시카테롤 앰플 50ml 대용량 기획(+패드10매),4.62,7448,20900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
19,달바,화이트 트러플 더블 세럼 앤 크림 70g,4.73,3826,78000,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
20,라운드랩,소나무 진정 시카 앰플 50ml,4.57,4739,23900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
21,앰플엔,세라마이드샷 고보습 앰플 100ml,4.48,7172,17900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
22,엑시스와이,잡티케어 글로우 세럼 50ml,4.53,844,26400,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
23,주미소,히알루론산 워터 플럼핑 수분 세럼 50ml,4.66,535,15400,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
24,브링그린,징크테카 트러블 세럼,4.38,1953,39600,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
25,코스알엑스,더 비타민씨 23 세럼 20ml 더블기획(+더 펩타이드 세럼 30ml),4.48,2933,29000,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
26,퓨리토서울,원더 릴리프 센텔라 세럼 언센티드,4.61,2003,28000,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
27,포레스트,피톤 수분시카 세럼 50ml 기획세트(본품+세럼10ml+크림10ml+패드10ea),4.55,2174,19900,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
28,이니스프리,레티놀 시카 흔적 앰플 30ml +레티놀 시카 흔적 베리어 크림 50ml,4.42,4412,51000,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
29,마녀공장,비피다 바이옴 콤플렉스 앰플 30ml (+비피다앰플8ml),4.55,2573,20200,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
30,토리든,셀메이징 비타C 브라이트닝 앰플 30ml,4.61,999,18200,2025-02-20 23:55:56,스킨케어,에센스_앰플_세럼
