순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,에스네이처,아쿠아 오아시스 수분 젤크림 80ml,4.74,1473,22900,2025-02-20 23:55:56,스킨케어,젤
2,아로마티카,수딩 알로에 베라 젤 세트 500ml+180ml x 2ea,4.45,26853,21000,2025-02-20 23:55:56,스킨케어,젤
3,브링그린,알로에99% 수딩젤,4.49,1382,6800,2025-02-20 23:55:56,스킨케어,젤
4,잇츠스킨,[1+1] 파워10 감초줄렌 수딩 젤크림 55ml 기획세트,4.60,1700,26900,2025-02-20 23:55:56,스킨케어,젤
5,일리윤,세라마이드 아토 수딩 젤,4.50,2457,21900,2025-02-20 23:55:56,스킨케어,젤
6,시드물,알로에 에센셜 [지성민감성피부용] 165ml,4.27,5578,8900,2025-02-20 23:55:56,스킨케어,젤
7,이니스프리,알로에 리바이탈라이징 수딩젤 300mL,4.15,2072,10000,2025-02-20 23:55:56,스킨케어,젤
8,비플레인,시카풀 카밍젤 80ml,4.49,2521,12600,2025-02-20 23:55:56,스킨케어,젤
9,라운드랩,자작나무 수분 수딩젤 150ml,4.54,314,10800,2025-02-20 23:55:56,스킨케어,젤
10,보타니티,마키올 수분 수딩 젤 크림 80ml,4.59,1128,12000,2025-02-20 23:55:56,스킨케어,젤
11,이즈앤트리,알로에 수딩 젤 [촉촉한타입] 150ml,4.37,816,9900,2025-02-20 23:55:56,스킨케어,젤
12,아이레시피,아쿠아 피토플렉스 크림 인 젤 100ml (1+1),4.53,692,14900,2025-02-20 23:55:56,스킨케어,젤
13,식물나라,제주 알로에 촉촉 수딩젤,4.47,81,5800,2025-02-20 23:55:56,스킨케어,젤
14,팜트리,스티모 시카 릴리프 젤 80ml,4.63,84,21900,2025-02-20 23:55:56,스킨케어,젤
15,이즈앤트리,알로에 수딩 젤 [산뜻한타입] 300ml,4.67,61,9900,2025-02-20 23:55:56,스킨케어,젤
16,마데카21,테카 솔루션 수딩 스팟 젤,4.36,53,3000,2025-02-20 23:55:56,스킨케어,젤
17,시드물,알로에 에센셜 [중건성일반피부용] 165ml,4.25,1779,8900,2025-02-20 23:55:56,스킨케어,젤
18,홀리카홀리카,알로에 99% 수딩젤,4.09,2206,6800,2025-02-20 23:55:56,스킨케어,젤
19,원씽,병풀 수딩크림 100ml,4.55,105,13900,2025-02-20 23:55:56,스킨케어,젤
20,코스알엑스,하이드리움 그린티 아쿠아 수딩 젤 크림 50ml,4.36,318,19700,2025-02-20 23:55:56,스킨케어,젤
21,이솔,프로폴리스 수딩 솔루션 70ml,4.22,6019,9900,2025-02-20 23:55:56,스킨케어,젤
22,라이크듀,90% 알로에 베라 듀 수딩젤,4.36,118,20000,2025-02-20 23:55:56,스킨케어,젤
23,네이처리퍼블릭,[비건] 수딩 앤 모이스처 알로에베라 수딩젤 (튜브) 250ml,4.21,109,4900,2025-02-20 23:55:56,스킨케어,젤
24,아리라끄,대용량 알로에 수딩젤 97% 1000ml,4.76,46,16000,2025-02-20 23:55:56,스킨케어,젤
25,시드물,진한 어성초 시카 에센셜,4.58,84,24800,2025-02-20 23:55:56,스킨케어,젤
26,닥터올가,알로에 스킨 수딩 젤 210ml,4.33,1740,21000,2025-02-20 23:55:56,스킨케어,젤
27,큐어,리알로에 수딩젤,4.38,71,25000,2025-02-20 23:55:56,스킨케어,젤
28,토니모리,어성초시카 퀵 카밍 수딩젤 300ml,4.58,146,12600,2025-02-20 23:55:56,스킨케어,젤
29,야다,선인장 수딩젤,4.45,429,14500,2025-02-20 23:55:56,스킨케어,젤
30,리더스코스메틱,아임피토 부활초 수딩젤 200ml(1+1),4.58,98,14400,2025-02-20 23:55:56,스킨케어,젤
31,다자연,어성초 데일리 카밍젤 100ML,4.54,316,10000,2025-02-20 23:55:56,스킨케어,젤
32,브링그린,알로에 97% 수딩젤,4.53,15,6800,2025-02-20 23:55:56,스킨케어,젤
33,라로슈포제,시카플라스트 젤 B5,3.95,1230,27000,2025-02-20 23:55:56,스킨케어,젤
34,시드물,티트리 에센셜 165nl,4.03,1578,13800,2025-02-20 23:55:56,스킨케어,젤
35,피지오겔,레드수딩 AI 카밍젤,4.67,21,29000,2025-02-20 23:55:56,스킨케어,젤
36,비플레인,히알루로닉 아쿠아 젤,4.27,704,18000,2025-02-20 23:55:56,스킨케어,젤
37,미샤,프리미엄 시카 알로에 수딩젤 300ml,4.16,45,4060,2025-02-20 23:55:56,스킨케어,젤
38,키엘,울트라 훼이셜 오일-프리 젤 크림,3.96,901,49000,2025-02-20 23:55:56,스킨케어,젤
39,디지토,앰플자생크림 시카 레이저 점뺀후 피부과 재생 관리후 보습 진정 크림25m 1+1,4.43,47,15900,2025-02-20 23:55:56,스킨케어,젤
40,시드물,센텔라에센셜,4.11,796,28600,2025-02-20 23:55:56,스킨케어,젤
41,유세린,울트라 센시티브 리페어 젤 50ml,4.23,136,35000,2025-02-20 23:55:56,스킨케어,젤
42,바이오더마,아토덤 인텐시브 젤 크림,4.04,205,33000,2025-02-20 23:55:56,스킨케어,젤
43,해서린,스팟케어 클리어 젤 15ml,4.46,117,8400,2025-02-20 23:55:56,스킨케어,젤
44,토니모리,원더 아쿠아 수분크림,4.26,120,15000,2025-02-20 23:55:56,스킨케어,젤
45,시드물,비타민 C 에너지 수분젤,4.09,217,12800,2025-02-20 23:55:56,스킨케어,젤
46,시드물,알로에 베라 96 수딩겔,4.20,364,9600,2025-02-20 23:55:56,스킨케어,젤
47,더페이스샵,신선한 제주 알로에수딩젤,4.28,61,4500,2025-02-20 23:55:56,스킨케어,젤
48,웰라쥬,리얼 히알루로닉 겔 크림,4.52,23,28000,2025-02-20 23:55:56,스킨케어,젤
49,라포티셀,판테놀 10% 수딩 크림 75ml,4.42,281,32000,2025-02-20 23:55:56,스킨케어,젤
50,시드물,그린 토마토 모공 리프팅 에센셜,4.33,30,9800,2025-02-20 23:55:56,스킨케어,젤
51,수피아,알로에베라잎즙 수딩젤,4.40,213,6700,2025-02-20 23:55:56,스킨케어,젤
52,블랑센,시카 알로에수딩젤,4.83,12,15000,2025-02-20 23:55:56,스킨케어,젤
53,이솝,비 트리플 씨 페이셜 밸런싱 젤,4.33,15,153000,2025-02-20 23:55:56,스킨케어,젤
54,유니베라,스킨케어100,4.26,1893,35000,2025-02-20 23:55:56,스킨케어,젤
55,라라폴리,알로에베라 수딩젤 100프로,4.34,50,5500,2025-02-20 23:55:56,스킨케어,젤
56,시드물,불가리안 로즈 에센셜,4.20,288,14800,2025-02-20 23:55:56,스킨케어,젤
57,코르테,더모 레쥬비네이션 리젤,4.51,71,29000,2025-02-20 23:55:56,스킨케어,젤
58,코나피딜,그린박신,4.15,33,,2025-02-20 23:55:56,스킨케어,젤
59,시드물,노니 수분 에센셜,4.41,85,9800,2025-02-20 23:55:56,스킨케어,젤
60,브링오가닉,알로에 시카 수딩젤 애프터 왁싱 150ml,4.34,38,15600,2025-02-20 23:55:56,스킨케어,젤
61,시드물,울트라 페이셜 모이스처라이징 카밀레 데콘 젤,4.37,30,18600,2025-02-20 23:55:56,스킨케어,젤
62,자미원,비엔비 겔,4.92,12,50000,2025-02-20 23:55:56,스킨케어,젤
63,팜트리,더순한 수딩 젤 125ml,4.47,64,19900,2025-02-20 23:55:56,스킨케어,젤
64,르제,바바수하이드레이팅겔,4.93,15,70000,2025-02-20 23:55:56,스킨케어,젤
65,ST.BAUME,네이키드 퓨어 알로에베라 주스 젤,4.80,10,38000,2025-02-20 23:55:56,스킨케어,젤
66,히루스카,포스트아크네,4.13,214,32000,2025-02-20 23:55:56,스킨케어,젤
67,원데이즈유,시카밍 수딩젤 200ml,4.69,13,14400,2025-02-20 23:55:56,스킨케어,젤
68,바이더퀄리티,알로줄렌 로션 젤,4.19,16,110000,2025-02-20 23:55:56,스킨케어,젤
69,메디힐,알로에베라 아쿠아 겔,4.33,18,,2025-02-20 23:55:56,스킨케어,젤
70,쿤달,리얼 알로에 베라 워터풀 모이스처 수딩젤,4.59,29,11500,2025-02-20 23:55:56,스킨케어,젤
