순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,더샘,커버 퍼펙션 트리플 팟 컨실러 13.5g 01 코렉트베이지,4.36,717,12000,2025-02-20 23:55:56,베이스메이크업,컨실러
2,루나,컨실 블렌더 팔레트 [1호 클리어커버],4.63,140,24000,2025-02-20 23:55:56,베이스메이크업,컨실러
3,티핏,커버 업 프로 컨실러 [01 뉴트럴],4.55,514,13000,2025-02-20 23:55:56,베이스메이크업,컨실러
4,루나,롱래스팅 팁 컨실러 [SPF34/PA++] [1호 바닐라],4.40,560,15000,2025-02-20 23:55:56,베이스메이크업,컨실러
5,스킨푸드,연어 다크서클 컨실러 크림 [1호살몬블루밍] 10g,4.54,26,8000,2025-02-20 23:55:56,베이스메이크업,컨실러
6,바닐라코,커버리셔스 파워 핏 컨실러 5.5g [21 피치],4.42,249,12600,2025-02-20 23:55:56,베이스메이크업,컨실러
7,샤이샤이샤이,바나나 컨실 아이크림 15g,4.25,654,20800,2025-02-20 23:55:56,베이스메이크업,컨실러
8,더샘,커버 퍼펙션 트리플 팟 컨실러 13.5g 03 코렉트업 베이지,4.36,231,12000,2025-02-20 23:55:56,베이스메이크업,컨실러
9,더샘,커버 퍼펙션 컨실러 펜슬 2.5g 1.5 내추럴 베이지 2개,4.58,136,14000,2025-02-20 23:55:56,베이스메이크업,컨실러
10,루나,롱래스팅 팁 컨실러 [SPF34/PA++] [2호 베이지],4.43,220,15000,2025-02-20 23:55:56,베이스메이크업,컨실러
11,삐아,오 스테이 컨실러 [00 밀크] 8g,4.73,11,15000,2025-02-20 23:55:56,베이스메이크업,컨실러
12,더샘,커버 퍼펙션 팁 컨실러 피치베이지 6.5g (3개입),4.62,29,16500,2025-02-20 23:55:56,베이스메이크업,컨실러
13,글로우,낫 드라이 컨실러 [라이트+로지살몬],4.64,11,29000,2025-02-20 23:55:56,베이스메이크업,컨실러
14,클리오,킬커버 파운웨어 컨실러 [3호 리넨] (6g),4.48,23,10500,2025-02-20 23:55:56,베이스메이크업,컨실러
15,바닐라코,커버리셔스 파워 핏 컨실러 5.5g [23 피넛],4.39,110,12600,2025-02-20 23:55:56,베이스메이크업,컨실러
16,루나,팟 컨실러 [아이보리],4.50,32,15000,2025-02-20 23:55:56,베이스메이크업,컨실러
17,티핏,커버 업 프로 컨실러 [03 쿨],4.77,30,13000,2025-02-20 23:55:56,베이스메이크업,컨실러
18,컬러그램,올인원 애교살 메이커 [03 진짜],4.30,116,9800,2025-02-20 23:55:56,베이스메이크업,컨실러
19,클리오,킬커버 파운웨어 컨실러 [2호 란제리] (6g),4.24,42,10500,2025-02-20 23:55:56,베이스메이크업,컨실러
