순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,롬앤,글래스팅 멜팅 밤 [06 카야피그],4.51,482,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
2,유이크,바이옴 베리어 멜팅 모이스처 립밤 [로지] 3.2g,4.66,495,12000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
3,아이소이,립 트리트먼트 밤 퓨어레드 5g,4.32,3889,17820,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
4,이니스프리,듀이 틴트 립밤 4 로즈브릭 3.2g,4.52,42,14400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
5,바세린,(유니레버) 립 테라피 미니자 [로지립스],4.73,82,5000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
6,유이크,바이옴 베리어 멜팅 모이스처 립밤 [모브라이즈],4.83,18,12000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
7,네이처리퍼블릭,글레이즈 샤인 립 오일 [01 베이비피치] 7g,4.91,23,5900,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
8,롬앤,글래스팅 멜팅 밤 [07 모브휩],4.32,177,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
9,롬앤,글래스팅 멜팅 밤 [12 베일드로즈],4.57,100,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
10,휴캄,비건 에센셜 컬러 립밤 레드베리 3.8g,4.62,34,15000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
11,롬앤,글래스팅 멜팅 밤 [05 누가샌드],4.44,154,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
12,헤라,센슈얼 누드 밤 [174호 뮤트핑크],4.53,72,40000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
13,믹순,비건 멜팅 립밤 02. 드라이로즈,4.62,60,15000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
14,네츄럴샤인,럭스 트리플 립 큐어 밤 [1호 아테나밤],4.29,497,16500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
15,식물나라,촉촉한 컬러 립밤 [핑크],4.33,21,7800,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
16,샤넬,N°1 DE CHANEL 레드 까멜리아 립 앤 치크 밤 [002 헬시핑크],4.74,23,63000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
17,한율,자연을 닮은 립밤 1호 자초 3.2g,4.63,19,10500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
18,이니스프리,듀이 틴트 립밤 1 베이비핑크 3.2g,4.76,17,14400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
19,토코보,글로우&글래스 틴티드 립밤 [플러쉬체리] 3.5g,4.56,25,14000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
20,네츄럴샤인,럭스 트리플 립 큐어 밤 [2호 헤라밤],4.31,325,16500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
21,휴캄,비건 에센셜 컬러 립밤 로지베리 3.8g,4.56,18,15000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
22,바세린,(유니레버) 립 테라피 컬러 앤 케어 립밤 [프리티피치],4.21,48,9900,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
23,디올,어딕트 립 글로우 [008 울트라핑크],4.60,60,50000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
24,아이소이,립 트리트먼트 밤 베이비핑크 5g,4.18,154,17820,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
25,네츄럴샤인,럭스 트리플 립 큐어 밤 [6호 아우라밤],4.51,69,16500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
26,멜릭서,비건 립 버터 [#03 레드벨벳],4.64,25,12000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
27,바이오힐보,프로바이오덤 콜라겐 볼륨 립밤,4.71,14,20000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
28,맥,텐더토크 립 밤 [플레이위드미],4.33,138,36000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
29,버츠비,틴티드립밤 [로즈],4.23,35,6500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
30,이니스프리,듀이 틴트 립밤 5 파워체리 3.2g,4.40,30,14400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
31,롬앤,글래스팅 멜팅 밤 [02 러비핑크],4.37,83,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
32,유이크,바이옴 베리어 멜팅 모이스처 립밤 [코랄브리즈],4.09,23,12000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
33,네츄럴샤인,럭스 트리플 립큐어밤 글로시 [02 헤라],4.60,47,25400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
34,피브,하이퍼-핏 컬러 밤 12g [애프터스쿼트],4.48,267,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
35,S2ND,우주라이크 립 밤 [#01 에스파시오애플],4.68,104,17000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
36,셀브즈,립 틴트 트리트먼트 [#03 소울],4.40,204,15000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
37,프리메라,레티놀 볼륨 립 세럼 [로지],4.50,26,29000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
38,니베아,니베아 립케어 후르티 샤인 [스트로베리] 4.8g,4.29,265,4500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
39,네이처리퍼블릭,글레이즈 샤인 립 오일 [03 소프트베리] 7g,4.58,24,5900,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
40,헤라,센슈얼 누드 밤 [356호 템팅레드],4.60,30,40000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
41,어바웃미,메이플세라 비건 립 버터 4g [02 돌담길단풍],4.54,39,9800,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
42,네츄럴샤인,럭스 트리플 립 큐어 밤 [3호 뮤즈밤],4.29,257,16500,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
43,페리페라,잉크 무드 글로이 밤 [3호 로즈풀한명상],4.46,71,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
44,페리페라,나잇페리프렌즈 컬렉션 잉크 무드 글로이 밤 [009 핑믈리에],4.30,10,10400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
45,롬앤,글래스팅 멜팅 밤 [13 스카치누드],4.75,16,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
46,네츄럴샤인,럭스 트리플 립큐어밤 글로시 [03 뮤즈],4.51,69,25400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
47,아떼,어센틱 립 밤 [04호 브레이브],4.63,24,33000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
48,클라랑스,립 컴포트 오일 [03 체리],4.73,11,38000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
49,페리페라,[힙행열차 컬렉션] 잉크 무드 글로이 밤 [006 숨찐로즈],4.48,27,10400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
50,어퓨더퓨어,더퓨어 캔디 컬러밤 [02 노프라플럼],4.27,11,3000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
51,롬앤,글래스팅 멜팅 밤 [08 코랄리아],4.38,63,13000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
52,네츄럴샤인,럭스 트리플 립큐어밤 글로시 [01 아테나],4.68,47,25400,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
53,오릭스,컬러 립밤 [레드체리향],4.42,26,1000,2025-02-20 23:55:56,립메이크업,컬러립케어_립밤
