순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,일소,네추럴 마일드 클리어 노우즈 팩 8매+클렌징 오일 30ml(+소프트너 샤쉐 3매 증정),4.50,3557,14900,2025-02-20 23:55:56,마스크_팩,코팩
2,메디힐,블랙헤드 멜팅 클리어 코팩 4매+4매,4.55,591,25000,2025-02-20 23:55:56,마스크_팩,코팩
3,라운드랩,소나무 진정 시카 코팩 5매입,4.56,176,18500,2025-02-20 23:55:56,마스크_팩,코팩
4,원데이즈유,피지쏙쏙 노모어 블랙헤드 100ml+1/2 화장솜,4.16,2148,14900,2025-02-20 23:55:56,마스크_팩,코팩
5,브링그린,티트리 시카 포어 코팩,4.70,57,7900,2025-02-20 23:55:56,마스크_팩,코팩
6,해서린,"포어 멜팅 와이드 슈링코팩 4매입 (1제 5g, 2제 5g)",4.60,208,11500,2025-02-20 23:55:56,마스크_팩,코팩
7,차앤박화장품,안티포어 블랙헤드 클리어 키트,4.09,2268,34000,2025-02-20 23:55:56,마스크_팩,코팩
8,시드물,데일리 포어 클리닉 [1제 디졸브에센스],4.19,124,13700,2025-02-20 23:55:56,마스크_팩,코팩
9,이아이오,안티 포어 블랙헤드 키트 (5회분),4.42,217,15000,2025-02-20 23:55:56,마스크_팩,코팩
10,닥터엘시아,블랙헤드 제로 투스텝 노즈 패치,4.67,15,16000,2025-02-20 23:55:56,마스크_팩,코팩
11,나이팅게일,3단계 빅사이즈 문어코팩 타코팩 노즈 (5회분),4.32,28,11000,2025-02-20 23:55:56,마스크_팩,코팩
12,미팩토리,3단 돼지코팩 3매,3.77,307,8900,2025-02-20 23:55:56,마스크_팩,코팩
13,나이팅게일,3단계 슈퍼사이즈 문어흡착팩 타코팩 (3회분),3.92,134,12000,2025-02-20 23:55:56,마스크_팩,코팩
14,씨라클,포어컨트롤 블랙헤드 오프시트,4.12,67,17000,2025-02-20 23:55:56,마스크_팩,코팩
15,이너프,보니벨 3STEP 콜라겐 돼지코팩,4.42,12,18000,2025-02-20 23:55:56,마스크_팩,코팩
16,어퓨,깨비깨비 블랙헤드 3단 코팩,3.96,96,1000,2025-02-20 23:55:56,마스크_팩,코팩
17,차앤박화장품,안티포어 블랙헤드 클리어 키트 스트립,3.86,49,8600,2025-02-20 23:55:56,마스크_팩,코팩
18,큐릿,에그 버블 2단 코 팩,4.70,10,2500,2025-02-20 23:55:56,마스크_팩,코팩
19,더블앤제로,피기 걸 3 step 코 팩,4.18,11,3500,2025-02-20 23:55:56,마스크_팩,코팩
20,미팩토리,1단 돼지코팩 10매,3.54,28,9900,2025-02-20 23:55:56,마스크_팩,코팩
21,차앤박화장품,안티포어 블랙헤드 버블 코팩,4.00,20,4000,2025-02-20 23:55:56,마스크_팩,코팩
22,미팩토리,녹여쓰는 돼지코팩 4매,3.33,24,8900,2025-02-20 23:55:56,마스크_팩,코팩
23,네이처리퍼블릭,블랙헤드 클리어 코팩,3.40,25,500,2025-02-20 23:55:56,마스크_팩,코팩
24,토니모리,타코포어 원샷 코팩,4.11,19,2000,2025-02-20 23:55:56,마스크_팩,코팩
