순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,정샘물뷰티,[홀리데이 에디션] 에센셜 스킨 누더 쿠션-페어라이트(리필 포함) 14g*2,4.23,3191,36000,2025-02-20 23:55:56,베이스메이크업,쿠션
2,에스쁘아,프로테일러 비벨벳 커버 쿠션 뉴클래스 [SPF34/PA++] [21호 아이보리],4.17,1069,38000,2025-02-20 23:55:56,베이스메이크업,쿠션
3,라네즈,네오 쿠션 매트 리필 15g [21N1 베이지],4.15,1309,21600,2025-02-20 23:55:56,베이스메이크업,쿠션
4,정샘물뷰티,에센셜 스킨 누더 쿠션-라이트 (리필 포함) 14g*2 +증정,4.06,1784,38250,2025-02-20 23:55:56,베이스메이크업,쿠션
5,네이밍,레이어드 핏 쿠션 [SPF50+/PA+++] [21Y],4.19,511,28000,2025-02-20 23:55:56,베이스메이크업,쿠션
6,아이소이,스킨케어 비건 쿠션 SPF38 PA++ 21호(리필) 13g,4.20,236,20700,2025-02-20 23:55:56,베이스메이크업,쿠션
7,클리오,킬커버 메쉬 글로우 쿠션 [SPF50+/PA++++] [2호 란제리] (15g*2),4.03,1084,25200,2025-02-20 23:55:56,베이스메이크업,쿠션
8,어뮤즈,스킨 튠 비건 커버 쿠션 [01 페어 튠] 15g,4.22,303,34000,2025-02-20 23:55:56,베이스메이크업,쿠션
9,정샘물뷰티,에센셜 스킨 누더 쿠션-페어 (리필 포함) 14g*2 +증정,4.37,355,38250,2025-02-20 23:55:56,베이스메이크업,쿠션
10,바닐라코,커버리셔스 얼티밋 화이트 쿠션 [SPF38/PA++] [21 로제] 14g,4.12,1041,22500,2025-02-20 23:55:56,베이스메이크업,쿠션
11,힌스,세컨 스킨 글로우 쿠션 [SPF50+/PA++++] [21호 아이보리],4.28,344,34000,2025-02-20 23:55:56,베이스메이크업,쿠션
12,블랑네이처,고농축 시카 진정 커버 쿠션 15g [SPF50+/PA+++] [2호 바닐라],4.36,338,24900,2025-02-20 23:55:56,베이스메이크업,쿠션
13,입생로랑뷰티,엉크르 드 뽀 쿠션 [SPF23/PA++] [20],4.45,152,108000,2025-02-20 23:55:56,베이스메이크업,쿠션
14,입생로랑뷰티,뚜쉬 에끌라 글로우-팩트 쿠션 [SPF50+/PA++++] [BR10],4.61,62,108000,2025-02-20 23:55:56,베이스메이크업,쿠션
15,에이프릴스킨,히어로쿠션 [SPF50+/PA++++] [21호 라이트베이지],4.08,600,66000,2025-02-20 23:55:56,베이스메이크업,쿠션
16,헤라,블랙 쿠션 파운데이션 [SPF34/PA++] [17N1 아이보리],4.55,86,52000,2025-02-20 23:55:56,베이스메이크업,쿠션
17,토니모리,마이 루미너스 젤 글로우 쿠션 15g SPF40/PA++ 02 웜베이지,4.33,21,22400,2025-02-20 23:55:56,베이스메이크업,쿠션
18,파넬,시카마누 세럼 인 매트 쿠션 [SPF50+/PA++++] [21호 페어아이보리],4.10,39,39000,2025-02-20 23:55:56,베이스메이크업,쿠션
19,헤라,블랙 쿠션 파운데이션 [SPF34/PA++] [21C1 로제바닐라],4.68,66,52000,2025-02-20 23:55:56,베이스메이크업,쿠션
20,힌스,세컨 스킨 메쉬 매트 쿠션 [SPF40/PA++] [21호 아이보리],4.18,422,34000,2025-02-20 23:55:56,베이스메이크업,쿠션
21,어뮤즈,듀 젤리 비건 쿠션 [01 순수] 15g,4.07,752,34000,2025-02-20 23:55:56,베이스메이크업,쿠션
22,에스쁘아,비글로우 볼륨 쿠션 [SPF42/PA+++] [13호 포슬린],4.24,17,40000,2025-02-20 23:55:56,베이스메이크업,쿠션
23,지베르니,밀착 커버 쿠션 [SPF40/PA++] [21NW 라이트베이지],4.09,263,33000,2025-02-20 23:55:56,베이스메이크업,쿠션
24,에스쁘아,프로 테일러 비 글로우 쿠션 뉴클래스 [SPF42/PA++] [21호 아이보리],4.16,340,28000,2025-02-20 23:55:56,베이스메이크업,쿠션
25,삐아,오 글로우 쿠션 [21 라이트] 15g,4.32,31,30000,2025-02-20 23:55:56,베이스메이크업,쿠션
26,클리오,킬커버 파운웨어 더뉴쿠션 [SPF50+/PA+++] [3호 리넨],4.09,693,36000,2025-02-20 23:55:56,베이스메이크업,쿠션
27,라네즈,네오 쿠션 매트 15g [21C1 쿨베이지],4.24,439,27000,2025-02-20 23:55:56,베이스메이크업,쿠션
28,파넬,시카마누 세럼 쿠션 [SPF45/PA++] [21호] 본품+리필,4.05,134,37000,2025-02-20 23:55:56,베이스메이크업,쿠션
29,정샘물뷰티,에센셜 스킨 누더 쿠션-미디엄 (리필 포함) 14g*2 +증정,4.23,662,38250,2025-02-20 23:55:56,베이스메이크업,쿠션
30,클리오,킬커버 스킨 픽서쿠션 기획세트 [21C 란제리] (15g*2),4.23,98,25200,2025-02-20 23:55:56,베이스메이크업,쿠션
31,에스쁘아,프로테일러 비벨벳 커버 쿠션 뉴클래스 [SPF34/PA++] [3호 페탈],4.36,234,38000,2025-02-20 23:55:56,베이스메이크업,쿠션
32,자빈드서울,윙크 파운데이션 팩트 [SPF50+/PA+++] [21호 커버아이보리],4.20,713,28000,2025-02-20 23:55:56,베이스메이크업,쿠션
33,정샘물뷰티,스킨 누더 커버레이어 쿠션-N라이트 (리필 포함) 14g*2 +증정,4.27,177,38250,2025-02-20 23:55:56,베이스메이크업,쿠션
34,마녀공장,노머시 슬릭 쿠션 15g [01 퓨어 슬릭],4.56,64,34000,2025-02-20 23:55:56,베이스메이크업,쿠션
35,자빈드서울,윙크 쿠션 글로우 [SPF50+/PA+++] [21 시어아이보리],4.63,48,30000,2025-02-20 23:55:56,베이스메이크업,쿠션
36,네이밍,레이어드 핏 쿠션 [SPF50+/PA+++] [19N],4.29,221,28000,2025-02-20 23:55:56,베이스메이크업,쿠션
37,정샘물뷰티,에센셜 스킨 누더 쿠션-엔라이트 (리필 포함) 14g*2 +증정,4.65,37,38250,2025-02-20 23:55:56,베이스메이크업,쿠션
38,더랩바이블랑두,올리고 히알루론산 헬씨 크림 쿠션 01호 12g,4.29,17,22400,2025-02-20 23:55:56,베이스메이크업,쿠션
39,웨이크메이크,워터벨벳 커버 쿠션 [SPF50/PA+++] [19호 포슬린],4.28,83,36000,2025-02-20 23:55:56,베이스메이크업,쿠션
40,달바,글로우 핏 세럼 커버 쿠션 (15g) 21호,4.24,158,48000,2025-02-20 23:55:56,베이스메이크업,쿠션
41,퓌,쿠션 글래스 내추럴 [SPF50+/PA+++] [1.5 피치글래스],4.02,192,28000,2025-02-20 23:55:56,베이스메이크업,쿠션
42,이니스프리,노세범 파우더 쿠션 13C 포슬린 14g,4.38,48,18200,2025-02-20 23:55:56,베이스메이크업,쿠션
43,릴리바이레드,듀얼 라이트 톤업 쿠션 피치그린 [SPF50+/PA+++] 12g,4.32,25,15700,2025-02-20 23:55:56,베이스메이크업,쿠션
