순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,토리든,다이브인 저분자 히알루론산 수딩크림 100ml 기획(+토너 50ml+클렌징폼 30ml),4.67,18480,14900,2025-02-20 23:55:56,스킨케어,크림
2,에스트라,NEW아토베리어365 크림 80ml기획(바디크림30ml+샤쉐)+크림10ml,4.67,5412,26400,2025-02-20 23:55:56,스킨케어,크림
3,에스네이처,아쿠아 스쿠알란 수분크림 80ml 더블+세럼 10ml(크림+크림+세럼),4.56,30174,28900,2025-02-20 23:55:56,스킨케어,크림
4,토리든,다이브인 저분자 히알루론산 크림 100ml 기획(+세럼 10ml+클렌징젤 30ml),4.58,19665,14900,2025-02-20 23:55:56,스킨케어,크림
5,바론시에,엑토인 크림 200ml 기획 (+엑토인 3종 키트 14매),4.72,2058,25200,2025-02-20 23:55:56,스킨케어,크림
6,프리메이,진정한 수분크림 100ml 더블 기획,4.62,3867,17900,2025-02-20 23:55:56,스킨케어,크림
7,닥터지,레드 블레미쉬 클리어 수딩 크림 50ml(Jar) 듀오,4.38,38923,25500,2025-02-20 23:55:56,스킨케어,크림
8,리브엠,시카좀 카밍 워터 젤크림 기획(본품 100ml+20ml+시카좀 패드 4매),4.69,1998,13700,2025-02-20 23:55:56,스킨케어,크림
9,구달,어성초 히알루론 수딩크림 기획세트 (80ml+20ml),4.68,1036,16900,2025-02-20 23:55:56,스킨케어,크림
10,메이크프렘,인테카 수딩 크림 80ml 2개 (증정),4.63,5022,43520,2025-02-20 23:55:56,스킨케어,크림
11,비플레인,녹두 모공 타이트업 수딩 크림 (60mlx2개),4.71,1315,22900,2025-02-20 23:55:56,스킨케어,크림
12,아토팜,MLE 크림 160ml [jar] (2개입),4.75,3990,65000,2025-02-20 23:55:56,스킨케어,크림
13,달바,화이트 트러플 더블 세럼 앤 크림 70g,4.73,3826,78000,2025-02-20 23:55:56,스킨케어,크림
14,토리든,밸런스풀 시카 진정 크림 80ml,4.61,3471,16800,2025-02-20 23:55:56,스킨케어,크림
15,어바웃미,숲 진정 수분 크림 80ml 기획세트(크림 80ml+세럼 12ml),4.62,3552,15900,2025-02-20 23:55:56,스킨케어,크림
16,더리즈,리코테카 진정 수분 크림 75ml (2개묶음),4.55,760,29000,2025-02-20 23:55:56,스킨케어,크림
17,오울루,버치 아토 모이스처 크림_80ml,4.78,2480,25000,2025-02-20 23:55:56,스킨케어,크림
18,홀리카홀리카,세라베리어 모이스처 액티브 크림 기획(크림 50ml+세럼 15ml,4.65,2758,15900,2025-02-20 23:55:56,스킨케어,크림
19,웰라쥬,리얼 히알루로닉 100 크림 80ml (+마스크 5매 증정),4.60,2149,20900,2025-02-20 23:55:56,스킨케어,크림
20,마녀공장,판테토인 크림 80ml (+크림20ml),4.66,1302,32300,2025-02-20 23:55:56,스킨케어,크림
21,일리윤,세라마이드 아토 집중 크림,4.45,9869,21900,2025-02-20 23:55:56,스킨케어,크림
22,피지오겔,DMT 페이셜크림,4.19,24880,47500,2025-02-20 23:55:56,스킨케어,크림
23,에스트라,아토베리어365 하이드로 수딩크림 60ml 기획,4.53,2277,23100,2025-02-20 23:55:56,스킨케어,크림
24,더마펌,수딩 리페어 토닝 크림 R4 50ml,4.57,640,34000,2025-02-20 23:55:56,스킨케어,크림
25,라운드랩,자작나무 수분크림 100ml 기획 (+자작수분앰플 10ml),4.37,17306,19900,2025-02-20 23:55:56,스킨케어,크림
26,리더스코스메틱,리더스 그린 콜라겐 아이크림 포 페이스 50ml+30ml 기획,4.63,1593,13100,2025-02-20 23:55:56,스킨케어,크림
27,파티온,노스카나인 트러블 크림 기획세트(45ml 본품+20ml 증정),4.50,1594,29900,2025-02-20 23:55:56,스킨케어,크림
28,딕셔니스트,아미노산 크림 50ml 더블세트,4.66,1943,26900,2025-02-20 23:55:56,스킨케어,크림
29,리브엠,워터핏 8중 수분크림 100ml(+워터핏크림60ml),4.69,799,13000,2025-02-20 23:55:56,스킨케어,크림
30,아토팜,판테놀 크림 80ml 2개,4.67,757,56900,2025-02-20 23:55:56,스킨케어,크림
31,이니스프리,그린티 씨드 히알루론산 크림 50ML + 기프트 (크림 15ml),4.47,688,20250,2025-02-20 23:55:56,스킨케어,크림
32,다자연,어성초 진정 수딩 크림 75ml 더블 기획,4.69,2239,15900,2025-02-20 23:55:56,스킨케어,크림
33,이즈앤트리,어니언 뉴페어 겔 크림 50ml,4.44,2026,24900,2025-02-20 23:55:56,스킨케어,크림
34,바이오더마,아토덤 인텐시브 밤,4.49,1351,33000,2025-02-20 23:55:56,스킨케어,크림
35,스킨앤랩,베리어덤 인텐시브 크림 2세대 50ml (2개 묶음),4.54,1461,28900,2025-02-20 23:55:56,스킨케어,크림
36,닥터지,더모이스처 배리어.D 인텐스 크림,4.69,663,38000,2025-02-20 23:55:56,스킨케어,크림
37,시드물,마다가스카르 리얼 수분 크림 80g,4.27,10524,23800,2025-02-20 23:55:56,스킨케어,크림
38,제나벨,PDRN 재생크림 70ml 더블기획(+마스크팩 2매+선크림 1ml*5매),4.61,645,30900,2025-02-20 23:55:56,스킨케어,크림
39,이니스프리,레티놀 시카 흔적 베리어 크림 50mL,4.59,802,25200,2025-02-20 23:55:56,스킨케어,크림
40,코스알엑스,더 레티놀 0.1 크림 20ml,4.57,1062,21200,2025-02-20 23:55:56,스킨케어,크림
41,샤이샤이샤이,리포좀 리페어 밀키 크림 50ml,4.51,414,25200,2025-02-20 23:55:56,스킨케어,크림
42,바이오더마,시카비오 포마드,4.24,2999,38000,2025-02-20 23:55:56,스킨케어,크림
