순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,수이스킨,맑은 아보밥 비누 100g (3개입),4.50,1717,26400,2025-02-20 23:55:56,클렌징,클렌징비누
2,팜드웨이,완전비누 클렌징 여드름 65g (3개입),4.52,911,32400,2025-02-20 23:55:56,클렌징,클렌징비누
3,아빠비누,딥클린 여드름 지성 지루성 100g (2개입),4.49,39,18800,2025-02-20 23:55:56,클렌징,클렌징비누
4,도브,(해외) 뷰티 바 [센스티브스킨] (미국산),4.43,324,,2025-02-20 23:55:56,클렌징,클렌징비누
5,도브,센스티브 뷰티 바 (독일제조) 100g,4.03,267,3500,2025-02-20 23:55:56,클렌징,클렌징비누
6,도브,화이트 뷰티 바 100g,4.17,978,3500,2025-02-20 23:55:56,클렌징,클렌징비누
7,나드,어성초 비누 100g (2개입),4.53,140,9900,2025-02-20 23:55:56,클렌징,클렌징비누
8,시드물,판테놀 시카 수제비누,4.48,23,4800,2025-02-20 23:55:56,클렌징,클렌징비누
9,해피바스,오리지널 컬렉션 솝라벤더 비누 8입,4.81,16,11900,2025-02-20 23:55:56,클렌징,클렌징비누
10,도브,뷰티바 [핑크],4.85,13,2400,2025-02-20 23:55:56,클렌징,클렌징비누
11,편강율,아토 고보습 베이비 비누 (4개입),4.64,58,12900,2025-02-20 23:55:56,클렌징,클렌징비누
12,아빠비누,어성초 천연 수제 복합성 100g (2개입),4.82,17,23000,2025-02-20 23:55:56,클렌징,클렌징비누
13,씨드비,아침세안 이슬 생분해 비누 100g,4.83,18,9500,2025-02-20 23:55:56,클렌징,클렌징비누
14,시드물,닥터트럽 스킨 리터닝 클렌징 밀크바,4.53,15,9800,2025-02-20 23:55:56,클렌징,클렌징비누
15,랑팔라투르,마르세유 비누 [벌트(올리브)],4.58,78,9000,2025-02-20 23:55:56,클렌징,클렌징비누
16,톤28,"얼굴 씻을거리 S8 유황,소금 (모공관리/트러블) 100g (건조후)",4.50,22,9900,2025-02-20 23:55:56,클렌징,클렌징비누
17,랩코스,차가 레스트 고체 세안팩,4.52,705,16000,2025-02-20 23:55:56,클렌징,클렌징비누
18,시드물,유황 수제비누,3.86,227,12800,2025-02-20 23:55:56,클렌징,클렌징비누
19,시드물,어성초 수제비누,3.82,1374,2400,2025-02-20 23:55:56,클렌징,클렌징비누
