순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,일리윤,탑투토워시 1500ml MEGA기획 (본품+리필500ml*2+크림30ml),4.68,8780,19900,2025-02-20 23:55:56,클렌징,클렌징젤
2,비건이펙트,클린 앤 글로우 청보리 약산성 LHA 젤 클렌저 205ml,4.45,869,22000,2025-02-20 23:55:56,클렌징,클렌징젤
3,메이크프렘,인테카 수딩 클렌징 폼 150ml (2개) (증정),4.68,1417,24840,2025-02-20 23:55:56,클렌징,클렌징젤
4,토리든,밸런스풀 시카 클렌징 젤 200ml,4.70,2243,16500,2025-02-20 23:55:56,클렌징,클렌징젤
5,일리윤,세라마이드 더마 6.0 클렌징워터 폼 250ml 1입,4.51,848,16800,2025-02-20 23:55:56,클렌징,클렌징젤
6,달바,화이트 트러플 리턴 오일 크림 클렌저,4.56,1122,38000,2025-02-20 23:55:56,클렌징,클렌징젤
7,에스네이처,블랑쉬클렌저 260ml,4.50,2308,19900,2025-02-20 23:55:56,클렌징,클렌징젤
8,코스알엑스,약산성 굿모닝 젤 클렌저 150ml (2개입),4.61,223,17800,2025-02-20 23:55:56,클렌징,클렌징젤
9,닥터지,약산성 클렌징 젤 폼,4.31,2671,25000,2025-02-20 23:55:56,클렌징,클렌징젤
10,시드물,카카두 아미노 클렌저 500ml,4.18,2328,17800,2025-02-20 23:55:56,클렌징,클렌징젤
11,카이네,로즈마리 릴리프 젤 클렌져 150ml [+ 콤부 앰플 토너 30ml ],4.64,301,14400,2025-02-20 23:55:56,클렌징,클렌징젤
12,모나쥬,올인원 비건 약산성 클렌저,4.54,501,31200,2025-02-20 23:55:56,클렌징,클렌징젤
13,벨프리모,안티크네 젤클렌저 125g,4.35,469,19200,2025-02-20 23:55:56,클렌징,클렌징젤
14,아크웰,감초수 pH 밸런싱 포어 클렌징 젤 폼 160ml,4.60,530,14400,2025-02-20 23:55:56,클렌징,클렌징젤
15,제로이드,더마뉴얼 클렌징 젤,4.40,677,22000,2025-02-20 23:55:56,클렌징,클렌징젤
16,라운드랩,자작나무 수분 클렌저 150ml,4.46,1233,13500,2025-02-20 23:55:56,클렌징,클렌징젤
