순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,라운드랩,1025 독도 클렌징 티슈 30매 (3개),4.65,1052,9900,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
2,비플레인,녹두 약산성 클렌징 워터 티슈 100매 (20매x5개),4.61,1030,15000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
3,SRB,쌀뜨물 클렌징패드 60매,4.62,828,17800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
4,니들리,마일드 클렌징 패드 (60매),4.62,594,20000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
5,마녀공장,블랙헤드 퓨어 클렌징 오일 킬패드 50매,4.26,1432,15500,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
6,라운드랩,자작나무 수분 클렌징 패드 60매,4.49,257,19800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
7,마녀공장,퓨어 클렌징 티슈 80매,4.76,21,11900,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
8,그레이멜린,카놀라 리무버 패드 70매 (1+1),4.35,777,27000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
9,클라뷰,대용량 각질제거 클렌징 패드 (100매 2개입),4.71,216,37700,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
10,아리얼,아리얼 스트레스 릴리빙 퓨어풀 클렌징 티슈 80매 - (ARSR008)A_클렌징티슈 80매,4.07,464,6900,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
11,키노닉스,카모 모링가 원스텝 클렌징 패드 70매 + 리필 35매,4.47,392,29800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
12,해서린,선셋 원킬 리무버 패드 70매입,4.43,625,15000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
13,셀리맥스,수정화장 패드 30매,4.29,102,12800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
14,정샘물뷰티,더블 클린 수정 화장 패드 1박스(2매입X20팩/총 40매),4.61,18,17000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
15,식물나라,제주탄산수퀵앤딥클렌징티슈,4.50,10,8800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
16,클라뷰,모공 순삭 클렌징 패드 50매 (2개입),4.55,144,22800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
17,아리얼,더 퍼펙트 클렌징 티슈 플러스,4.15,39,2600,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
18,나이팅게일,데일리 더마 클렌징 패드 마일드 애씨드 70매,4.33,180,17600,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
19,식물나라,제주 탄산수 딥 클렌징 티슈,4.42,31,2200,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
20,파파레서피,가지 클리어링 클렌징 오일 패드,4.34,133,25000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
21,더마토리,프로 트러블 모공 클렌징 워터 패드 100매 기획세트,4.23,30,13200,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
22,홀리카홀리카,데일리 프레시 촉촉 올리브 클렌징 티슈,3.70,10,7400,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
23,다이소,녹차 클렌징 티슈,4.13,15,1000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
24,비페스타,미셀라 클렌징 시트 [브라이트닝],4.45,31,10000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
25,나이팅게일,데일리 더마 클렌징 패드 마일드 70매,3.90,563,14000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
26,비욘드,라이스 밀크 마일드 딥클렌징티슈,4.00,14,9900,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
27,프리업,파인 플레이 클렌징 패드,4.60,104,25000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
28,투쿨포스쿨,아트클래스 프로 클렌징 오일 패드,4.54,24,18000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
29,비페스타,미셀라 클렌징 시트 [퍼펙트클리어],4.08,129,10000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
30,비페스타,미셀라 클렌징 시트 [모이스트],4.29,14,10000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
31,파파레서피,노니 클렌즈 탄산 클렌징 티슈,4.62,13,6000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
32,DPC,DPC 선인장 바이옴 클렌징 패드 (60매),4.46,99,12600,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
33,오렌지신드롬,버블 클렌징 패드 180g,4.40,130,18400,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
34,오띠,스카워 필 패드,4.54,99,22900,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
35,블리블리,락토 클렌징 패드 200ml (70매),4.32,38,23000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
36,미샤,수퍼 아쿠아 울트라 히알론 클렌징 워터 티슈 30매,3.79,33,4950,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
37,비페스타,클렌징 시트 오일 인,4.16,31,10000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
38,코스알엑스,퓨어 핏 약산성 클렌징 패드,4.23,13,21000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
39,닥터아토,눈 & 얼굴 전용 티슈,4.08,12,,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
40,닥터아토,미네랄 쌀뜨물 클렌징&수딩티슈,3.76,25,2000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
41,유리카,퍼펙트 클렌징 워터 시트,4.52,27,12000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
42,더샘,힐링 티 가든 티트리 클렌징 티슈,3.72,18,5500,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
43,네오젠더마로지,캐롯 딥 클리어 리무버 오일 패드,3.85,26,20000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
44,베지하이,리셋 클렌징 오일 패드,4.24,103,27000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
45,식물나라,제주 탄산수 퀵 앤 딥 클렌징티슈,3.72,29,2200,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
46,컬러딥,노워시 메이크업 이레이저,3.91,33,29000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
47,어나더브라이트,자연주의 멀티 스킨케어 클렌징 패드,4.26,137,24000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
48,다이소,곡물 클렌징 티슈,3.53,19,1000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
49,아리얼,더 퍼펙트 클렌징 오일 패드 EX,3.73,15,22000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
50,BRTC.,V10 포어 클렌징 패드,4.05,22,24000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
51,어퓨,딥 클린 클렌징티슈,3.59,56,3000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
52,제스젭,베어 패드,3.67,12,24000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
53,어퓨,미셀라 클렌징 티슈,3.93,14,7800,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
54,칼미아,오트밀 클렌징 티슈,3.72,25,,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
55,다이소,콜라겐 클렌징 티슈,3.33,30,1000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
56,콘코코,클렌징 패드,3.79,61,5000,2025-02-20 23:55:56,클렌징,클렌징티슈_패드
