순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,파파레서피,블레미쉬 효소 파우더 클렌저 50g (2개),4.62,3411,32400,2025-02-20 23:55:56,클렌징,클렌징파우더
2,아임프롬,피그 엔자임 파우더 클렌저 50g (2개 묶음),4.66,1103,20000,2025-02-20 23:55:56,클렌징,클렌징파우더
3,리브엠,엔자임 클렌징 파우더 70g(+엔자임파우더10g),4.73,496,10500,2025-02-20 23:55:56,클렌징,클렌징파우더
4,신스루,유황 미네랄 클렌징 파우더 50g,4.60,787,22000,2025-02-20 23:55:56,클렌징,클렌징파우더
5,SRB,쌀뜨물 미강 효소 세안제 70g,4.42,4888,23000,2025-02-20 23:55:56,클렌징,클렌징파우더
6,라씨엘르,엔자임 오트 스크럽 파우더 워시 0.6g*30ea,4.52,475,13900,2025-02-20 23:55:56,클렌징,클렌징파우더
7,파파레서피,가지 클리어링 효소 파우더 클렌저 50g,4.71,297,18000,2025-02-20 23:55:56,클렌징,클렌징파우더
8,파파레서피,티트리 컨트롤 효소 파우더 클렌저 50g (2개),4.61,402,28900,2025-02-20 23:55:56,클렌징,클렌징파우더
9,듀이트리,하이 아미노 올 효소 파우더 워시 50g (1+1),4.73,108,25600,2025-02-20 23:55:56,클렌징,클렌징파우더
10,블랙글로우,핑크글로우 엔자임 파우더 클렌저 60g,4.63,675,16900,2025-02-20 23:55:56,클렌징,클렌징파우더
11,메이크프렘,퓨어 바이옴 클렌징 파우더 1g (36개입),4.77,670,16800,2025-02-20 23:55:56,클렌징,클렌징파우더
12,트루히알100,슈가소다 파우더 클렌저 박스형 (90g x 1박스),4.76,59,24000,2025-02-20 23:55:56,클렌징,클렌징파우더
13,앰플엔,퓨리파잉샷 호박효소 파우더 클렌저 50g,4.91,11,16800,2025-02-20 23:55:56,클렌징,클렌징파우더
14,이즈앤트리,머그워트 카밍 파우더 워시 (1g x 25ea),4.45,491,18400,2025-02-20 23:55:56,클렌징,클렌징파우더
15,메디힐,더 티트리 포어 파우더 워시 50g+50g,4.64,177,27500,2025-02-20 23:55:56,클렌징,클렌징파우더
16,시드물,효소 파우더 클렌져,4.13,325,14800,2025-02-20 23:55:56,클렌징,클렌징파우더
17,성분에디터,그린토마토 파우더워시,4.69,132,32000,2025-02-20 23:55:56,클렌징,클렌징파우더
