순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,이니스프리,노세범 미네랄 파우더 5g,4.74,3361,6300,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
2,바닐라코,뉴 프라임 프라이머 피니쉬 파우더 12g,4.64,1168,16000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
3,이니스프리,노세범 미네랄 팩트 8.5g,4.61,628,10500,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
4,이니스프리,포어 블러 파우더 11g,4.53,612,14400,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
5,어바웃톤,블러 파우더 팩트 [01 페어] 9g,4.42,284,14000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
6,라네즈,네오 에센셜 블러링 피니시 파우더 본품7g + 리필7g,4.54,155,38400,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
7,어바웃톤,블러 파우더 팩트 [02 라이트] 9g,4.55,261,14000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
8,다이소,윙크걸 기름종이 파우더,4.59,215,3000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
9,메이크업포에버,UHD 프레스드 파우더 [01 트랜스루센트],4.50,1465,59000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
10,바닐라코,뉴 프라임 프라이머 피니쉬 팩트 6.5g,4.53,116,19000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
11,이니스프리,노세범 모이스처 파우더 5g,4.52,134,6300,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
12,어바웃톤,블러 파우더 팩트 [1.5 쿨페어] 9g,4.47,96,14000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
13,투쿨포스쿨,바이로댕 피니쉬 세팅 팩트,4.21,1650,16000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
14,이니스프리,노세범 AC 파우더 5g,4.59,46,8400,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
15,웨이크메이크,스테이 픽서 팩트 비건,4.51,41,22000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
16,코스노리,블라썸 피니쉬 파우더 팩트 8.5g (2개입),4.49,324,38900,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
17,라네즈,네오 파우더,4.33,183,20000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
18,프리메이,노세범 미네랄 파우더 5g (3개),4.59,46,15500,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
19,입큰&,퍼스널톤 코렉팅 블러팩트 [그린],4.52,65,3000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
20,미샤,에어리 팟 팩트 [투명] 5g,4.47,86,9600,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
21,입큰,퍼스널 톤 코렉팅 블러 팩트 [라벤더],4.51,49,14100,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
22,힌스,세컨 스킨 에어리 파우더 [AP001 라벤더],4.59,56,29000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
23,헤라,소프트 피니시 루스 파우더 15g,4.47,15,51000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
24,메이크업포에버,UHD 파우더 [루스],4.57,14,32000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
25,어바웃톤,세범 컷 파우더 팩트 8g,4.91,11,12000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
26,시드물,닥터트럽 피지제로 센텔라파우더,4.32,480,12800,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
27,어퓨,워터락 피니셔,4.07,42,26000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
28,아멜리,베이크드파우더 [002 라이트핑크],4.63,32,34000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
29,루나,프로 포토 피니셔 파우더 팩트 [SPF54/PA+++] [2호 블러파우더],4.53,17,29000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
30,어바웃톤,블러 파우더 팩트 [2.5 아이보리] 9g,4.33,30,14000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
31,바이유어,세럼핏 루스 페이스 파우더,4.73,11,20000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
32,에뛰드,피지쏙 팩트,4.26,143,14000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
33,어바웃톤,블러 파우더 팩트 [03 내추럴] 9g,4.36,53,14000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
34,로라메르시에,트랜스루센트 루스 세팅 파우더,4.40,15,67000,2025-02-20 23:55:56,베이스메이크업,파우더_팩트
