순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,지베르니,밀착 커버 파운데이션 [SPF30/PA++] [17호 포슬린] 30ml,4.34,325,29700,2025-02-20 23:55:56,베이스메이크업,파운데이션
2,에스티로더,더블웨어 파운데이션 [SPF10/PA++] [1W2 샌드],4.23,3096,91000,2025-02-20 23:55:56,베이스메이크업,파운데이션
3,헤라,실키 스테이 24H 롱웨어 파운데이션 [SPF20/PA++] [21N1 바닐라],4.36,181,70000,2025-02-20 23:55:56,베이스메이크업,파운데이션
4,바닐라코,커버리셔스 파워 핏 파운데이션 [SPF45/PA++] [21 아이보리] 30ml,4.32,299,24900,2025-02-20 23:55:56,베이스메이크업,파운데이션
5,시드물,민중기 EFI 앰플 파운데이션 40g,4.36,237,26000,2025-02-20 23:55:56,베이스메이크업,파운데이션
6,바닐라코,커버리셔스 파워 핏 파운데이션 [SPF45/PA++] [21 로제] 30ml,4.45,222,24900,2025-02-20 23:55:56,베이스메이크업,파운데이션
7,에스티로더,퓨처리스트 파운데이션 [SPF20/PA+++] [1C0 쿨포슬린],4.64,88,100000,2025-02-20 23:55:56,베이스메이크업,파운데이션
8,어바웃톤,스킨 레이어 핏 파운데이션 [AT.22 아이보리 (파운데이션)] 30ml,4.58,19,28000,2025-02-20 23:55:56,베이스메이크업,파운데이션
9,에뛰드,더블래스팅 파운데이션 [SPF35/PA++] [21N1 뉴트럴베이지] 30g,4.14,910,24000,2025-02-20 23:55:56,베이스메이크업,파운데이션
10,에뛰드,더블래스팅 비건 커버 파운데이션 [SPF32/PA++] [21N1 뉴트럴베이지],4.17,219,29000,2025-02-20 23:55:56,베이스메이크업,파운데이션
11,에스쁘아,프로 테일러 비 글로우 파운데이션 뉴클래스 [SPF27/PA++] [2호 아이보리],4.23,183,40000,2025-02-20 23:55:56,베이스메이크업,파운데이션
12,지베르니,밀착 커버 파운데이션 [SPF30/PA++] [21호 라이트베이지] 30ml,4.15,468,29700,2025-02-20 23:55:56,베이스메이크업,파운데이션
13,이니스프리,라이트 피팅 파운데이션 21N 바닐라 30mL,4.36,36,23200,2025-02-20 23:55:56,베이스메이크업,파운데이션
14,디올,포에버 스킨 글로우 24H 웨어 래디언트 파운데이션 [SPF20/PA+++] [0N 뉴트럴],4.40,89,89000,2025-02-20 23:55:56,베이스메이크업,파운데이션
15,헤라,글로우 래스팅 24H 래디언트 스킨 파운데이션 [SPF22/PA++] [21N1 바닐라],4.40,45,70000,2025-02-20 23:55:56,베이스메이크업,파운데이션
16,에스티로더,더블웨어 파운데이션 [SPF10/PA++] [1N0 포슬린],4.51,148,87000,2025-02-20 23:55:56,베이스메이크업,파운데이션
17,시세이도,리바이탈에센스 스킨 글로우 파운데이션 [SPF30/PA+++] [130],4.67,12,83000,2025-02-20 23:55:56,베이스메이크업,파운데이션
18,바닐라코,커버리셔스 파워 핏 파운데이션 [SPF45/PA++] [23 미디엄] 30ml,4.57,47,24900,2025-02-20 23:55:56,베이스메이크업,파운데이션
19,헤라,실키 스테이 24H 롱웨어 파운데이션 [SPF20/PA++] [17N1 아이보리],4.63,52,70000,2025-02-20 23:55:56,베이스메이크업,파운데이션
20,나스,퓨어 래디언트 프로텍션 아쿠아 글로우 쿠션 파운데이션 [SPF23/PA++] [남산],4.61,71,74000,2025-02-20 23:55:56,베이스메이크업,파운데이션
21,바닐라코,커버리셔스 파워 핏 파운데이션 [SPF45/PA++] [19 라이트] 30ml,4.44,137,24900,2025-02-20 23:55:56,베이스메이크업,파운데이션
22,파넬,시카마누 스킨 핏 파운데이션 [SPF30/PA+++] [1호],4.34,29,37000,2025-02-20 23:55:56,베이스메이크업,파운데이션
23,헤라,실키 스테이 24H 롱웨어 파운데이션 [SPF20/PA++] [13N1 포슬린],4.82,22,70000,2025-02-20 23:55:56,베이스메이크업,파운데이션
24,클리오,킬커버 파운웨어 파운데이션 [SPF30/PA+++] [3호 리넨],4.30,154,34000,2025-02-20 23:55:56,베이스메이크업,파운데이션
25,미샤,레이어링 핏 파운데이션 세미글로우 35ml [19호 아이보리],4.23,13,30600,2025-02-20 23:55:56,베이스메이크업,파운데이션
26,웨이크메이크,워터 벨벳 커버 파운데이션 [SPF30/PA+++] [21 바닐라],4.09,151,38000,2025-02-20 23:55:56,베이스메이크업,파운데이션
27,더페이스샵,잉크래스팅 파운데이션 슬림핏 뉴 [SPF35/PA++] [V201],4.39,122,26000,2025-02-20 23:55:56,베이스메이크업,파운데이션
28,에이지투웨니스,퍼펙트 글래스 에센스 커버 팩트 [SPF50+/PA++++] [21호 라이트베이지],4.45,83,75000,2025-02-20 23:55:56,베이스메이크업,파운데이션
29,클리오,킬커버 하이글로우 파운데이션 [4호 진저],4.60,10,23800,2025-02-20 23:55:56,베이스메이크업,파운데이션
30,시드물,민중기 EFI 앰플 파운데이션 [20호],4.50,18,34000,2025-02-20 23:55:56,베이스메이크업,파운데이션
31,샤넬,울트라 르 뗑 플루이드 [BD01],4.38,32,87000,2025-02-20 23:55:56,베이스메이크업,파운데이션
32,에스쁘아,프로 테일러 파운데이션 비 벨벳 [SPF22/PA++] [2호 바닐라],4.25,186,40000,2025-02-20 23:55:56,베이스메이크업,파운데이션
33,에뛰드,더블래스팅 비건 커버 파운데이션 [SPF32/PA++] [17C1 라이트바닐라],4.36,107,29000,2025-02-20 23:55:56,베이스메이크업,파운데이션
34,시드물,사카로 BF크림 [23호],3.86,191,16800,2025-02-20 23:55:56,베이스메이크업,파운데이션
35,라네즈,네오 파운데이션_매트 [SPF16/PA++] [21N1 베이지],4.10,367,40000,2025-02-20 23:55:56,베이스메이크업,파운데이션
36,VDL,커버스테인 퍼펙팅 파운데이션 [SPF35/PA++] [A02],4.04,291,30000,2025-02-20 23:55:56,베이스메이크업,파운데이션
37,이니스프리,라이트 피팅 파운데이션 21C 로제바닐라 30mL,4.64,14,23200,2025-02-20 23:55:56,베이스메이크업,파운데이션
38,나스,쉬어 글로우 파운데이션 [몽블랑],4.17,359,68000,2025-02-20 23:55:56,베이스메이크업,파운데이션
