순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,파티온,노스카나인 스팟 패치 102매,4.62,1857,12000,2025-02-20 23:55:56,마스크_팩,패치
2,닥터오라클,터핀아크 스팟패치 92매 2개입 총 184매 (1+1),4.55,1008,10900,2025-02-20 23:55:56,마스크_팩,패치
3,마데카21,릴리프 스팟케어패치,4.50,22,2000,2025-02-20 23:55:56,마스크_팩,패치
4,마녀공장,프록실 AC 레스큐 스팟 패치,4.52,23,5500,2025-02-20 23:55:56,마스크_팩,패치
5,파티온,파워퍼프걸 에디션 노스카나인 트러블 스팟 패치 12매 X 2개(총 24매),4.50,22,20000,2025-02-20 23:55:56,마스크_팩,패치
6,해서린,스팟케어 시카 플러스 마이크로 딥패치 9매,4.67,12,9500,2025-02-20 23:55:56,마스크_팩,패치
7,스킨푸드,시카 클리어 스팟 패치 100매 (2개),4.68,34,24000,2025-02-20 23:55:56,마스크_팩,패치
8,트루다이브,스피디 트러블 케어 패치,4.55,47,15000,2025-02-20 23:55:56,마스크_팩,패치
9,다이소,미모랑 마이크로니들 트러블패치,4.50,18,3000,2025-02-20 23:55:56,마스크_팩,패치
10,해서린,스팟케어 패치 키트 152매,4.25,32,8700,2025-02-20 23:55:56,마스크_팩,패치
11,휴캄,킨츠키 하트 탄력 패치 (24매입),4.31,302,9500,2025-02-20 23:55:56,마스크_팩,패치
12,놀라아워,스팟 이레이저 블루 패치 63매,4.92,12,8900,2025-02-20 23:55:56,마스크_팩,패치
13,싸이닉,시카 블레미쉬 클리어 스팟 패치,4.37,250,12000,2025-02-20 23:55:56,마스크_팩,패치
14,아크네스,3초 진정 패치,4.31,49,9500,2025-02-20 23:55:56,마스크_팩,패치
15,이지덤,이지덤 퀵카밍,4.01,258,8000,2025-02-20 23:55:56,마스크_팩,패치
16,아크네스,스팟 클리어 크림 패치 18ml,4.31,16,12000,2025-02-20 23:55:56,마스크_팩,패치
17,큐어시스,어성초 아크페어 스팟패치 90매입,4.36,132,6800,2025-02-20 23:55:56,마스크_팩,패치
18,W.피부연구소,AC+ 트러블 패치 120매입 (2개입),4.15,60,9900,2025-02-20 23:55:56,마스크_팩,패치
19,클리어티앤,더마 SOS 릴리프 패치,4.32,110,11000,2025-02-20 23:55:56,마스크_팩,패치
20,동국제약,메디패치 마데카 아크큐,4.06,17,7900,2025-02-20 23:55:56,마스크_팩,패치
21,이지덤,릴리프,4.10,142,7000,2025-02-20 23:55:56,마스크_팩,패치
22,바이오힐보,판테셀 리페어시카 마이크로 스팟패치,3.75,57,16300,2025-02-20 23:55:56,마스크_팩,패치
23,아크로패스,트러블큐어,4.00,11,12000,2025-02-20 23:55:56,마스크_팩,패치
24,지나인스킨,AC+ 솔루션 칼라민 젤 스팟 패치,4.29,14,12000,2025-02-20 23:55:56,마스크_팩,패치
25,셀올로지,멜리턴 패치 & 앰플,4.10,51,99000,2025-02-20 23:55:56,마스크_팩,패치
26,매드포코스,매드포코스 링클 마스터 패치 32patches,4.07,103,8500,2025-02-20 23:55:56,마스크_팩,패치
27,이니스프리,레티놀 시카 앰플 포커싱 패치 1ea,3.79,87,10200,2025-02-20 23:55:56,마스크_팩,패치
28,바이오디티디,스팟 카밍 패치,4.07,115,7900,2025-02-20 23:55:56,마스크_팩,패치
29,아크로패스,스팟이레이저,4.23,13,9800,2025-02-20 23:55:56,마스크_팩,패치
30,코코스타,옐로 크림 패치 20ml + 오코텍스 순면 멸균 면봉 50pcs,3.86,318,22000,2025-02-20 23:55:56,마스크_팩,패치
31,놀라아워,스팟 이레이저 그린 패치 9매,4.50,12,9900,2025-02-20 23:55:56,마스크_팩,패치
32,파넬,시카마누 클리어 패치 [멀티],3.72,18,18000,2025-02-20 23:55:56,마스크_팩,패치
33,아리얼,트루 AC 스팟 커버 [비포케어],4.08,200,,2025-02-20 23:55:56,마스크_팩,패치
34,아이소이,아크니 닥터 1st 스피디 마이크로샷 패치,4.08,12,13500,2025-02-20 23:55:56,마스크_팩,패치
35,스노우투플러스,AC 마그네슘 패치 [소형],4.02,118,9800,2025-02-20 23:55:56,마스크_팩,패치
36,엘라밴드,하이드로도트 티트리,4.10,21,10000,2025-02-20 23:55:56,마스크_팩,패치
37,미샤,스피디 솔루션 [트러블패치세트],4.01,80,3500,2025-02-20 23:55:56,마스크_팩,패치
38,트러블레스,마이크로포인트 패치,4.22,349,15000,2025-02-20 23:55:56,마스크_팩,패치
39,차앤박화장품,안티-블레미쉬 스팟 패치,3.87,259,14000,2025-02-20 23:55:56,마스크_팩,패치
40,일소,인텐시브 아크네-클리어 멀티존 패치 14mm x 9EA,4.00,14,18000,2025-02-20 23:55:56,마스크_팩,패치
41,넘버즈인,2번 트러블 미라클 더블 키트 [패치],3.64,11,,2025-02-20 23:55:56,마스크_팩,패치
42,에르쯔틴,리제너레이티브 실트 니들 패치,3.84,111,18000,2025-02-20 23:55:56,마스크_팩,패치
43,메디폼,트러블큐어,4.07,120,13000,2025-02-20 23:55:56,마스크_팩,패치
44,벨르엘르,피디알엔 리쥬베네이팅 프로 패치,4.06,99,68000,2025-02-20 23:55:56,마스크_팩,패치
45,라보타치,아크티올 스팟 패치,4.36,14,10500,2025-02-20 23:55:56,마스크_팩,패치
46,리얼베리어,컨트롤-T 스팟 클리어 패치,3.79,24,6000,2025-02-20 23:55:56,마스크_팩,패치
47,파파레서피,핑크 파우더 스팟 젤 패치 20ml,3.62,13,9000,2025-02-20 23:55:56,마스크_팩,패치
48,브링그린,티트리 시카 스팟 패치,4.05,22,7500,2025-02-20 23:55:56,마스크_팩,패치
49,쁘띠페,아우라 쿼츠 하이드로겔 아이패치 블루,4.00,11,20000,2025-02-20 23:55:56,마스크_팩,패치
50,메디힐,에이제로샷 스킨 드레싱 패치,4.07,15,6000,2025-02-20 23:55:56,마스크_팩,패치
51,3M넥스케어,이지픽 블레미쉬 패치 릴리프,3.73,45,8600,2025-02-20 23:55:56,마스크_팩,패치
52,스킨애,아크윈 스팟 케어 패치 (투명패치),3.51,256,3900,2025-02-20 23:55:56,마스크_팩,패치
53,시드물,아크바이 트러블 마이크로 니들패치,3.47,38,9800,2025-02-20 23:55:56,마스크_팩,패치
54,아르페,퍼스트 두 스팟 패치 (9구),3.80,10,16000,2025-02-20 23:55:56,마스크_팩,패치
55,케어존,닥터솔루션 아큐어 스팟패치,3.73,44,5000,2025-02-20 23:55:56,마스크_팩,패치
56,라보타치,아크티올 치크 패치,3.92,13,10000,2025-02-20 23:55:56,마스크_팩,패치
57,니들리,패치 안티트러블 겟 리드 오브 (2.5mg*4ea + 4mg*4ea),3.31,160,31800,2025-02-20 23:55:56,마스크_팩,패치
58,니들리,패치 안티 스팟 딥 브라이트닝,4.00,15,15900,2025-02-20 23:55:56,마스크_팩,패치
59,큐어시스,다크 스팟 AC 패치 (9개입),3.59,17,11800,2025-02-20 23:55:56,마스크_팩,패치
