순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,에센허브,티트리 100 오일 20ml,4.45,4191,24900,2025-02-20 23:55:56,스킨케어,페이스오일
2,에스네이처,호호바오일 30ml,4.71,506,15900,2025-02-20 23:55:56,스킨케어,페이스오일
3,블랑네이처,5배 고농축 매직 티트리 오일 대용량 20ML,4.59,650,19880,2025-02-20 23:55:56,스킨케어,페이스오일
4,결하우스,스킨 베리어 호호바 오일 50ml,4.75,418,39840,2025-02-20 23:55:56,스킨케어,페이스오일
5,데저트에센스,100% 퓨어 호호바 오일 59ml,4.46,6818,14500,2025-02-20 23:55:56,스킨케어,페이스오일
6,일리윤,일리윤 레드이치 케어오일 200ml 1입,4.70,488,17900,2025-02-20 23:55:56,스킨케어,페이스오일
7,코스알엑스,더 레티놀 0.5 오일 20ml (2개입),4.54,779,40000,2025-02-20 23:55:56,스킨케어,페이스오일
8,시드물,자연산 냉압착 호호바 오일 12ml,4.37,1639,6500,2025-02-20 23:55:56,스킨케어,페이스오일
9,벨로즈,벨로즈 유기농 호호바 오일 120ml,4.84,63,26900,2025-02-20 23:55:56,스킨케어,페이스오일
10,원씽,유기농 호호바 오일 50ml,4.66,364,17500,2025-02-20 23:55:56,스킨케어,페이스오일
11,스킨아이,내추럴 발효동백 페이스오일 100 20ml,4.41,2530,12900,2025-02-20 23:55:56,스킨케어,페이스오일
12,라보니따,라보니따 바이탈 스쿠알란 오일 30ml,4.72,190,14900,2025-02-20 23:55:56,스킨케어,페이스오일
13,아로마티카,유기농 네롤리 브라이트닝 페이셜 오일,4.70,10,30000,2025-02-20 23:55:56,스킨케어,페이스오일
14,로벡틴,인텐스 글로우 오일 30ml,4.82,44,39000,2025-02-20 23:55:56,스킨케어,페이스오일
15,코코케어,100% 내추럴 호호바 오일 60ml,4.69,108,17600,2025-02-20 23:55:56,스킨케어,페이스오일
16,나우푸드,유기농 호호바 오일 100% 퓨어,4.38,1434,20000,2025-02-20 23:55:56,스킨케어,페이스오일
17,눅스,윌 프로디쥬스 멀티 오일 [리치],4.21,199,56000,2025-02-20 23:55:56,스킨케어,페이스오일
18,에센허브,호호바 100 오일 60ml,4.66,127,21900,2025-02-20 23:55:56,스킨케어,페이스오일
19,바이오더마,아토덤 투 인 원 오일,4.45,22,49000,2025-02-20 23:55:56,스킨케어,페이스오일
20,눅스,윌 프로디쥬스 멀티 오일 [플로럴],4.46,28,35000,2025-02-20 23:55:56,스킨케어,페이스오일
