순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,투쿨포스쿨,아트클래스 워터리 블러 프라이머 30ml+15ml 기획,4.35,1521,12300,2025-02-20 23:55:56,베이스메이크업,프라이머
2,바닐라코,뉴 프라임 프라이머 클래식 30ml,4.29,515,16000,2025-02-20 23:55:56,베이스메이크업,프라이머
3,연작,스킨 퍼펙팅 프로텍티브 베이스 프렙,4.26,225,45000,2025-02-20 23:55:56,베이스메이크업,프라이머
4,미샤,글로우 스킨밤 50ml,3.96,709,16000,2025-02-20 23:55:56,베이스메이크업,프라이머
5,삐아,라스트 아이 프라이머 5g,4.67,15,6500,2025-02-20 23:55:56,베이스메이크업,프라이머
6,VDL,톤스테인 컬러 코렉팅 프라이머 [SPF20/PA++] [03 세레니티],3.99,71,26000,2025-02-20 23:55:56,베이스메이크업,프라이머
7,바닐라코,프라임 프라이머 선 베이스 50ml,4.30,60,16000,2025-02-20 23:55:56,베이스메이크업,프라이머
8,루나,베이스 레이어링 톤업크림 프라이머 [피팅],4.67,12,24000,2025-02-20 23:55:56,베이스메이크업,프라이머
9,바닐라코,프라임 프라이머 하이드레이팅 30ml,4.33,57,16000,2025-02-20 23:55:56,베이스메이크업,프라이머
10,바이오더마,세비엄 포어 리파이너,4.09,313,28000,2025-02-20 23:55:56,베이스메이크업,프라이머
11,에뛰드,피지쏙 포어 프라이머,4.08,130,18000,2025-02-20 23:55:56,베이스메이크업,프라이머
12,헤라,에어리 파우더 프라이머,4.33,123,60000,2025-02-20 23:55:56,베이스메이크업,프라이머
13,보나메두사,오렌지 스킨 딜리트 [소프트그린],4.67,12,28000,2025-02-20 23:55:56,베이스메이크업,프라이머
14,미샤,컬러 픽스 아이 프라이머 [베이직],4.16,532,9800,2025-02-20 23:55:56,베이스메이크업,프라이머
15,코드글로컬러,픽스온 프라이머,4.26,91,20000,2025-02-20 23:55:56,베이스메이크업,프라이머
16,베네피트,더 포어페셔널,3.85,2792,48000,2025-02-20 23:55:56,베이스메이크업,프라이머
17,루나,베이스 레이어링 톤업크림 프라이머 [SPF50+/PA++++] [피치],4.64,25,24000,2025-02-20 23:55:56,베이스메이크업,프라이머
18,이니스프리,노세범 블러 프라이머 25mL,4.14,134,10500,2025-02-20 23:55:56,베이스메이크업,프라이머
19,어바웃톤,블러 래스팅 스틱 프라이머 10g,4.22,37,18000,2025-02-20 23:55:56,베이스메이크업,프라이머
20,바닐라코,프라임 프라이머 톤업 30ml,4.33,15,16000,2025-02-20 23:55:56,베이스메이크업,프라이머
21,맥,라이트풀 C+ 코랄 그라스 틴티드 프라이머 [SPF45/PA++++],3.94,314,60000,2025-02-20 23:55:56,베이스메이크업,프라이머
22,에스티로더,퓨처리스트 아쿠아 브릴리언스 워터리 글로우 프라이머,4.67,15,87000,2025-02-20 23:55:56,베이스메이크업,프라이머
23,어반디케이,아이섀도우 프라이머 포션 [오리지널],4.50,54,34000,2025-02-20 23:55:56,베이스메이크업,프라이머
