순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,린제이,쿨(티트리) 일회용 모델링 컵팩(28g) 6개,4.75,15896,15000,2025-02-20 23:55:56,마스크_팩,필오프팩
2,메디필,레드 락토 콜라겐 랩핑 마스크 70ml 기획(+레드 락토 클리어 15ml*2개),4.55,2263,18300,2025-02-20 23:55:56,마스크_팩,필오프팩
3,린제이,진정약초 모델링팩 330g + (사은품 증정),4.64,3048,8900,2025-02-20 23:55:56,마스크_팩,필오프팩
4,메디힐,더마 모델링 팩 [마데카소사이드 흔적] 1+1 기획세트,4.66,868,7500,2025-02-20 23:55:56,마스크_팩,필오프팩
5,린제이,차콜 일회용 모델링 마스크 파우치(28g) 1개,4.76,585,2000,2025-02-20 23:55:56,마스크_팩,필오프팩
6,린제이,비타민 일회용 모델링 컵팩(28g) 6개,4.62,1030,15000,2025-02-20 23:55:56,마스크_팩,필오프팩
7,린제이,쿨링밤 모델링팩 330g + (사은품 증정),4.59,822,8900,2025-02-20 23:55:56,마스크_팩,필오프팩
8,풀리,쌀 반죽 모델링 마스크 8매,4.36,393,36900,2025-02-20 23:55:56,마스크_팩,필오프팩
9,메디힐,더마 모델링 팩 [티트리 진정] 1+1 기획세트,4.70,373,7500,2025-02-20 23:55:56,마스크_팩,필오프팩
10,메디큐브,콜라겐 나이트 랩핑 마스크,4.43,714,54000,2025-02-20 23:55:56,마스크_팩,필오프팩
11,메디필,히알루론산 레이어 물톡스 랩핑마스크 70ml+듀얼브러쉬 증정,4.48,459,20000,2025-02-20 23:55:56,마스크_팩,필오프팩
12,린제이,콜라겐 일회용 모델링 컵팩(28g) 6개,4.52,507,15000,2025-02-20 23:55:56,마스크_팩,필오프팩
13,초린,모델링 파우더&앰플,4.66,131,,2025-02-20 23:55:56,마스크_팩,필오프팩
14,메디힐,더마 모델링 팩 [히알루론산 속보습] 1+1 기획세트,4.70,237,7500,2025-02-20 23:55:56,마스크_팩,필오프팩
15,린제이,모델링마스크 컵팩 [카렌듈라],4.64,295,4000,2025-02-20 23:55:56,마스크_팩,필오프팩
16,시드물,아크바이 모델링 마스크 팩 220g,4.38,1657,9800,2025-02-20 23:55:56,마스크_팩,필오프팩
17,비건이펙트,슬로우에이징 저분자 콜라겐 랩핑 마스크팩 80ml 브러쉬 증정,4.27,318,23000,2025-02-20 23:55:56,마스크_팩,필오프팩
18,메디필,피토 시카놀 B5 카밍 비건 랩핑마스크 70ml+듀얼브러쉬 증정,4.49,35,20000,2025-02-20 23:55:56,마스크_팩,필오프팩
19,원씽,모델링팩 (20g x7ea) 어성초(진정),4.69,150,15800,2025-02-20 23:55:56,마스크_팩,필오프팩
20,토리든,밸런스풀 시카 모델링 팩,4.59,131,6500,2025-02-20 23:55:56,마스크_팩,필오프팩
21,메디필,엑스트라 슈퍼 9 플러스 물광 리프팅 랩핑 마스크,4.43,61,3000,2025-02-20 23:55:56,마스크_팩,필오프팩
22,린제이,모델링마스크 컵팩 [진주],4.56,112,4000,2025-02-20 23:55:56,마스크_팩,필오프팩
23,닥터슈라클,엑스퍼트 프리미엄 모델링 마스크 [스피룰리나] (GIFT팩도구3종),4.61,33,16900,2025-02-20 23:55:56,마스크_팩,필오프팩
24,린제이,프리미엄 모델링팩 [스피룰리나],4.38,106,35000,2025-02-20 23:55:56,마스크_팩,필오프팩
25,토리든,다이브인 저분자 히알루론산 모델링 팩,4.30,142,6500,2025-02-20 23:55:56,마스크_팩,필오프팩
26,메디플라워,모델링팩 [쿨],4.61,71,13000,2025-02-20 23:55:56,마스크_팩,필오프팩
27,CKDGUARANTEED,레티노콜라겐 저분자300 물광크림팩 기획세트(크림팩 50ml+브러쉬 증정),4.38,32,28000,2025-02-20 23:55:56,마스크_팩,필오프팩
28,메디필,모델링 팩 [시카쿨링진정],4.65,31,2000,2025-02-20 23:55:56,마스크_팩,필오프팩
29,달바,화이트 트러플 세럼 앤 크림 모델링 마스크 [영양/보습],4.66,112,39000,2025-02-20 23:55:56,마스크_팩,필오프팩
30,린제이,모델링마스크 컵팩 [라벤더],4.59,71,4000,2025-02-20 23:55:56,마스크_팩,필오프팩
31,데쌍브르,스피룰리나 모델링팩,4.36,181,45000,2025-02-20 23:55:56,마스크_팩,필오프팩
32,메디플라워,모델링팩 [알로에],4.50,22,12900,2025-02-20 23:55:56,마스크_팩,필오프팩
33,원씽,모델링팩 (20g x7ea) 콜라겐(탄력),4.57,35,15800,2025-02-20 23:55:56,마스크_팩,필오프팩
34,메디힐,더마 모델링 팩 비타민 잡티 (2+1),4.50,10,13500,2025-02-20 23:55:56,마스크_팩,필오프팩
35,오어스,쿨 시카 티트리 모델링팩,4.70,106,,2025-02-20 23:55:56,마스크_팩,필오프팩
36,린제이,모델링마스크 컵팩 [골드],4.54,67,4000,2025-02-20 23:55:56,마스크_팩,필오프팩
37,메디필,시카 쿨링 진정 랩핑 마스크,4.08,12,3000,2025-02-20 23:55:56,마스크_팩,필오프팩
38,메디힐,더마 모델링 팩 [콜라겐 탄력] 1+1 기획세트,4.62,13,7500,2025-02-20 23:55:56,마스크_팩,필오프팩
39,에이프릴스킨,카렌둘라 필 오프 팩,4.01,92,26000,2025-02-20 23:55:56,마스크_팩,필오프팩
40,메디필,락토 모공 리프팅 랩핑 마스크,4.27,11,3000,2025-02-20 23:55:56,마스크_팩,필오프팩
41,시드물,비타5 규조토 모델링 고무팩,4.25,59,24800,2025-02-20 23:55:56,마스크_팩,필오프팩
42,루이셀,모델링 컵팩 [라벤더],4.60,50,1800,2025-02-20 23:55:56,마스크_팩,필오프팩
43,뿌띠,모델링팩 [라벤더],4.87,15,20390,2025-02-20 23:55:56,마스크_팩,필오프팩
44,이타카,인텐스 리페어 스피루리나 모델링 마스크,4.26,19,98000,2025-02-20 23:55:56,마스크_팩,필오프팩
45,브래비티,더마 스템셀 딥 글로우팩,4.27,62,42000,2025-02-20 23:55:56,마스크_팩,필오프팩
46,비알머드,리커버리 머드 필 오프 마스크 110ml,4.21,123,18000,2025-02-20 23:55:56,마스크_팩,필오프팩
47,노라,리얼 콜라겐 글로우 팩,4.55,11,35000,2025-02-20 23:55:56,마스크_팩,필오프팩
