플랫폼,브랜드,제품명,중분류_순위,대분류,중분류,소분류,평점,후기 수,가격,URL
화해,에스네이처,아쿠아 오아시스 토너 300ml 더블 기획(토너+토너+화장솜),1,스킨케어,스킨토너,,4.73,17295,18900.0,
화해,토리든,다이브인 저분자 히알루론산 토너 300ml 더블기획(+클렌징폼 30 ml),2,스킨케어,스킨토너,,4.69,25905,19900.0,
화해,라운드랩,1025 독도 토너 200ml + 독도 토너 500ml,3,스킨케어,스킨토너,,4.43,85681,36000.0,
화해,코스노리,판테놀 베리어 토너 205ml (2개입),4,스킨케어,스킨토너,,4.76,2547,21900.0,
화해,이즈앤트리,초저분자 히아루론산 토너 기획(300ml 본품+200ml 리필+미스트펌프),5,스킨케어,스킨토너,,4.71,7043,15900.0,
화해,더랩바이블랑두,올리고 히알루론산 딥 토너 200ml,6,스킨케어,스킨토너,,4.75,3378,15990.0,
화해,토니모리,원더 세라마이드 모찌 토너 500ml,7,스킨케어,스킨토너,,4.44,12121,12500.0,
화해,비그린,무알콜 뮤신 에센스 토너 150ml,8,스킨케어,스킨토너,,4.71,1063,17000.0,
화해,브링그린,티트리시카수딩토너,9,스킨케어,스킨토너,,4.58,2161,27000.0,
화해,비플레인,녹두 밸런싱 토너,10,스킨케어,스킨토너,,4.65,9389,20000.0,
화해,마녀공장,비피다 바이옴 앰플 토너 400ml,11,스킨케어,스킨토너,,4.57,9324,19200.0,
화해,프리메이,비건 어성초 진정해 수분 토너 더블 기획세트 (350ml + 350ml),12,스킨케어,스킨토너,,4.7,2697,16500.0,
화해,비플레인,시카테롤 토너 (200mlx2개),13,스킨케어,스킨토너,,4.74,2132,24000.0,
화해,마녀공장,판테토인 에센스 토너 200ml (+크림20ml),14,스킨케어,스킨토너,,4.66,748,25200.0,
화해,세로랩스,수딩 토너(200ml),15,스킨케어,스킨토너,,4.52,639,16100.0,
화해,닥터트웬티프로젝트,나인 토너 300ml,16,스킨케어,스킨토너,,4.68,927,23200.0,
화해,토리든,밸런스풀 시카 각질 토너 250ml,17,스킨케어,스킨토너,,4.6,482,14500.0,
