날짜,글피오,오드타입,오브제,연령대
2024-02-05,0,3.11827,0.4301,10대
2024-02-12,0,3.97849,0,10대
2024-02-19,0,3.01075,0,10대
2024-02-26,0,2.25806,0.21505,10대
2024-03-04,0,6.0215,0.21505,10대
2024-03-11,0,2.25806,0.10752,10대
2024-03-18,0,2.15053,0,10대
2024-03-25,0,3.97849,0,10대
2024-04-01,0,3.11827,0,10대
2024-04-08,0,2.04301,0.21505,10대
2024-04-15,0,2.79569,0,10대
2024-04-22,0,3.54838,0,10대
2024-04-29,0,50.0,0,10대
2024-05-06,0,23.01075,0,10대
2024-05-13,0,10.10752,0,10대
2024-05-20,0.21505,37.74193,0,10대
2024-05-27,0.4301,46.45161,0.10752,10대
2024-06-03,0.21505,92.47311,0,10대
2024-06-10,0,67.09677,0,10대
2024-06-17,0.10752,78.70967,0,10대
2024-06-24,0.32258,76.98924,0.10752,10대
2024-07-01,0.21505,63.54838,0,10대
2024-07-08,2.68817,88.06451,0,10대
2024-07-15,0.4301,86.66666,0.21505,10대
2024-07-22,0.75268,100.0,0,10대
2024-07-29,1.93548,79.89247,0,10대
2024-08-05,1.29032,94.51612,0,10대
2024-08-12,0.53763,87.74193,0,10대
2024-08-19,3.11827,73.54838,0,10대
2024-08-26,1.18279,62.68817,0,10대
2024-09-02,1.50537,50.0,0.10752,10대
2024-09-09,0.86021,45.16129,0,10대
2024-09-16,1.29032,46.98924,0,10대
2024-09-23,0.96774,29.67741,0,10대
2024-09-30,0.53763,33.65591,0.21505,10대
2024-10-07,1.18279,37.31182,0,10대
2024-10-14,0.53763,36.0215,0,10대
2024-10-21,0.86021,35.26881,0.10752,10대
2024-10-28,0.4301,29.89247,0,10대
2024-11-04,0.21505,26.66666,0,10대
2024-11-11,1.29032,23.65591,0,10대
2024-11-18,0.21505,23.54838,0.10752,10대
2024-11-25,0.4301,36.66666,0,10대
2024-12-02,0.53763,38.8172,0,10대
2024-12-09,0.32258,32.15053,0,10대
2024-12-16,0.64516,26.12903,0,10대
2024-12-23,0.75268,25.91397,0.10752,10대
2024-12-30,0.32258,35.48387,0.10752,10대
2025-01-06,0.86021,52.04301,0,10대
2025-01-13,0.75268,36.77419,0.21505,10대
2025-01-20,4.19354,41.07526,0.10752,10대
2025-01-27,1.39784,57.2043,0.21505,10대
2025-02-03,2.15053,74.08602,0,10대
2025-02-10,6.88172,57.2043,0.21505,10대
2024-02-05,0,3.97202,0.05594,20대
2024-02-12,0,5.28671,0.08391,20대
2024-02-19,0,5.17482,0.11188,20대
2024-02-26,0,6.01398,0.16783,20대
2024-03-04,0,7.91608,0.27972,20대
2024-03-11,0,5.53846,0.08391,20대
2024-03-18,0,5.23076,0.1958,20대
2024-03-25,0,6.37762,0.22377,20대
2024-04-01,0,5.70629,0,20대
2024-04-08,0.02797,4.75524,0.02797,20대
2024-04-15,0,8.3916,0,20대
2024-04-22,0.33566,8.92307,0,20대
2024-04-29,0.05594,95.46853,0.05594,20대
