날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,글피오,0.7885270370370371,색조메이크업,립메이크업
총합,10대,오드타입,40.53563814814815,색조메이크업,립메이크업
총합,10대,오브제,0.057744074074074066,색조메이크업,립메이크업
총합,20대,글피오,1.7979762962962964,색조메이크업,립메이크업
총합,20대,오드타입,38.041952592592594,색조메이크업,립메이크업
총합,20대,오브제,0.10618648148148148,색조메이크업,립메이크업
총합,30대,글피오,3.7201651851851856,색조메이크업,립메이크업
총합,30대,오드타입,34.523666666666664,색조메이크업,립메이크업
총합,30대,오브제,0.19467351851851852,색조메이크업,립메이크업
총합,40대,글피오,5.300640555555556,색조메이크업,립메이크업
총합,40대,오드타입,38.326580740740745,색조메이크업,립메이크업
총합,40대,오브제,0.46483240740740744,색조메이크업,립메이크업
총합,50대,글피오,6.839900555555555,색조메이크업,립메이크업
총합,50대,오드타입,41.02448722222222,색조메이크업,립메이크업
총합,50대,오브제,1.0453985185185186,색조메이크업,립메이크업
총합,60대 이상,글피오,4.288494814814815,색조메이크업,립메이크업
총합,60대 이상,오드타입,34.11305574074074,색조메이크업,립메이크업
총합,60대 이상,오브제,0.584793888888889,색조메이크업,립메이크업
2024-02-05,10대,글피오,0.0,색조메이크업,립메이크업
2024-02-12,10대,글피오,0.0,색조메이크업,립메이크업
2024-02-19,10대,글피오,0.0,색조메이크업,립메이크업
2024-02-26,10대,글피오,0.0,색조메이크업,립메이크업
2024-03-04,10대,글피오,0.0,색조메이크업,립메이크업
2024-03-11,10대,글피오,0.0,색조메이크업,립메이크업
2024-03-18,10대,글피오,0.0,색조메이크업,립메이크업
2024-03-25,10대,글피오,0.0,색조메이크업,립메이크업
2024-04-01,10대,글피오,0.0,색조메이크업,립메이크업
2024-04-08,10대,글피오,0.0,색조메이크업,립메이크업
2024-04-15,10대,글피오,0.0,색조메이크업,립메이크업
2024-04-22,10대,글피오,0.0,색조메이크업,립메이크업
2024-04-29,10대,글피오,0.0,색조메이크업,립메이크업
2024-05-06,10대,글피오,0.0,색조메이크업,립메이크업
2024-05-13,10대,글피오,0.0,색조메이크업,립메이크업
2024-05-20,10대,글피오,0.21505,색조메이크업,립메이크업
2024-05-27,10대,글피오,0.4301,색조메이크업,립메이크업
2024-06-03,10대,글피오,0.21505,색조메이크업,립메이크업
2024-06-10,10대,글피오,0.0,색조메이크업,립메이크업
2024-06-17,10대,글피오,0.10752,색조메이크업,립메이크업
2024-06-24,10대,글피오,0.32258,색조메이크업,립메이크업
2024-07-01,10대,글피오,0.21505,색조메이크업,립메이크업
2024-07-08,10대,글피오,2.68817,색조메이크업,립메이크업
2024-07-15,10대,글피오,0.4301,색조메이크업,립메이크업
2024-07-22,10대,글피오,0.75268,색조메이크업,립메이크업
2024-07-29,10대,글피오,1.93548,색조메이크업,립메이크업
