날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,닥터아토,1.2260505555555556,베이스메이크업,선케어
총합,10대,바론시에,0.1830548148148148,베이스메이크업,선케어
총합,10대,셀퓨전씨,35.257551666666664,베이스메이크업,선케어
총합,10대,에스네이처,19.152825370370373,베이스메이크업,선케어
총합,20대,닥터아토,3.0227042592592595,베이스메이크업,선케어
총합,20대,바론시에,0.671634074074074,베이스메이크업,선케어
총합,20대,셀퓨전씨,61.94514092592593,베이스메이크업,선케어
총합,20대,에스네이처,32.94304296296296,베이스메이크업,선케어
총합,30대,닥터아토,8.080292037037038,베이스메이크업,선케어
총합,30대,바론시에,1.0433801851851852,베이스메이크업,선케어
총합,30대,셀퓨전씨,73.17188425925926,베이스메이크업,선케어
총합,30대,에스네이처,27.61033148148148,베이스메이크업,선케어
총합,40대,닥터아토,7.1668361111111105,베이스메이크업,선케어
총합,40대,바론시에,1.1936325925925926,베이스메이크업,선케어
총합,40대,셀퓨전씨,71.50636907407407,베이스메이크업,선케어
총합,40대,에스네이처,19.755586481481483,베이스메이크업,선케어
총합,50대,닥터아토,5.72758037037037,베이스메이크업,선케어
총합,50대,바론시에,0.3516462962962963,베이스메이크업,선케어
총합,50대,셀퓨전씨,68.95111833333333,베이스메이크업,선케어
총합,50대,에스네이처,19.244581111111113,베이스메이크업,선케어
총합,60대 이상,닥터아토,7.025462962962963,베이스메이크업,선케어
총합,60대 이상,바론시에,0.5671296296296297,베이스메이크업,선케어
총합,60대 이상,셀퓨전씨,56.2962962962963,베이스메이크업,선케어
총합,60대 이상,에스네이처,17.372685185185187,베이스메이크업,선케어
2024-02-05,10대,닥터아토,1.60919,베이스메이크업,선케어
2024-02-12,10대,닥터아토,1.83908,베이스메이크업,선케어
2024-02-19,10대,닥터아토,1.60919,베이스메이크업,선케어
2024-02-26,10대,닥터아토,1.60919,베이스메이크업,선케어
2024-03-04,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-03-11,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-03-18,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-03-25,10대,닥터아토,2.52873,베이스메이크업,선케어
2024-04-01,10대,닥터아토,0.45977,베이스메이크업,선케어
2024-04-08,10대,닥터아토,2.06896,베이스메이크업,선케어
2024-04-15,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-04-22,10대,닥터아토,1.14942,베이스메이크업,선케어
2024-04-29,10대,닥터아토,1.37931,베이스메이크업,선케어
2024-05-06,10대,닥터아토,2.06896,베이스메이크업,선케어
2024-05-13,10대,닥터아토,2.29885,베이스메이크업,선케어
2024-05-20,10대,닥터아토,2.06896,베이스메이크업,선케어
2024-05-27,10대,닥터아토,1.14942,베이스메이크업,선케어
2024-06-03,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-06-10,10대,닥터아토,2.9885,베이스메이크업,선케어
2024-06-17,10대,닥터아토,1.37931,베이스메이크업,선케어
2024-06-24,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-07-01,10대,닥터아토,1.37931,베이스메이크업,선케어
2024-07-08,10대,닥터아토,1.14942,베이스메이크업,선케어
2024-07-15,10대,닥터아토,1.37931,베이스메이크업,선케어
2024-07-22,10대,닥터아토,1.60919,베이스메이크업,선케어
2024-07-29,10대,닥터아토,1.83908,베이스메이크업,선케어
2024-08-05,10대,닥터아토,1.83908,베이스메이크업,선케어
2024-08-12,10대,닥터아토,4.36781,베이스메이크업,선케어
2024-08-19,10대,닥터아토,0.45977,베이스메이크업,선케어
2024-08-26,10대,닥터아토,1.60919,베이스메이크업,선케어
2024-09-02,10대,닥터아토,0.22988,베이스메이크업,선케어
2024-09-09,10대,닥터아토,0.91954,베이스메이크업,선케어
2024-09-16,10대,닥터아토,0.45977,베이스메이크업,선케어
2024-09-23,10대,닥터아토,0.22988,베이스메이크업,선케어
2024-09-30,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-10-07,10대,닥터아토,1.37931,베이스메이크업,선케어
2024-10-14,10대,닥터아토,0.91954,베이스메이크업,선케어
2024-10-21,10대,닥터아토,1.14942,베이스메이크업,선케어
2024-10-28,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-11-04,10대,닥터아토,0.45977,베이스메이크업,선케어
2024-11-11,10대,닥터아토,2.29885,베이스메이크업,선케어
2024-11-18,10대,닥터아토,0.91954,베이스메이크업,선케어
2024-11-25,10대,닥터아토,1.14942,베이스메이크업,선케어
2024-12-02,10대,닥터아토,0.91954,베이스메이크업,선케어
2024-12-09,10대,닥터아토,0.22988,베이스메이크업,선케어
2024-12-16,10대,닥터아토,0.45977,베이스메이크업,선케어
2024-12-23,10대,닥터아토,0.68965,베이스메이크업,선케어
2024-12-30,10대,닥터아토,0.68965,베이스메이크업,선케어
2025-01-06,10대,닥터아토,0.22988,베이스메이크업,선케어
2025-01-13,10대,닥터아토,1.37931,베이스메이크업,선케어
2025-01-20,10대,닥터아토,0.45977,베이스메이크업,선케어
2025-01-27,10대,닥터아토,1.37931,베이스메이크업,선케어
2025-02-03,10대,닥터아토,1.37931,베이스메이크업,선케어
2025-02-10,10대,닥터아토,0.91954,베이스메이크업,선케어
2024-02-05,20대,닥터아토,1.8044,베이스메이크업,선케어
2024-02-12,20대,닥터아토,3.3201,베이스메이크업,선케어
2024-02-19,20대,닥터아토,2.7066,베이스메이크업,선케어
2024-02-26,20대,닥터아토,2.74269,베이스메이크업,선케어
2024-03-04,20대,닥터아토,3.10357,베이스메이크업,선케어
2024-03-11,20대,닥터아토,2.63442,베이스메이크업,선케어
2024-03-18,20대,닥터아토,3.86142,베이스메이크업,선케어
2024-03-25,20대,닥터아토,2.88704,베이스메이크업,선케어
2024-04-01,20대,닥터아토,2.12919,베이스메이크업,선케어
2024-04-08,20대,닥터아토,3.10357,베이스메이크업,선케어
2024-04-15,20대,닥터아토,3.50054,베이스메이크업,선케어
2024-04-22,20대,닥터아토,2.49007,베이스메이크업,선케어
2024-04-29,20대,닥터아토,3.68098,베이스메이크업,선케어
2024-05-06,20대,닥터아토,4.47491,베이스메이크업,선케어
2024-05-13,20대,닥터아토,3.82533,베이스메이크업,선케어
2024-05-20,20대,닥터아토,4.36665,베이스메이크업,선케어
2024-05-27,20대,닥터아토,4.65535,베이스메이크업,선케어
2024-06-03,20대,닥터아토,3.82533,베이스메이크업,선케어
2024-06-10,20대,닥터아토,3.46445,베이스메이크업,선케어
2024-06-17,20대,닥터아토,5.08841,베이스메이크업,선케어
2024-06-24,20대,닥터아토,3.75315,베이스메이크업,선케어
2024-07-01,20대,닥터아토,3.46445,베이스메이크업,선케어
2024-07-08,20대,닥터아토,2.41789,베이스메이크업,선케어
2024-07-15,20대,닥터아토,3.46445,베이스메이크업,선케어
2024-07-22,20대,닥터아토,4.11403,베이스메이크업,선케어
2024-07-29,20대,닥터아토,4.43883,베이스메이크업,선케어
2024-08-05,20대,닥터아토,3.68098,베이스메이크업,선케어
2024-08-12,20대,닥터아토,3.21183,베이스메이크업,선케어
2024-08-19,20대,닥터아토,3.39227,베이스메이크업,선케어
2024-08-26,20대,닥터아토,3.96968,베이스메이크업,선케어
2024-09-02,20대,닥터아토,2.95922,베이스메이크업,선케어
2024-09-09,20대,닥터아토,2.9953,베이스메이크업,선케어
2024-09-16,20대,닥터아토,2.02093,베이스메이크업,선케어
2024-09-23,20대,닥터아토,2.20137,베이스메이크업,선케어
2024-09-30,20대,닥터아토,3.13966,베이스메이크업,선케어
2024-10-07,20대,닥터아토,3.24792,베이스메이크업,선케어
2024-10-14,20대,닥터아토,3.13966,베이스메이크업,선케어
2024-10-21,20대,닥터아토,2.9953,베이스메이크업,선케어
2024-10-28,20대,닥터아토,2.85095,베이스메이크업,선케어
2024-11-04,20대,닥터아토,2.7066,베이스메이크업,선케어
2024-11-11,20대,닥터아토,1.94875,베이스메이크업,선케어
2024-11-18,20대,닥터아토,1.91266,베이스메이크업,선케어
2024-11-25,20대,닥터아토,2.67051,베이스메이크업,선케어
2024-12-02,20대,닥터아토,2.95922,베이스메이크업,선케어
2024-12-09,20대,닥터아토,2.95922,베이스메이크업,선케어
2024-12-16,20대,닥터아토,2.67051,베이스메이크업,선케어
2024-12-23,20대,닥터아토,1.91266,베이스메이크업,선케어
2024-12-30,20대,닥터아토,2.49007,베이스메이크업,선케어
2025-01-06,20대,닥터아토,1.87657,베이스메이크업,선케어
2025-01-13,20대,닥터아토,2.74269,베이스메이크업,선케어
2025-01-20,20대,닥터아토,1.76831,베이스메이크업,선케어
2025-01-27,20대,닥터아토,1.62396,베이스메이크업,선케어
2025-02-03,20대,닥터아토,1.62396,베이스메이크업,선케어
2025-02-10,20대,닥터아토,2.23745,베이스메이크업,선케어
2024-02-05,30대,닥터아토,6.74763,베이스메이크업,선케어
2024-02-12,30대,닥터아토,8.29959,베이스메이크업,선케어
2024-02-19,30대,닥터아토,6.84885,베이스메이크업,선케어
2024-02-26,30대,닥터아토,7.96221,베이스메이크업,선케어
2024-03-04,30대,닥터아토,7.89473,베이스메이크업,선케어
2024-03-11,30대,닥터아토,8.29959,베이스메이크업,선케어
2024-03-18,30대,닥터아토,8.29959,베이스메이크업,선케어
2024-03-25,30대,닥터아토,8.5695,베이스메이크업,선케어
2024-04-01,30대,닥터아토,7.92847,베이스메이크업,선케어
2024-04-08,30대,닥터아토,8.73819,베이스메이크업,선케어
2024-04-15,30대,닥터아토,9.51417,베이스메이크업,선케어
2024-04-22,30대,닥터아토,8.80566,베이스메이크업,선케어
2024-04-29,30대,닥터아토,8.67071,베이스메이크업,선케어
2024-05-06,30대,닥터아토,9.78407,베이스메이크업,선케어
2024-05-13,30대,닥터아토,10.18893,베이스메이크업,선케어
2024-05-20,30대,닥터아토,10.32388,베이스메이크업,선케어
2024-05-27,30대,닥터아토,11.16734,베이스메이크업,선케어
2024-06-03,30대,닥터아토,9.88529,베이스메이크업,선케어
2024-06-10,30대,닥터아토,10.695,베이스메이크업,선케어
2024-06-17,30대,닥터아토,11.80836,베이스메이크업,선케어
2024-06-24,30대,닥터아토,8.8394,베이스메이크업,선케어
2024-07-01,30대,닥터아토,7.6923,베이스메이크업,선케어
2024-07-08,30대,닥터아토,9.07557,베이스메이크업,선케어
2024-07-15,30대,닥터아토,8.29959,베이스메이크업,선케어
2024-07-22,30대,닥터아토,9.85155,베이스메이크업,선케어
2024-07-29,30대,닥터아토,9.34547,베이스메이크업,선케어
2024-08-05,30대,닥터아토,10.29014,베이스메이크업,선케어
2024-08-12,30대,닥터아토,8.53576,베이스메이크업,선케어
2024-08-19,30대,닥터아토,9.10931,베이스메이크업,선케어
2024-08-26,30대,닥터아토,9.61538,베이스메이크업,선케어
2024-09-02,30대,닥터아토,8.23211,베이스메이크업,선케어
2024-09-09,30대,닥터아토,6.84885,베이스메이크업,선케어
2024-09-16,30대,닥터아토,5.1282,베이스메이크업,선케어
2024-09-23,30대,닥터아토,5.8367,베이스메이크업,선케어
2024-09-30,30대,닥터아토,6.37651,베이스메이크업,선케어
2024-10-07,30대,닥터아토,8.90688,베이스메이크업,선케어
2024-10-14,30대,닥터아토,6.41025,베이스메이크업,선케어
2024-10-21,30대,닥터아토,6.00539,베이스메이크업,선케어
2024-10-28,30대,닥터아토,6.57894,베이스메이크업,선케어
2024-11-04,30대,닥터아토,7.01754,베이스메이크업,선케어
2024-11-11,30대,닥터아토,7.32118,베이스메이크업,선케어
2024-11-18,30대,닥터아토,7.45614,베이스메이크업,선케어
2024-11-25,30대,닥터아토,7.55735,베이스메이크업,선케어
2024-12-02,30대,닥터아토,8.8394,베이스메이크업,선케어
2024-12-09,30대,닥터아토,8.60323,베이스메이크업,선케어
2024-12-16,30대,닥터아토,7.18623,베이스메이크업,선케어
2024-12-23,30대,닥터아토,6.14035,베이스메이크업,선케어
2024-12-30,30대,닥터아토,6.64642,베이스메이크업,선케어
2025-01-06,30대,닥터아토,6.07287,베이스메이크업,선케어
2025-01-13,30대,닥터아토,6.41025,베이스메이크업,선케어
2025-01-20,30대,닥터아토,5.19568,베이스메이크업,선케어
2025-01-27,30대,닥터아토,5.90418,베이스메이크업,선케어
2025-02-03,30대,닥터아토,6.20782,베이스메이크업,선케어
2025-02-10,30대,닥터아토,8.36707,베이스메이크업,선케어
2024-02-05,40대,닥터아토,5.14208,베이스메이크업,선케어
2024-02-12,40대,닥터아토,8.25439,베이스메이크업,선케어
2024-02-19,40대,닥터아토,7.17185,베이스메이크업,선케어
2024-02-26,40대,닥터아토,6.45015,베이스메이크업,선케어
2024-03-04,40대,닥터아토,8.61524,베이스메이크업,선케어
2024-03-11,40대,닥터아토,8.43482,베이스메이크업,선케어
2024-03-18,40대,닥터아토,7.44248,베이스메이크업,선케어
2024-03-25,40대,닥터아토,8.11907,베이스메이크업,선케어
2024-04-01,40대,닥터아토,7.66801,베이스메이크업,선케어
2024-04-08,40대,닥터아토,7.98376,베이스메이크업,선케어
2024-04-15,40대,닥터아토,11.09607,베이스메이크업,선케어
2024-04-22,40대,닥터아토,8.07397,베이스메이크업,선케어
2024-04-29,40대,닥터아토,8.57013,베이스메이크업,선케어
2024-05-06,40대,닥터아토,8.79566,베이스메이크업,선케어
2024-05-13,40대,닥터아토,9.96842,베이스메이크업,선케어
2024-05-20,40대,닥터아토,10.69012,베이스메이크업,선케어
2024-05-27,40대,닥터아토,10.82543,베이스메이크업,선케어
2024-06-03,40대,닥터아토,8.66035,베이스메이크업,선케어
2024-06-10,40대,닥터아토,8.57013,베이스메이크업,선케어
2024-06-17,40대,닥터아토,11.59224,베이스메이크업,선케어
2024-06-24,40대,닥터아토,10.28416,베이스메이크업,선케어
2024-07-01,40대,닥터아토,8.11907,베이스메이크업,선케어
2024-07-08,40대,닥터아토,7.75823,베이스메이크업,선케어
2024-07-15,40대,닥터아토,7.44248,베이스메이크업,선케어
2024-07-22,40대,닥터아토,7.84844,베이스메이크업,선케어
2024-07-29,40대,닥터아토,9.33694,베이스메이크업,선케어
2024-08-05,40대,닥터아토,7.93865,베이스메이크업,선케어
2024-08-12,40대,닥터아토,7.39738,베이스메이크업,선케어
2024-08-19,40대,닥터아토,7.5778,베이스메이크업,선케어
2024-08-26,40대,닥터아토,7.80333,베이스메이크업,선케어
2024-09-02,40대,닥터아토,7.84844,베이스메이크업,선케어
2024-09-09,40대,닥터아토,4.87144,베이스메이크업,선케어
2024-09-16,40대,닥터아토,4.87144,베이스메이크업,선케어
2024-09-23,40대,닥터아토,6.76589,베이스메이크업,선케어
2024-09-30,40대,닥터아토,4.23996,베이스메이크업,선케어
2024-10-07,40대,닥터아토,5.63824,베이스메이크업,선케어
2024-10-14,40대,닥터아토,6.67568,베이스메이크업,선케어
2024-10-21,40대,닥터아토,5.86377,베이스메이크업,선케어
2024-10-28,40대,닥터아토,4.82634,베이스메이크업,선케어
2024-11-04,40대,닥터아토,5.72846,베이스메이크업,선케어
2024-11-11,40대,닥터아토,5.3225,베이스메이크업,선케어
2024-11-18,40대,닥터아토,6.67568,베이스메이크업,선케어
2024-11-25,40대,닥터아토,5.59314,베이스메이크업,선케어
2024-12-02,40대,닥터아토,5.99909,베이스메이크업,선케어
2024-12-09,40대,닥터아토,6.72079,베이스메이크업,선케어
2024-12-16,40대,닥터아토,4.5557,베이스메이크업,선케어
2024-12-23,40대,닥터아토,4.60081,베이스메이크업,선케어
2024-12-30,40대,닥터아토,4.82634,베이스메이크업,선케어
2025-01-06,40대,닥터아토,5.59314,베이스메이크업,선케어
2025-01-13,40대,닥터아토,5.18718,베이스메이크업,선케어
2025-01-20,40대,닥터아토,4.96165,베이스메이크업,선케어
2025-01-27,40대,닥터아토,4.78123,베이스메이크업,선케어
2025-02-03,40대,닥터아토,5.95399,베이스메이크업,선케어
2025-02-10,40대,닥터아토,5.2774,베이스메이크업,선케어
2024-02-05,50대,닥터아토,3.68852,베이스메이크업,선케어
2024-02-12,50대,닥터아토,5.19125,베이스메이크업,선케어
2024-02-19,50대,닥터아토,6.69398,베이스메이크업,선케어
2024-02-26,50대,닥터아토,6.69398,베이스메이크업,선케어
2024-03-04,50대,닥터아토,7.37704,베이스메이크업,선케어
2024-03-11,50대,닥터아토,7.24043,베이스메이크업,선케어
2024-03-18,50대,닥터아토,7.92349,베이스메이크업,선케어
2024-03-25,50대,닥터아토,5.60109,베이스메이크업,선케어
2024-04-01,50대,닥터아토,7.92349,베이스메이크업,선케어
2024-04-08,50대,닥터아토,6.8306,베이스메이크업,선케어
2024-04-15,50대,닥터아토,6.01092,베이스메이크업,선케어
2024-04-22,50대,닥터아토,6.28415,베이스메이크업,선케어
2024-04-29,50대,닥터아토,4.23497,베이스메이크업,선케어
2024-05-06,50대,닥터아토,5.05464,베이스메이크업,선케어
2024-05-13,50대,닥터아토,5.46448,베이스메이크업,선케어
2024-05-20,50대,닥터아토,9.153,베이스메이크업,선케어
2024-05-27,50대,닥터아토,9.153,베이스메이크업,선케어
2024-06-03,50대,닥터아토,7.92349,베이스메이크업,선케어
2024-06-10,50대,닥터아토,10.51912,베이스메이크업,선케어
2024-06-17,50대,닥터아토,8.0601,베이스메이크업,선케어
2024-06-24,50대,닥터아토,6.96721,베이스메이크업,선케어
2024-07-01,50대,닥터아토,6.01092,베이스메이크업,선케어
2024-07-08,50대,닥터아토,7.37704,베이스메이크업,선케어
2024-07-15,50대,닥터아토,7.10382,베이스메이크업,선케어
2024-07-22,50대,닥터아토,6.01092,베이스메이크업,선케어
2024-07-29,50대,닥터아토,8.60655,베이스메이크업,선케어
2024-08-05,50대,닥터아토,6.8306,베이스메이크업,선케어
2024-08-12,50대,닥터아토,6.01092,베이스메이크업,선케어
2024-08-19,50대,닥터아토,6.8306,베이스메이크업,선케어
2024-08-26,50대,닥터아토,3.68852,베이스메이크업,선케어
2024-09-02,50대,닥터아토,5.46448,베이스메이크업,선케어
2024-09-09,50대,닥터아토,3.4153,베이스메이크업,선케어
2024-09-16,50대,닥터아토,5.60109,베이스메이크업,선케어
2024-09-23,50대,닥터아토,5.19125,베이스메이크업,선케어
2024-09-30,50대,닥터아토,4.6448,베이스메이크업,선케어
2024-10-07,50대,닥터아토,6.69398,베이스메이크업,선케어
2024-10-14,50대,닥터아토,3.68852,베이스메이크업,선케어
2024-10-21,50대,닥터아토,3.4153,베이스메이크업,선케어
2024-10-28,50대,닥터아토,4.6448,베이스메이크업,선케어
2024-11-04,50대,닥터아토,3.68852,베이스메이크업,선케어
2024-11-11,50대,닥터아토,3.4153,베이스메이크업,선케어
2024-11-18,50대,닥터아토,3.55191,베이스메이크업,선케어
2024-11-25,50대,닥터아토,5.32786,베이스메이크업,선케어
2024-12-02,50대,닥터아토,5.05464,베이스메이크업,선케어
