날짜,에스네이처,일리윤,퓨리피아,연령대
2024-02-05,38.04878,62.43902,0.9756,10대
2024-02-12,54.63414,100.0,2.43902,10대
2024-02-19,35.60975,89.75609,0.9756,10대
2024-02-26,62.92682,97.56097,0.4878,10대
2024-03-04,33.17073,62.43902,0,10대
2024-03-11,24.87804,53.17073,0.9756,10대
2024-03-18,25.36585,41.95121,0.4878,10대
2024-03-25,21.95121,44.87804,0,10대
2024-04-01,16.09756,53.65853,1.46341,10대
2024-04-08,40.9756,56.09756,0.9756,10대
2024-04-15,30.2439,60.4878,0.9756,10대
2024-04-22,27.80487,39.02439,0,10대
2024-04-29,60.4878,38.04878,0,10대
2024-05-06,51.21951,61.46341,0,10대
2024-05-13,36.58536,63.90243,0.4878,10대
2024-05-20,42.92682,46.82926,0.4878,10대
2024-05-27,52.68292,49.26829,0.9756,10대
2024-06-03,48.29268,59.02439,0,10대
2024-06-10,30.7317,51.21951,0,10대
2024-06-17,41.95121,37.56097,0.9756,10대
2024-06-24,40.9756,27.80487,0.4878,10대
2024-07-01,30.7317,39.51219,0.4878,10대
2024-07-08,32.68292,37.56097,1.46341,10대
2024-07-15,41.95121,32.68292,1.46341,10대
2024-07-22,50.2439,43.90243,4.39024,10대
2024-07-29,47.80487,49.75609,1.46341,10대
2024-08-05,40.0,58.04878,1.95121,10대
2024-08-12,37.07317,52.19512,2.92682,10대
2024-08-19,31.21951,40.0,2.43902,10대
2024-08-26,45.85365,52.19512,2.92682,10대
2024-09-02,52.68292,45.36585,3.90243,10대
2024-09-09,45.85365,35.60975,1.95121,10대
2024-09-16,46.34146,40.0,5.85365,10대
2024-09-23,50.2439,49.26829,3.90243,10대
2024-09-30,40.4878,49.26829,9.26829,10대
2024-10-07,28.78048,51.70731,4.87804,10대
2024-10-14,33.65853,46.82926,11.21951,10대
2024-10-21,37.56097,28.78048,1.46341,10대
2024-10-28,37.07317,42.92682,4.39024,10대
2024-11-04,41.46341,58.04878,0.9756,10대
2024-11-11,33.65853,41.95121,1.95121,10대
2024-11-18,32.68292,77.56097,5.85365,10대
2024-11-25,41.95121,69.75609,5.36585,10대
2024-12-02,52.19512,92.19512,6.34146,10대
2024-12-09,39.51219,76.58536,3.41463,10대
2024-12-16,28.78048,71.70731,2.92682,10대
2024-12-23,25.85365,68.29268,1.95121,10대
2024-12-30,36.09756,62.92682,0.9756,10대
2025-01-06,37.07317,65.36585,5.85365,10대
2025-01-13,53.65853,53.17073,4.87804,10대
2025-01-20,41.95121,58.53658,1.95121,10대
2025-01-27,62.92682,66.34146,2.92682,10대
2025-02-03,60.0,74.14634,5.36585,10대
2025-02-10,59.02439,81.46341,3.41463,10대
2024-02-05,37.70405,64.82359,0.94786,20대
2024-02-12,50.23696,73.35439,1.94839,20대
2024-02-19,40.65297,64.87625,1.63243,20대
2024-02-26,52.18536,77.14586,1.00052,20대
2024-03-04,53.92311,75.72406,1.05318,20대
2024-03-11,40.17904,69.66824,0.94786,20대
2024-03-18,38.07266,63.45444,0.94786,20대
2024-03-25,37.70405,61.03212,1.52711,20대
2024-04-01,39.07319,55.71353,1.31648,20대
2024-04-08,49.76303,59.2417,1.4218,20대
2024-04-15,40.33701,58.29383,1.05318,20대
2024-04-22,36.96682,58.24117,0.84254,20대
2024-04-29,54.29173,70.45813,0.8952,20대
2024-05-06,51.81674,68.19378,1.31648,20대
2024-05-13,48.49921,73.88098,1.1585,20대
2024-05-20,50.86887,56.87203,0.68457,20대
2024-05-27,56.92469,69.03633,1.00052,20대
2024-06-03,57.87256,67.40389,1.26382,20대
2024-06-10,45.9189,75.9347,0.73723,20대
2024-06-17,41.6535,54.13375,1.36914,20대
2024-06-24,46.07688,49.60505,0.94786,20대
2024-07-01,42.49605,54.29173,2.10637,20대
2024-07-08,42.70668,49.34175,2.47498,20대
2024-07-15,47.55134,44.07582,2.00105,20대
2024-07-22,53.23854,48.28857,3.00157,20대
2024-07-29,52.92259,43.75987,0.68457,20대
2024-08-05,48.13059,42.91732,1.26382,20대
2024-08-12,42.75934,50.55292,1.73775,20대
2024-08-19,39.23117,52.1327,1.79041,20대
2024-08-26,55.71353,55.87151,1.84307,20대
2024-09-02,63.34913,55.08162,1.73775,20대
2024-09-09,56.18746,39.38915,1.89573,20대
2024-09-16,43.23328,45.86624,1.47446,20대
2024-09-23,48.02527,56.87203,2.42232,20대
2024-09-30,44.91837,59.505,1.68509,20대
2024-10-07,40.65297,61.08478,2.26434,20대
2024-10-14,44.91837,63.08583,2.317,20대
2024-10-21,46.02422,57.08267,2.52764,20대
2024-10-28,54.18641,71.09004,2.68562,20대
2024-11-04,57.13533,81.46392,2.00105,20대
2024-11-11,45.28699,65.56082,2.21169,20대
2024-11-18,44.86571,90.52132,2.73828,20대
2024-11-25,53.23854,100.0,4.0021,20대
2024-12-02,58.55713,96.99842,2.52764,20대
2024-12-09,44.39178,86.09794,3.21221,20대
2024-12-16,43.44391,79.14691,3.10689,20대
2024-12-23,40.07372,62.40126,2.10637,20대
2024-12-30,48.60452,74.61822,1.21116,20대
2025-01-06,59.34702,75.35545,1.89573,20대
2025-01-13,52.39599,73.77567,2.42232,20대
2025-01-20,48.65718,56.55608,2.26434,20대
2025-01-27,53.13322,64.61295,2.10637,20대
2025-02-03,55.13428,89.04686,3.21221,20대
2025-02-10,54.55502,83.25434,1.4218,20대
2024-02-05,17.9083,62.46418,0.74498,30대
2024-02-12,21.11747,80.74498,0.94555,30대
2024-02-19,19.54154,71.60458,0.85959,30대
2024-02-26,25.38681,77.65042,0.77363,30대
2024-03-04,25.10028,76.5616,0.71633,30대
2024-03-11,17.4212,78.88252,0.77363,30대
2024-03-18,19.28366,65.84527,0.63037,30대
2024-03-25,19.85673,67.79369,1.11747,30대
2024-04-01,22.2063,61.89111,1.63323,30대
2024-04-08,23.69627,55.50143,0.94555,30대
2024-04-15,23.03724,61.69054,1.17478,30대
2024-04-22,19.59885,60.22922,1.17478,30대
2024-04-29,21.83381,63.58166,0.85959,30대
2024-05-06,24.61318,61.08882,1.60458,30대
2024-05-13,23.61031,63.40974,0.77363,30대
2024-05-20,25.12893,62.95128,0.80229,30대
2024-05-27,27.39255,62.17765,0.97421,30대
2024-06-03,25.61604,60.54441,0.74498,30대
2024-06-10,20.74498,67.10601,0.88825,30대
2024-06-17,19.59885,52.92263,1.37535,30대
2024-06-24,21.57593,52.40687,1.3467,30대
2024-07-01,21.80515,55.67335,1.23209,30대
2024-07-08,19.82808,49.6275,1.03151,30대
2024-07-15,22.23495,47.04871,1.23209,30대
2024-07-22,22.83667,45.44412,1.91977,30대
2024-07-29,24.64183,44.64183,0.45845,30대
2024-08-05,24.29799,45.47277,1.14613,30대
2024-08-12,21.89111,55.41547,1.14613,30대
2024-08-19,21.54727,50.37249,0.88825,30대
2024-08-26,26.90544,53.63896,1.17478,30대
2024-09-02,27.27793,56.90544,1.54727,30대
2024-09-09,25.93123,41.40401,2.06303,30대
2024-09-16,20.0573,47.96561,0.94555,30대
2024-09-23,22.43553,64.49856,1.60458,30대
2024-09-30,21.14613,67.16332,1.00286,30대
2024-10-07,20.71633,74.58452,1.11747,30대
2024-10-14,23.86819,76.10315,1.06017,30대
2024-10-21,23.89684,69.39828,1.23209,30대
2024-10-28,25.64469,74.98567,1.20343,30대
2024-11-04,26.79083,81.51862,1.3467,30대
2024-11-11,21.23209,69.5702,1.20343,30대
2024-11-18,24.09742,83.86819,1.74785,30대
2024-11-25,27.39255,94.18338,2.03438,30대
2024-12-02,27.47851,85.53008,1.97707,30대
2024-12-09,23.9255,88.65329,1.20343,30대
2024-12-16,23.0659,86.50429,2.03438,30대
2024-12-23,20.51575,72.89398,1.97707,30대
2024-12-30,24.21203,85.15759,1.66189,30대
2025-01-06,29.1977,83.26647,2.23495,30대
2025-01-13,27.19197,77.82234,2.14899,30대
2025-01-20,24.12607,62.37822,1.23209,30대
2025-01-27,25.01432,64.69914,0.94555,30대
2025-02-03,30.74498,94.18338,1.86246,30대
2025-02-10,30.02865,100.0,1.26074,30대
2024-02-05,15.21922,54.42664,1.34907,40대
2024-02-12,19.01349,77.44519,1.64418,40대
2024-02-19,17.28499,60.58178,0.5059,40대
2024-02-26,16.06239,67.5801,0.63237,40대
2024-03-04,17.24283,71.96458,1.0118,40대
