날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,디어달리아,11.672235,베이스메이크업,베이스메이크업
총합,10대,셀퓨전씨,9.765880000000001,베이스메이크업,베이스메이크업
총합,10대,에스네이처,6.900775,베이스메이크업,베이스메이크업
총합,10대,오브제,76.94536833333333,베이스메이크업,베이스메이크업
총합,20대,디어달리아,25.675485,베이스메이크업,베이스메이크업
총합,20대,셀퓨전씨,27.300085,베이스메이크업,베이스메이크업
총합,20대,에스네이처,20.179213333333333,베이스메이크업,베이스메이크업
총합,20대,오브제,91.26137,베이스메이크업,베이스메이크업
총합,30대,디어달리아,59.10514833333334,베이스메이크업,베이스메이크업
총합,30대,셀퓨전씨,51.61735833333333,베이스메이크업,베이스메이크업
총합,30대,에스네이처,25.403183333333335,베이스메이크업,베이스메이크업
총합,30대,오브제,90.30503500000002,베이스메이크업,베이스메이크업
총합,40대,디어달리아,69.97909166666666,베이스메이크업,베이스메이크업
총합,40대,셀퓨전씨,71.57098666666667,베이스메이크업,베이스메이크업
총합,40대,에스네이처,26.885343333333335,베이스메이크업,베이스메이크업
총합,40대,오브제,91.87168000000001,베이스메이크업,베이스메이크업
총합,50대,디어달리아,30.714083333333335,베이스메이크업,베이스메이크업
총합,50대,셀퓨전씨,38.558031666666665,베이스메이크업,베이스메이크업
총합,50대,에스네이처,15.687890000000001,베이스메이크업,베이스메이크업
총합,50대,오브제,87.68954666666667,베이스메이크업,베이스메이크업
총합,60대,디어달리아,16.11721,베이스메이크업,베이스메이크업
총합,60대,셀퓨전씨,26.739921666666664,베이스메이크업,베이스메이크업
총합,60대,에스네이처,8.562265,베이스메이크업,베이스메이크업
총합,60대,오브제,87.22527166666667,베이스메이크업,베이스메이크업
2025-01-06,10대,디어달리아,9.09698,베이스메이크업,베이스메이크업
2025-01-13,10대,디어달리아,10.36789,베이스메이크업,베이스메이크업
2025-01-20,10대,디어달리아,11.37123,베이스메이크업,베이스메이크업
2025-01-27,10대,디어달리아,15.11705,베이스메이크업,베이스메이크업
2025-02-03,10대,디어달리아,12.57525,베이스메이크업,베이스메이크업
2025-02-10,10대,디어달리아,11.50501,베이스메이크업,베이스메이크업
2025-01-06,20대,디어달리아,20.76749,베이스메이크업,베이스메이크업
2025-01-13,20대,디어달리아,26.30822,베이스메이크업,베이스메이크업
2025-01-20,20대,디어달리아,26.24666,베이스메이크업,베이스메이크업
2025-01-27,20대,디어달리아,24.2561,베이스메이크업,베이스메이크업
2025-02-03,20대,디어달리아,33.49066,베이스메이크업,베이스메이크업
2025-02-10,20대,디어달리아,22.98378,베이스메이크업,베이스메이크업
2025-01-06,30대,디어달리아,50.04147,베이스메이크업,베이스메이크업
2025-01-13,30대,디어달리아,61.23859,베이스메이크업,베이스메이크업
2025-01-20,30대,디어달리아,58.47387,베이스메이크업,베이스메이크업
2025-01-27,30대,디어달리아,52.33619,베이스메이크업,베이스메이크업
2025-02-03,30대,디어달리아,78.73928,베이스메이크업,베이스메이크업
2025-02-10,30대,디어달리아,53.80149,베이스메이크업,베이스메이크업
2025-01-06,40대,디어달리아,59.23781,베이스메이크업,베이스메이크업
2025-01-13,40대,디어달리아,81.13844,베이스메이크업,베이스메이크업
2025-01-20,40대,디어달리아,66.37723,베이스메이크업,베이스메이크업
2025-01-27,40대,디어달리아,60.68499,베이스메이크업,베이스메이크업
2025-02-03,40대,디어달리아,83.45393,베이스메이크업,베이스메이크업
2025-02-10,40대,디어달리아,68.98215,베이스메이크업,베이스메이크업
2025-01-06,50대,디어달리아,26.799,베이스메이크업,베이스메이크업
2025-01-13,50대,디어달리아,33.58147,베이스메이크업,베이스메이크업
2025-01-20,50대,디어달리아,31.43093,베이스메이크업,베이스메이크업
2025-01-27,50대,디어달리아,27.95698,베이스메이크업,베이스메이크업
2025-02-03,50대,디어달리아,36.64185,베이스메이크업,베이스메이크업
2025-02-10,50대,디어달리아,27.87427,베이스메이크업,베이스메이크업
2025-01-06,60대,디어달리아,16.48351,베이스메이크업,베이스메이크업
2025-01-13,60대,디어달리아,17.85714,베이스메이크업,베이스메이크업
2025-01-20,60대,디어달리아,19.23076,베이스메이크업,베이스메이크업
2025-01-27,60대,디어달리아,9.8901,베이스메이크업,베이스메이크업
2025-02-03,60대,디어달리아,21.15384,베이스메이크업,베이스메이크업
2025-02-10,60대,디어달리아,12.08791,베이스메이크업,베이스메이크업
2025-01-06,10대,셀퓨전씨,7.75919,베이스메이크업,베이스메이크업
2025-01-13,10대,셀퓨전씨,12.10702,베이스메이크업,베이스메이크업
2025-01-20,10대,셀퓨전씨,9.56521,베이스메이크업,베이스메이크업
2025-01-27,10대,셀퓨전씨,9.49832,베이스메이크업,베이스메이크업
2025-02-03,10대,셀퓨전씨,9.43143,베이스메이크업,베이스메이크업
2025-02-10,10대,셀퓨전씨,10.23411,베이스메이크업,베이스메이크업
2025-01-06,20대,셀퓨전씨,23.10691,베이스메이크업,베이스메이크업
2025-01-13,20대,셀퓨전씨,33.61379,베이스메이크업,베이스메이크업
2025-01-20,20대,셀퓨전씨,28.17566,베이스메이크업,베이스메이크업
2025-01-27,20대,셀퓨전씨,26.06197,베이스메이크업,베이스메이크업
2025-02-03,20대,셀퓨전씨,26.73917,베이스메이크업,베이스메이크업
2025-02-10,20대,셀퓨전씨,26.10301,베이스메이크업,베이스메이크업
2025-01-06,30대,셀퓨전씨,48.02322,베이스메이크업,베이스메이크업
2025-01-13,30대,셀퓨전씨,57.81034,베이스메이크업,베이스메이크업
2025-01-20,30대,셀퓨전씨,56.17915,베이스메이크업,베이스메이크업
2025-01-27,30대,셀퓨전씨,44.40143,베이스메이크업,베이스메이크업
2025-02-03,30대,셀퓨전씨,51.20265,베이스메이크업,베이스메이크업
2025-02-10,30대,셀퓨전씨,52.08736,베이스메이크업,베이스메이크업
2025-01-06,40대,셀퓨전씨,65.26772,베이스메이크업,베이스메이크업
2025-01-13,40대,셀퓨전씨,74.38494,베이스메이크업,베이스메이크업
2025-01-20,40대,셀퓨전씨,74.52966,베이스메이크업,베이스메이크업
2025-01-27,40대,셀퓨전씨,65.70188,베이스메이크업,베이스메이크업
2025-02-03,40대,셀퓨전씨,78.00289,베이스메이크업,베이스메이크업
2025-02-10,40대,셀퓨전씨,71.53883,베이스메이크업,베이스메이크업
2025-01-06,50대,셀퓨전씨,33.49875,베이스메이크업,베이스메이크업
2025-01-13,50대,셀퓨전씨,39.61952,베이스메이크업,베이스메이크업
2025-01-20,50대,셀퓨전씨,40.19851,베이스메이크업,베이스메이크업
2025-01-27,50대,셀퓨전씨,31.84449,베이스메이크업,베이스메이크업
2025-02-03,50대,셀퓨전씨,46.07113,베이스메이크업,베이스메이크업
2025-02-10,50대,셀퓨전씨,40.11579,베이스메이크업,베이스메이크업
2025-01-06,60대,셀퓨전씨,29.94505,베이스메이크업,베이스메이크업
2025-01-13,60대,셀퓨전씨,19.50549,베이스메이크업,베이스메이크업
2025-01-20,60대,셀퓨전씨,29.67032,베이스메이크업,베이스메이크업
2025-01-27,60대,셀퓨전씨,18.40659,베이스메이크업,베이스메이크업
2025-02-03,60대,셀퓨전씨,40.65934,베이스메이크업,베이스메이크업
2025-02-10,60대,셀퓨전씨,22.25274,베이스메이크업,베이스메이크업
2025-01-06,10대,에스네이처,4.81605,베이스메이크업,베이스메이크업
2025-01-13,10대,에스네이처,7.02341,베이스메이크업,베이스메이크업
2025-01-20,10대,에스네이처,5.55183,베이스메이크업,베이스메이크업
2025-01-27,10대,에스네이처,8.22742,베이스메이크업,베이스메이크업
2025-02-03,10대,에스네이처,8.09364,베이스메이크업,베이스메이크업
2025-02-10,10대,에스네이처,7.6923,베이스메이크업,베이스메이크업
2025-01-06,20대,에스네이처,22.26554,베이스메이크업,베이스메이크업
2025-01-13,20대,에스네이처,19.78247,베이스메이크업,베이스메이크업
2025-01-20,20대,에스네이처,17.99712,베이스메이크업,베이스메이크업
2025-01-27,20대,에스네이처,19.57726,베이스메이크업,베이스메이크업
2025-02-03,20대,에스네이처,20.66488,베이스메이크업,베이스메이크업
2025-02-10,20대,에스네이처,20.78801,베이스메이크업,베이스메이크업
2025-01-06,30대,에스네이처,26.79015,베이스메이크업,베이스메이크업
2025-01-13,30대,에스네이처,24.8272,베이스메이크업,베이스메이크업
2025-01-20,30대,에스네이처,21.81365,베이스메이크업,베이스메이크업
2025-01-27,30대,에스네이처,23.05778,베이스메이크업,베이스메이크업
2025-02-03,30대,에스네이처,28.39369,베이스메이크업,베이스메이크업
2025-02-10,30대,에스네이처,27.53663,베이스메이크업,베이스메이크업
2025-01-06,40대,에스네이처,29.8601,베이스메이크업,베이스메이크업
2025-01-13,40대,에스네이처,27.73757,베이스메이크업,베이스메이크업
2025-01-20,40대,에스네이처,23.20308,베이스메이크업,베이스메이크업
2025-01-27,40대,에스네이처,23.05836,베이스메이크업,베이스메이크업
2025-02-03,40대,에스네이처,30.43897,베이스메이크업,베이스메이크업
2025-02-10,40대,에스네이처,27.01398,베이스메이크업,베이스메이크업
2025-01-06,50대,에스네이처,24.31761,베이스메이크업,베이스메이크업
2025-01-13,50대,에스네이처,14.14392,베이스메이크업,베이스메이크업
2025-01-20,50대,에스네이처,11.00082,베이스메이크업,베이스메이크업
2025-01-27,50대,에스네이처,13.81306,베이스메이크업,베이스메이크업
2025-02-03,50대,에스네이처,14.39205,베이스메이크업,베이스메이크업
2025-02-10,50대,에스네이처,16.45988,베이스메이크업,베이스메이크업
2025-01-06,60대,에스네이처,15.93406,베이스메이크업,베이스메이크업
2025-01-13,60대,에스네이처,9.34065,베이스메이크업,베이스메이크업
2025-01-20,60대,에스네이처,7.14285,베이스메이크업,베이스메이크업
2025-01-27,60대,에스네이처,3.84615,베이스메이크업,베이스메이크업
2025-02-03,60대,에스네이처,7.14285,베이스메이크업,베이스메이크업
2025-02-10,60대,에스네이처,7.96703,베이스메이크업,베이스메이크업
2025-01-06,10대,오브제,67.75919,베이스메이크업,베이스메이크업
2025-01-13,10대,오브제,61.93979,베이스메이크업,베이스메이크업
2025-01-20,10대,오브제,66.35451,베이스메이크업,베이스메이크업
2025-01-27,10대,오브제,100.0,베이스메이크업,베이스메이크업
2025-02-03,10대,오브제,89.96655,베이스메이크업,베이스메이크업
2025-02-10,10대,오브제,75.65217,베이스메이크업,베이스메이크업
2025-01-06,20대,오브제,87.58465,베이스메이크업,베이스메이크업
2025-01-13,20대,오브제,85.26575,베이스메이크업,베이스메이크업
2025-01-20,20대,오브제,84.11656,베이스메이크업,베이스메이크업
2025-01-27,20대,오브제,92.14036,베이스메이크업,베이스메이크업
2025-02-03,20대,오브제,100.0,베이스메이크업,베이스메이크업
2025-02-10,20대,오브제,98.4609,베이스메이크업,베이스메이크업
2025-01-06,30대,오브제,93.28172,베이스메이크업,베이스메이크업
2025-01-13,30대,오브제,87.89051,베이스메이크업,베이스메이크업
2025-01-20,30대,오브제,83.10754,베이스메이크업,베이스메이크업
2025-01-27,30대,오브제,80.20458,베이스메이크업,베이스메이크업
2025-02-03,30대,오브제,100.0,베이스메이크업,베이스메이크업
2025-02-10,30대,오브제,97.34586,베이스메이크업,베이스메이크업
2025-01-06,40대,오브제,88.27785,베이스메이크업,베이스메이크업
2025-01-13,40대,오브제,95.22431,베이스메이크업,베이스메이크업
2025-01-20,40대,오브제,88.0849,베이스메이크업,베이스메이크업
2025-01-27,40대,오브제,86.15533,베이스메이크업,베이스메이크업
2025-02-03,40대,오브제,100.0,베이스메이크업,베이스메이크업
2025-02-10,40대,오브제,93.48769,베이스메이크업,베이스메이크업
2025-01-06,50대,오브제,81.22415,베이스메이크업,베이스메이크업
2025-01-13,50대,오브제,82.71298,베이스메이크업,베이스메이크업
2025-01-20,50대,오브제,85.52522,베이스메이크업,베이스메이크업
2025-01-27,50대,오브제,91.31513,베이스메이크업,베이스메이크업
2025-02-03,50대,오브제,100.0,베이스메이크업,베이스메이크업
2025-02-10,50대,오브제,85.3598,베이스메이크업,베이스메이크업
2025-01-06,60대,오브제,90.93406,베이스메이크업,베이스메이크업
2025-01-13,60대,오브제,77.1978,베이스메이크업,베이스메이크업
2025-01-20,60대,오브제,79.94505,베이스메이크업,베이스메이크업
2025-01-27,60대,오브제,81.86813,베이스메이크업,베이스메이크업
2025-02-03,60대,오브제,93.40659,베이스메이크업,베이스메이크업
2025-02-10,60대,오브제,100.0,베이스메이크업,베이스메이크업
