날짜,메이크프렘,에스네이처,일리윤,일소,휩드,연령대
2024-02-05,9.4449,6.4623,10.6048,23.77796,20.71251,10대
2024-02-12,14.7473,9.2792,16.98425,33.30571,19.2212,10대
2024-02-19,14.5816,6.04805,15.2444,25.35211,16.65285,10대
2024-02-26,14.2502,10.68765,16.57,28.74896,17.0671,10대
2024-03-04,9.2792,5.6338,10.6048,10.9362,11.2676,10대
2024-03-11,7.20795,4.22535,9.03065,11.68185,7.70505,10대
2024-03-18,7.70505,4.3082,7.1251,10.7705,6.2966,10대
2024-03-25,7.04225,3.72825,7.6222,8.7821,6.71085,10대
2024-04-01,5.4681,2.73405,9.1135,13.83595,100.0,10대
2024-04-08,6.1309,6.9594,9.52775,18.3927,29.49461,10대
2024-04-15,8.285,5.1367,10.2734,14.49875,9.2792,10대
2024-04-22,8.285,4.72245,6.628,14.66445,10.4391,10대
2024-04-29,7.70505,10.2734,6.4623,14.5816,9.85915,10대
2024-05-06,6.1309,8.69925,10.4391,23.36371,23.28086,10대
2024-05-13,7.9536,6.21375,10.85335,19.63545,21.29246,10대
2024-05-20,8.6164,7.2908,7.9536,15.82435,15.99005,10대
2024-05-27,8.1193,8.9478,8.36785,14.66445,12.17895,10대
2024-06-03,6.7937,8.20215,10.02485,17.64705,11.35045,10대
2024-06-10,4.05965,5.21955,8.69925,12.9246,12.67605,10대
2024-06-17,6.21375,7.1251,6.37945,11.1019,10.9362,10대
2024-06-24,7.37365,6.9594,4.72245,10.02485,9.36205,10대
2024-07-01,6.54515,5.21955,6.71085,22.20381,13.9188,10대
2024-07-08,7.1251,5.55095,6.37945,20.29826,22.12096,10대
2024-07-15,6.87655,7.1251,5.55095,12.34465,14.16735,10대
2024-07-22,7.20795,8.53355,7.4565,16.32145,9.6106,10대
2024-07-29,14.2502,8.1193,8.4507,17.2328,15.32725,10대
2024-08-05,13.4217,6.7937,9.85915,19.30405,12.67605,10대
2024-08-12,11.4333,6.2966,8.86495,17.0671,16.0729,10대
2024-08-19,11.18475,5.3024,6.7937,15.9072,15.99005,10대
2024-08-26,13.33885,7.7879,8.86495,17.3985,12.01325,10대
2024-09-02,13.0903,8.9478,7.70505,14.16735,24.52361,10대
2024-09-09,10.52195,7.7879,6.04805,13.50455,20.62966,10대
2024-09-16,11.68185,7.87075,6.7937,29.16321,22.20381,10대
2024-09-23,6.37945,8.53355,8.36785,19.0555,19.884,10대
2024-09-30,9.2792,6.87655,8.36785,16.57,18.3927,10대
2024-10-07,8.69925,4.88815,8.7821,11.51615,17.3985,10대
2024-10-14,9.1135,5.71665,7.9536,14.2502,15.9072,10대
2024-10-21,8.285,6.37945,4.88815,13.83595,15.4101,10대
2024-10-28,8.9478,6.2966,7.2908,14.4159,15.0787,10대
2024-11-04,11.84755,7.04225,9.85915,12.0961,22.78376,10대
2024-11-11,12.9246,5.71665,7.1251,14.33305,22.45236,10대
2024-11-18,7.6222,5.55095,13.17315,26.76056,21.54101,10대
2024-11-25,9.03065,7.1251,11.84755,20.71251,19.13835,10대
2024-12-02,9.4449,8.86495,15.65865,24.60646,22.12096,10대
2024-12-09,6.87655,6.71085,13.00745,10.1077,18.5584,10대
2024-12-16,6.87655,4.88815,12.17895,9.85915,17.97845,10대
2024-12-23,6.87655,4.39105,11.599,9.03065,19.0555,10대
2024-12-30,8.03645,6.1309,10.68765,10.1077,17.14995,10대
2025-01-06,7.1251,6.2966,11.1019,13.83595,20.21541,10대
2025-01-13,8.69925,9.1135,9.03065,13.00745,18.80695,10대
2025-01-20,6.628,7.1251,9.942,8.86495,16.2386,10대
2025-01-27,12.34465,10.68765,11.2676,15.2444,24.52361,10대
2025-02-03,11.4333,10.19055,12.5932,14.00165,20.04971,10대
2025-02-10,10.4391,10.02485,13.83595,12.2618,37.86246,10대
2024-02-05,24.07323,16.18444,27.82549,19.16817,58.83815,20대
2024-02-12,30.26672,21.56419,31.48734,21.83544,64.35352,20대
2024-02-19,27.48643,17.45027,27.8481,19.05515,61.16636,20대
2024-02-26,32.84358,22.40054,33.11482,28.63924,49.50271,20대
2024-03-04,29.47558,23.14647,32.50452,24.02802,55.56057,20대
