날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,메이크프렘,9.055198148148149,스킨케어,클렌징
총합,10대,에스네이처,6.902632407407407,스킨케어,클렌징
총합,10대,일리윤,9.467913888888889,스킨케어,클렌징
총합,10대,일소,16.183368703703703,스킨케어,클렌징
총합,10대,휩드,18.547664074074074,스킨케어,클렌징
총합,20대,메이크프렘,26.71245574074074,스킨케어,클렌징
총합,20대,에스네이처,20.63407888888889,스킨케어,클렌징
총합,20대,일리윤,27.796190925925927,스킨케어,클렌징
총합,20대,일소,22.202962037037036,스킨케어,클렌징
총합,20대,휩드,49.0774174074074,스킨케어,클렌징
총합,30대,메이크프렘,24.15830092592593,스킨케어,클렌징
총합,30대,에스네이처,18.33677259259259,스킨케어,클렌징
총합,30대,일리윤,52.38752666666667,스킨케어,클렌징
총합,30대,일소,14.24137074074074,스킨케어,클렌징
총합,30대,휩드,45.066010740740744,스킨케어,클렌징
총합,40대,메이크프렘,25.921236481481483,스킨케어,클렌징
총합,40대,에스네이처,18.464644074074073,스킨케어,클렌징
총합,40대,일리윤,63.372833148148146,스킨케어,클렌징
총합,40대,일소,11.878547592592591,스킨케어,클렌징
총합,40대,휩드,33.337231851851854,스킨케어,클렌징
총합,50대,메이크프렘,19.99383333333333,스킨케어,클렌징
총합,50대,에스네이처,13.019437592592592,스킨케어,클렌징
총합,50대,일리윤,41.225092222222216,스킨케어,클렌징
총합,50대,일소,12.903055185185186,스킨케어,클렌징
총합,50대,휩드,17.424860555555554,스킨케어,클렌징
총합,60대 이상,메이크프렘,9.774851111111111,스킨케어,클렌징
총합,60대 이상,에스네이처,6.449251296296296,스킨케어,클렌징
총합,60대 이상,일리윤,29.217147037037037,스킨케어,클렌징
총합,60대 이상,일소,12.670785925925927,스킨케어,클렌징
총합,60대 이상,휩드,8.271027222222223,스킨케어,클렌징
2024-02-05,10대,메이크프렘,9.4449,스킨케어,클렌징
2024-02-12,10대,메이크프렘,14.7473,스킨케어,클렌징
2024-02-19,10대,메이크프렘,14.5816,스킨케어,클렌징
2024-02-26,10대,메이크프렘,14.2502,스킨케어,클렌징
2024-03-04,10대,메이크프렘,9.2792,스킨케어,클렌징
2024-03-11,10대,메이크프렘,7.20795,스킨케어,클렌징
2024-03-18,10대,메이크프렘,7.70505,스킨케어,클렌징
2024-03-25,10대,메이크프렘,7.04225,스킨케어,클렌징
2024-04-01,10대,메이크프렘,5.4681,스킨케어,클렌징
2024-04-08,10대,메이크프렘,6.1309,스킨케어,클렌징
2024-04-15,10대,메이크프렘,8.285,스킨케어,클렌징
2024-04-22,10대,메이크프렘,8.285,스킨케어,클렌징
2024-04-29,10대,메이크프렘,7.70505,스킨케어,클렌징
2024-05-06,10대,메이크프렘,6.1309,스킨케어,클렌징
2024-05-13,10대,메이크프렘,7.9536,스킨케어,클렌징
2024-05-20,10대,메이크프렘,8.6164,스킨케어,클렌징
2024-05-27,10대,메이크프렘,8.1193,스킨케어,클렌징
2024-06-03,10대,메이크프렘,6.7937,스킨케어,클렌징
2024-06-10,10대,메이크프렘,4.05965,스킨케어,클렌징
2024-06-17,10대,메이크프렘,6.21375,스킨케어,클렌징
2024-06-24,10대,메이크프렘,7.37365,스킨케어,클렌징
2024-07-01,10대,메이크프렘,6.54515,스킨케어,클렌징
2024-07-08,10대,메이크프렘,7.1251,스킨케어,클렌징
2024-07-15,10대,메이크프렘,6.87655,스킨케어,클렌징
2024-07-22,10대,메이크프렘,7.20795,스킨케어,클렌징
2024-07-29,10대,메이크프렘,14.2502,스킨케어,클렌징
2024-08-05,10대,메이크프렘,13.4217,스킨케어,클렌징
2024-08-12,10대,메이크프렘,11.4333,스킨케어,클렌징
2024-08-19,10대,메이크프렘,11.18475,스킨케어,클렌징
2024-08-26,10대,메이크프렘,13.33885,스킨케어,클렌징
2024-09-02,10대,메이크프렘,13.0903,스킨케어,클렌징
2024-09-09,10대,메이크프렘,10.52195,스킨케어,클렌징
2024-09-16,10대,메이크프렘,11.68185,스킨케어,클렌징
2024-09-23,10대,메이크프렘,6.37945,스킨케어,클렌징
2024-09-30,10대,메이크프렘,9.2792,스킨케어,클렌징
2024-10-07,10대,메이크프렘,8.69925,스킨케어,클렌징
2024-10-14,10대,메이크프렘,9.1135,스킨케어,클렌징
2024-10-21,10대,메이크프렘,8.285,스킨케어,클렌징
2024-10-28,10대,메이크프렘,8.9478,스킨케어,클렌징
2024-11-04,10대,메이크프렘,11.84755,스킨케어,클렌징
2024-11-11,10대,메이크프렘,12.9246,스킨케어,클렌징
2024-11-18,10대,메이크프렘,7.6222,스킨케어,클렌징
2024-11-25,10대,메이크프렘,9.03065,스킨케어,클렌징
2024-12-02,10대,메이크프렘,9.4449,스킨케어,클렌징
2024-12-09,10대,메이크프렘,6.87655,스킨케어,클렌징
2024-12-16,10대,메이크프렘,6.87655,스킨케어,클렌징
2024-12-23,10대,메이크프렘,6.87655,스킨케어,클렌징
2024-12-30,10대,메이크프렘,8.03645,스킨케어,클렌징
2025-01-06,10대,메이크프렘,7.1251,스킨케어,클렌징
2025-01-13,10대,메이크프렘,8.69925,스킨케어,클렌징
2025-01-20,10대,메이크프렘,6.628,스킨케어,클렌징
2025-01-27,10대,메이크프렘,12.34465,스킨케어,클렌징
2025-02-03,10대,메이크프렘,11.4333,스킨케어,클렌징
2025-02-10,10대,메이크프렘,10.4391,스킨케어,클렌징
2024-02-05,20대,메이크프렘,24.07323,스킨케어,클렌징
2024-02-12,20대,메이크프렘,30.26672,스킨케어,클렌징
2024-02-19,20대,메이크프렘,27.48643,스킨케어,클렌징
2024-02-26,20대,메이크프렘,32.84358,스킨케어,클렌징
2024-03-04,20대,메이크프렘,29.47558,스킨케어,클렌징
2024-03-11,20대,메이크프렘,24.36708,스킨케어,클렌징
