날짜,트리마이,연령대
2024-02-05,100.0,10대
2024-02-12,0,10대
2024-02-19,100.0,10대
2024-02-26,0,10대
2024-03-04,0,10대
2024-03-11,0,10대
2024-03-18,0,10대
2024-03-25,0,10대
2024-04-01,0,10대
2024-04-08,0,10대
2024-04-15,0,10대
2024-04-22,0,10대
2024-04-29,0,10대
2024-05-06,0,10대
2024-05-13,100.0,10대
2024-05-20,0,10대
2024-05-27,0,10대
2024-06-03,0,10대
2024-06-10,0,10대
2024-06-17,100.0,10대
2024-06-24,0,10대
2024-07-01,0,10대
2024-07-08,0,10대
2024-07-15,0,10대
2024-07-22,0,10대
2024-07-29,0,10대
2024-08-05,0,10대
2024-08-12,0,10대
2024-08-19,100.0,10대
2024-08-26,100.0,10대
2024-09-02,0,10대
2024-09-09,0,10대
2024-09-16,0,10대
2024-09-23,0,10대
2024-09-30,0,10대
2024-10-07,0,10대
2024-10-14,0,10대
2024-10-21,0,10대
2024-10-28,0,10대
2024-11-04,0,10대
2024-11-11,0,10대
2024-11-18,0,10대
2024-11-25,0,10대
2024-12-02,0,10대
2024-12-09,0,10대
2024-12-16,0,10대
2024-12-23,100.0,10대
2024-12-30,0,10대
2025-01-06,0,10대
2025-01-13,0,10대
2025-01-20,0,10대
2025-01-27,0,10대
2025-02-03,0,10대
2025-02-10,0,10대
2024-02-05,56.52173,20대
2024-02-12,43.47826,20대
2024-02-19,4.34782,20대
2024-02-26,47.82608,20대
2024-03-04,30.43478,20대
2024-03-11,30.43478,20대
2024-03-18,26.08695,20대
2024-03-25,65.21739,20대
2024-04-01,0,20대
2024-04-08,17.3913,20대
2024-04-15,13.04347,20대
2024-04-22,17.3913,20대
2024-04-29,8.69565,20대
2024-05-06,26.08695,20대
2024-05-13,43.47826,20대
2024-05-20,17.3913,20대
2024-05-27,21.73913,20대
2024-06-03,0,20대
2024-06-10,0,20대
2024-06-17,8.69565,20대
2024-06-24,13.04347,20대
2024-07-01,13.04347,20대
2024-07-08,34.7826,20대
2024-07-15,34.7826,20대
2024-07-22,95.65217,20대
2024-07-29,8.69565,20대
2024-08-05,13.04347,20대
2024-08-12,4.34782,20대
2024-08-19,39.13043,20대
2024-08-26,8.69565,20대
2024-09-02,39.13043,20대
2024-09-09,21.73913,20대
2024-09-16,26.08695,20대
2024-09-23,52.17391,20대
2024-09-30,65.21739,20대
2024-10-07,56.52173,20대
2024-10-14,0,20대
2024-10-21,4.34782,20대
2024-10-28,100.0,20대
2024-11-04,13.04347,20대
2024-11-11,17.3913,20대
2024-11-18,56.52173,20대
2024-11-25,60.86956,20대
2024-12-02,17.3913,20대
2024-12-09,30.43478,20대
2024-12-16,13.04347,20대
