플랫폼,중분류1,Word,Frequency
올리브영,스킨케어,좋다,891
올리브영,스킨케어,피부,528
올리브영,스킨케어,크림,323
올리브영,스킨케어,보습,264
올리브영,스킨케어,촉촉하다,172
올리브영,스킨케어,이다,167
올리브영,스킨케어,수분,166
올리브영,스킨케어,럼,160
올리브영,스킨케어,느낌,146
올리브영,스킨케어,로션,139
올리브영,스킨케어,순하다,138
올리브영,스킨케어,자극,137
올리브영,스킨케어,효과,137
올리브영,스킨케어,건성,121
올리브영,스킨케어,건조하다,121
올리브영,스킨케어,겨울,120
올리브영,스킨케어,추천,113
올리브영,스킨케어,흡수,98
올리브영,스킨케어,모공,95
올리브영,스킨케어,습,93
올리브영,스킨케어,끈,91
올리브영,스킨케어,앰플,87
올리브영,스킨케어,용량,84
올리브영,스킨케어,전,83
올리브영,스킨케어,감,83
올리브영,스킨케어,발라,82
올리브영,스킨케어,꾸준하다,79
올리브영,스킨케어,얼굴,70
올리브영,스킨케어,건조,68
올리브영,스킨케어,만족하다,66
올리브영,스킨케어,아니다,64
올리브영,스킨케어,아토,63
올리브영,스킨케어,향,59
올리브영,스킨케어,베리,57
올리브영,스킨케어,잡티,55
올리브영,스킨케어,장벽,54
올리브영,스킨케어,트러블,53
올리브영,스킨케어,많다,52
올리브영,스킨케어,괜찮다,52
올리브영,스킨케어,후,52
올리브영,스킨케어,민감,51
올리브영,스킨케어,발림,51
올리브영,스킨케어,형,50
올리브영,스킨케어,케어,49
올리브영,스킨케어,지성,49
올리브영,스킨케어,적임,48
올리브영,스킨케어,비싸다,47
올리브영,스킨케어,해,44
올리브영,스킨케어,계속,44
올리브영,스킨케어,날,42
올리브영,스킨케어,바이오,42
올리브영,스킨케어,콜라겐,42
올리브영,스킨케어,정도,41
올리브영,스킨케어,타입,41
올리브영,스킨케어,미백,41
올리브영,스킨케어,가볍다,40
올리브영,스킨케어,기획,39
올리브영,스킨케어,여드름,39
올리브영,스킨케어,그냥,39
올리브영,스킨케어,라인,39
올리브영,스킨케어,바로,38
올리브영,스킨케어,여름,38
올리브영,스킨케어,템,37
올리브영,스킨케어,다른,37
올리브영,스킨케어,고민,37
올리브영,스킨케어,에센스,37
올리브영,스킨케어,부지,36
올리브영,스킨케어,진정,36
올리브영,스킨케어,용,36
올리브영,스킨케어,샘플,36
올리브영,스킨케어,그렇다,36
올리브영,스킨케어,확실하다,35
올리브영,스킨케어,스킨,34
올리브영,스킨케어,마무리,34
올리브영,스킨케어,무겁다,34
올리브영,스킨케어,눈,34
올리브영,스킨케어,분,33
올리브영,스킨케어,예민하다,33
올리브영,스킨케어,유명하다,33
올리브영,스킨케어,합,33
올리브영,스킨케어,개선,32
올리브영,스킨케어,성분,31
올리브영,스킨케어,할인,31
올리브영,스킨케어,항상,31
올리브영,스킨케어,아침,31
올리브영,스킨케어,편이,30
올리브영,스킨케어,수분크림,30
올리브영,스킨케어,리뉴얼,30
올리브영,스킨케어,빠르다,29
올리브영,스킨케어,정착,29
올리브영,스킨케어,부드럽다,29
올리브영,스킨케어,도움,29
올리브영,스킨케어,리뷰,29
올리브영,스킨케어,때문,29
올리브영,스킨케어,패드,29
올리브영,스킨케어,힐보,29
올리브영,스킨케어,또,28
올리브영,스킨케어,다시,28
올리브영,스킨케어,좋아하다,28
올리브영,스킨케어,약간,28
올리브영,스킨케어,탄력,28
올리브영,스킨케어,자주,27
올리브영,스킨케어,사람,27
올리브영,스킨케어,증정,27
올리브영,스킨케어,품,27
올리브영,스킨케어,년,27
올리브영,스킨케어,무난,27
올리브영,스킨케어,트,26
올리브영,스킨케어,민감하다,26
올리브영,스킨케어,맘,26
올리브영,스킨케어,관리,26
올리브영,스킨케어,용감,26
올리브영,스킨케어,에스,25
올리브영,스킨케어,꼭,25
올리브영,스킨케어,살짝,25
올리브영,스킨케어,겨울철,25
올리브영,스킨케어,복합,25
올리브영,스킨케어,토너,25
올리브영,스킨케어,걸,25
올리브영,스킨케어,편하다,25
올리브영,스킨케어,비타민,25
올리브영,스킨케어,악,24
올리브영,스킨케어,속,24
올리브영,스킨케어,점,24
올리브영,스킨케어,부담,24
올리브영,스킨케어,메이크업,24
올리브영,스킨케어,저녁,24
올리브영,스킨케어,브랜드,24
올리브영,스킨케어,산뜻하다,23
올리브영,스킨케어,뭐,23
올리브영,스킨케어,쫀쫀,23
올리브영,스킨케어,거의,22
올리브영,스킨케어,완전,22
올리브영,스킨케어,아쉽다,22
올리브영,스킨케어,세트,22
올리브영,스킨케어,건,21
올리브영,스킨케어,캡슐,21
올리브영,스킨케어,막,21
올리브영,스킨케어,통,21
올리브영,스킨케어,마음,21
올리브영,스킨케어,금방,21
올리브영,스킨케어,의사,20
올리브영,스킨케어,그,20
올리브영,스킨케어,게,20
