날짜,그라운드플랜,셀인샷,쏘내추럴,에스네이처,연령대
2024-02-05,15.50387,0,34.10852,60.46511,10대
2024-02-12,8.52713,0,31.00775,86.8217,10대
2024-02-19,3.87596,0,17.82945,56.58914,10대
2024-02-26,12.4031,0,31.00775,100.0,10대
2024-03-04,6.20155,0,26.35658,52.71317,10대
2024-03-11,6.20155,0,12.4031,39.53488,10대
2024-03-18,6.20155,0,21.70542,40.31007,10대
2024-03-25,4.65116,0,17.82945,34.88372,10대
2024-04-01,4.65116,0,10.85271,25.58139,10대
2024-04-08,2.32558,0,30.23255,65.11627,10대
2024-04-15,0.77519,1.55038,21.70542,48.06201,10대
2024-04-22,3.87596,0,19.37984,44.18604,10대
2024-04-29,1.55038,0,43.41085,96.12403,10대
2024-05-06,10.85271,0,49.6124,81.39534,10대
2024-05-13,6.20155,0,27.90697,58.13953,10대
2024-05-20,3.10077,0,28.68217,68.21705,10대
2024-05-27,6.20155,0.77519,30.23255,83.72093,10대
2024-06-03,4.65116,0.77519,44.96124,76.74418,10대
2024-06-10,4.65116,17.82945,22.48062,48.8372,10대
2024-06-17,3.87596,13.17829,20.93023,66.66666,10대
2024-06-24,0.77519,7.75193,43.41085,65.11627,10대
2024-07-01,2.32558,6.97674,44.18604,48.8372,10대
2024-07-08,4.65116,2.32558,35.65891,51.93798,10대
2024-07-15,4.65116,6.97674,30.23255,66.66666,10대
2024-07-22,2.32558,1.55038,37.2093,79.84496,10대
2024-07-29,3.10077,1.55038,54.26356,75.96899,10대
2024-08-05,3.87596,4.65116,48.06201,63.56589,10대
2024-08-12,6.97674,3.10077,35.65891,58.91472,10대
2024-08-19,5.42635,6.20155,41.08527,49.6124,10대
2024-08-26,3.10077,56.58914,51.16279,72.86821,10대
2024-09-02,2.32558,41.08527,22.48062,83.72093,10대
2024-09-09,2.32558,16.27906,24.8062,72.86821,10대
2024-09-16,6.20155,8.52713,34.88372,73.64341,10대
2024-09-23,2.32558,38.75968,19.37984,79.84496,10대
2024-09-30,3.87596,29.45736,17.05426,64.34108,10대
2024-10-07,2.32558,46.51162,26.35658,45.73643,10대
2024-10-14,1.55038,26.35658,24.8062,53.48837,10대
2024-10-21,4.65116,24.031,19.37984,59.68992,10대
2024-10-28,5.42635,41.86046,21.70542,58.91472,10대
2024-11-04,7.75193,43.41085,14.72868,65.89147,10대
2024-11-11,0.77519,19.37984,24.031,53.48837,10대
2024-11-18,3.10077,25.58139,32.55813,51.93798,10대
2024-11-25,6.97674,34.10852,28.68217,66.66666,10대
2024-12-02,18.60465,37.2093,29.45736,82.94573,10대
2024-12-09,7.75193,36.4341,28.68217,62.79069,10대
2024-12-16,6.20155,20.15503,19.37984,45.73643,10대
2024-12-23,4.65116,19.37984,14.72868,41.08527,10대
2024-12-30,8.52713,27.90697,13.17829,57.36434,10대
2025-01-06,6.20155,41.08527,10.07751,58.91472,10대
2025-01-13,4.65116,25.58139,22.48062,85.27131,10대
2025-01-20,3.10077,35.65891,16.27906,66.66666,10대
2025-01-27,5.42635,24.031,21.70542,100.0,10대
2025-02-03,6.20155,31.00775,27.13178,95.34883,10대
2025-02-10,0.77519,33.33333,19.37984,93.79844,10대
2024-02-05,16.45885,0,19.28512,59.51787,20대
2024-02-12,14.71321,0,15.71072,79.30174,20대
2024-02-19,9.80881,0,12.0532,64.1729,20대
2024-02-26,16.54197,0,19.53449,82.37738,20대
2024-03-04,17.70573,0.24937,17.45635,85.12053,20대
2024-03-11,16.9576,0,25.68578,63.42477,20대
2024-03-18,12.46882,0,20.94763,60.09975,20대
2024-03-25,13.21695,0.16625,17.20698,59.51787,20대
2024-04-01,13.3832,0.49875,14.63009,61.67913,20대
2024-04-08,12.13632,0,18.78636,78.55361,20대
2024-04-15,9.72568,1.74563,18.37073,63.67414,20대
2024-04-22,8.97755,1.41313,13.79883,58.35411,20대
2024-04-29,8.39567,1.74563,26.84954,85.70241,20대
2024-05-06,12.13632,1.74563,17.78886,81.79551,20대
2024-05-13,11.72069,3.07564,20.1995,76.5586,20대
2024-05-20,9.1438,2.41064,18.28761,80.29925,20대
2024-05-27,10.47381,5.90191,18.62011,89.85868,20대
2024-06-03,10.55694,5.48628,26.01828,91.35494,20대
2024-06-10,12.3857,21.28013,26.84954,72.48545,20대
2024-06-17,10.39068,17.53948,17.04073,65.75228,20대
