날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,트리마이,12.962962962962964,스킨케어,마스크팩
총합,20대,트리마이,28.98550296296296,스킨케어,마스크팩
총합,30대,트리마이,39.907407407407405,스킨케어,마스크팩
총합,40대,트리마이,32.09876166666667,스킨케어,마스크팩
총합,50대,트리마이,17.695471666666666,스킨케어,마스크팩
총합,60대 이상,트리마이,11.111110185185183,스킨케어,마스크팩
2024-02-05,10대,트리마이,100.0,스킨케어,마스크팩
2024-02-12,10대,트리마이,0.0,스킨케어,마스크팩
2024-02-19,10대,트리마이,100.0,스킨케어,마스크팩
2024-02-26,10대,트리마이,0.0,스킨케어,마스크팩
2024-03-04,10대,트리마이,0.0,스킨케어,마스크팩
2024-03-11,10대,트리마이,0.0,스킨케어,마스크팩
2024-03-18,10대,트리마이,0.0,스킨케어,마스크팩
2024-03-25,10대,트리마이,0.0,스킨케어,마스크팩
2024-04-01,10대,트리마이,0.0,스킨케어,마스크팩
2024-04-08,10대,트리마이,0.0,스킨케어,마스크팩
2024-04-15,10대,트리마이,0.0,스킨케어,마스크팩
2024-04-22,10대,트리마이,0.0,스킨케어,마스크팩
2024-04-29,10대,트리마이,0.0,스킨케어,마스크팩
2024-05-06,10대,트리마이,0.0,스킨케어,마스크팩
2024-05-13,10대,트리마이,100.0,스킨케어,마스크팩
2024-05-20,10대,트리마이,0.0,스킨케어,마스크팩
2024-05-27,10대,트리마이,0.0,스킨케어,마스크팩
2024-06-03,10대,트리마이,0.0,스킨케어,마스크팩
2024-06-10,10대,트리마이,0.0,스킨케어,마스크팩
2024-06-17,10대,트리마이,100.0,스킨케어,마스크팩
2024-06-24,10대,트리마이,0.0,스킨케어,마스크팩
2024-07-01,10대,트리마이,0.0,스킨케어,마스크팩
2024-07-08,10대,트리마이,0.0,스킨케어,마스크팩
2024-07-15,10대,트리마이,0.0,스킨케어,마스크팩
2024-07-22,10대,트리마이,0.0,스킨케어,마스크팩
2024-07-29,10대,트리마이,0.0,스킨케어,마스크팩
2024-08-05,10대,트리마이,0.0,스킨케어,마스크팩
2024-08-12,10대,트리마이,0.0,스킨케어,마스크팩
2024-08-19,10대,트리마이,100.0,스킨케어,마스크팩
2024-08-26,10대,트리마이,100.0,스킨케어,마스크팩
2024-09-02,10대,트리마이,0.0,스킨케어,마스크팩
2024-09-09,10대,트리마이,0.0,스킨케어,마스크팩
2024-09-16,10대,트리마이,0.0,스킨케어,마스크팩
2024-09-23,10대,트리마이,0.0,스킨케어,마스크팩
2024-09-30,10대,트리마이,0.0,스킨케어,마스크팩
2024-10-07,10대,트리마이,0.0,스킨케어,마스크팩
2024-10-14,10대,트리마이,0.0,스킨케어,마스크팩
2024-10-21,10대,트리마이,0.0,스킨케어,마스크팩
2024-10-28,10대,트리마이,0.0,스킨케어,마스크팩
2024-11-04,10대,트리마이,0.0,스킨케어,마스크팩
2024-11-11,10대,트리마이,0.0,스킨케어,마스크팩
2024-11-18,10대,트리마이,0.0,스킨케어,마스크팩
2024-11-25,10대,트리마이,0.0,스킨케어,마스크팩
2024-12-02,10대,트리마이,0.0,스킨케어,마스크팩
2024-12-09,10대,트리마이,0.0,스킨케어,마스크팩
2024-12-16,10대,트리마이,0.0,스킨케어,마스크팩
2024-12-23,10대,트리마이,100.0,스킨케어,마스크팩
2024-12-30,10대,트리마이,0.0,스킨케어,마스크팩
2025-01-06,10대,트리마이,0.0,스킨케어,마스크팩
2025-01-13,10대,트리마이,0.0,스킨케어,마스크팩
2025-01-20,10대,트리마이,0.0,스킨케어,마스크팩
2025-01-27,10대,트리마이,0.0,스킨케어,마스크팩
2025-02-03,10대,트리마이,0.0,스킨케어,마스크팩
2025-02-10,10대,트리마이,0.0,스킨케어,마스크팩
2024-02-05,20대,트리마이,56.52173,스킨케어,마스크팩
2024-02-12,20대,트리마이,43.47826,스킨케어,마스크팩
2024-02-19,20대,트리마이,4.34782,스킨케어,마스크팩
2024-02-26,20대,트리마이,47.82608,스킨케어,마스크팩
2024-03-04,20대,트리마이,30.43478,스킨케어,마스크팩
2024-03-11,20대,트리마이,30.43478,스킨케어,마스크팩
2024-03-18,20대,트리마이,26.08695,스킨케어,마스크팩
2024-03-25,20대,트리마이,65.21739,스킨케어,마스크팩
2024-04-01,20대,트리마이,0.0,스킨케어,마스크팩
2024-04-08,20대,트리마이,17.3913,스킨케어,마스크팩
2024-04-15,20대,트리마이,13.04347,스킨케어,마스크팩
2024-04-22,20대,트리마이,17.3913,스킨케어,마스크팩
2024-04-29,20대,트리마이,8.69565,스킨케어,마스크팩
2024-05-06,20대,트리마이,26.08695,스킨케어,마스크팩
2024-05-13,20대,트리마이,43.47826,스킨케어,마스크팩
2024-05-20,20대,트리마이,17.3913,스킨케어,마스크팩
2024-05-27,20대,트리마이,21.73913,스킨케어,마스크팩
2024-06-03,20대,트리마이,0.0,스킨케어,마스크팩
2024-06-10,20대,트리마이,0.0,스킨케어,마스크팩
2024-06-17,20대,트리마이,8.69565,스킨케어,마스크팩
2024-06-24,20대,트리마이,13.04347,스킨케어,마스크팩
2024-07-01,20대,트리마이,13.04347,스킨케어,마스크팩
2024-07-08,20대,트리마이,34.7826,스킨케어,마스크팩
2024-07-15,20대,트리마이,34.7826,스킨케어,마스크팩
2024-07-22,20대,트리마이,95.65217,스킨케어,마스크팩
2024-07-29,20대,트리마이,8.69565,스킨케어,마스크팩
2024-08-05,20대,트리마이,13.04347,스킨케어,마스크팩
2024-08-12,20대,트리마이,4.34782,스킨케어,마스크팩
2024-08-19,20대,트리마이,39.13043,스킨케어,마스크팩
2024-08-26,20대,트리마이,8.69565,스킨케어,마스크팩
2024-09-02,20대,트리마이,39.13043,스킨케어,마스크팩
2024-09-09,20대,트리마이,21.73913,스킨케어,마스크팩
2024-09-16,20대,트리마이,26.08695,스킨케어,마스크팩
2024-09-23,20대,트리마이,52.17391,스킨케어,마스크팩
2024-09-30,20대,트리마이,65.21739,스킨케어,마스크팩
2024-10-07,20대,트리마이,56.52173,스킨케어,마스크팩
2024-10-14,20대,트리마이,0.0,스킨케어,마스크팩
2024-10-21,20대,트리마이,4.34782,스킨케어,마스크팩
2024-10-28,20대,트리마이,100.0,스킨케어,마스크팩
2024-11-04,20대,트리마이,13.04347,스킨케어,마스크팩
2024-11-11,20대,트리마이,17.3913,스킨케어,마스크팩
2024-11-18,20대,트리마이,56.52173,스킨케어,마스크팩
2024-11-25,20대,트리마이,60.86956,스킨케어,마스크팩
2024-12-02,20대,트리마이,17.3913,스킨케어,마스크팩
2024-12-09,20대,트리마이,30.43478,스킨케어,마스크팩
2024-12-16,20대,트리마이,13.04347,스킨케어,마스크팩
2024-12-23,20대,트리마이,17.3913,스킨케어,마스크팩
2024-12-30,20대,트리마이,30.43478,스킨케어,마스크팩
2025-01-06,20대,트리마이,47.82608,스킨케어,마스크팩
2025-01-13,20대,트리마이,60.86956,스킨케어,마스크팩
2025-01-20,20대,트리마이,52.17391,스킨케어,마스크팩
2025-01-27,20대,트리마이,21.73913,스킨케어,마스크팩
2025-02-03,20대,트리마이,0.0,스킨케어,마스크팩
2025-02-10,20대,트리마이,17.3913,스킨케어,마스크팩
2024-02-05,30대,트리마이,40.0,스킨케어,마스크팩
2024-02-12,30대,트리마이,70.0,스킨케어,마스크팩
2024-02-19,30대,트리마이,85.0,스킨케어,마스크팩
2024-02-26,30대,트리마이,65.0,스킨케어,마스크팩
2024-03-04,30대,트리마이,30.0,스킨케어,마스크팩
2024-03-11,30대,트리마이,70.0,스킨케어,마스크팩
2024-03-18,30대,트리마이,30.0,스킨케어,마스크팩
2024-03-25,30대,트리마이,15.0,스킨케어,마스크팩
2024-04-01,30대,트리마이,20.0,스킨케어,마스크팩
2024-04-08,30대,트리마이,40.0,스킨케어,마스크팩
2024-04-15,30대,트리마이,40.0,스킨케어,마스크팩
2024-04-22,30대,트리마이,45.0,스킨케어,마스크팩
2024-04-29,30대,트리마이,15.0,스킨케어,마스크팩
2024-05-06,30대,트리마이,60.0,스킨케어,마스크팩
2024-05-13,30대,트리마이,80.0,스킨케어,마스크팩
2024-05-20,30대,트리마이,50.0,스킨케어,마스크팩
2024-05-27,30대,트리마이,15.0,스킨케어,마스크팩
2024-06-03,30대,트리마이,10.0,스킨케어,마스크팩
2024-06-10,30대,트리마이,0.0,스킨케어,마스크팩
2024-06-17,30대,트리마이,50.0,스킨케어,마스크팩
2024-06-24,30대,트리마이,20.0,스킨케어,마스크팩
2024-07-01,30대,트리마이,10.0,스킨케어,마스크팩
2024-07-08,30대,트리마이,20.0,스킨케어,마스크팩
