날짜,셀퓨전씨,에스네이처,오브제,정샘물뷰티,지베르니,연령대
2024-02-05,2.84644,1.16853,0.05992,7.62546,6.397,10대
2024-02-12,2.95131,1.6779,0,11.95505,6.98127,10대
2024-02-19,5.15355,1.09363,0,9.28838,7.31086,10대
2024-02-26,6.51685,1.93258,0.02996,10.30711,13.01872,10대
2024-03-04,3.55056,1.01872,0.02996,7.98501,5.58801,10대
2024-03-11,1.82771,0.76404,0.01498,8.32958,4.794,10대
2024-03-18,1.87265,0.77902,0,8.56928,6.00749,10대
2024-03-25,2.00749,0.67415,0,8.97378,21.79775,10대
2024-04-01,1.82771,0.49438,0,11.05617,13.46816,10대
2024-04-08,2.29213,1.25842,0.02996,10.08239,6.42696,10대
2024-04-15,3.5955,0.92883,0,10.6367,6.42696,10대
2024-04-22,2.71161,0.85393,0,6.66666,4.58426,10대
2024-04-29,3.88014,1.85767,0,5.94756,5.37827,10대
2024-05-06,2.93632,1.57303,0,6.93632,6.98127,10대
2024-05-13,2.47191,1.12359,0,7.70037,5.85767,10대
2024-05-20,2.8764,1.31835,0,7.50561,5.78277,10대
2024-05-27,4.0,1.61797,0.01498,7.79026,6.89138,10대
2024-06-03,3.61048,1.48314,0,6.93632,6.33707,10대
2024-06-10,2.33707,0.94382,0,5.1985,10.96629,10대
2024-06-17,1.9176,1.28838,0,4.70411,5.54307,10대
2024-06-24,2.32209,1.25842,0.01498,4.28464,3.88014,10대
2024-07-01,2.38202,0.94382,0,3.98501,4.19475,10대
2024-07-08,2.95131,1.00374,0,5.61797,4.10486,10대
2024-07-15,2.09737,1.28838,0.02996,4.70411,4.2397,10대
2024-07-22,2.47191,1.54307,0,4.43445,4.37453,10대
2024-07-29,2.45692,1.46816,0,4.17977,4.52434,10대
2024-08-05,2.72659,1.22846,0,5.10861,5.07865,10대
2024-08-12,2.06741,1.13857,0,5.69288,7.3558,10대
2024-08-19,1.52808,0.9588,0,5.97752,100.0,10대
2024-08-26,2.11235,1.40823,0,8.52434,20.85393,10대
