날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,셀퓨전씨,2.2976783333333333,베이스메이크업,베이스메이크업
총합,10대,에스네이처,1.2481564814814816,베이스메이크업,베이스메이크업
총합,10대,오브제,0.008044814814814815,베이스메이크업,베이스메이크업
총합,10대,정샘물뷰티,7.604377777777778,베이스메이크업,베이스메이크업
총합,10대,지베르니,8.549585370370371,베이스메이크업,베이스메이크업
총합,20대,셀퓨전씨,39.11804425925926,베이스메이크업,베이스메이크업
총합,20대,에스네이처,20.803364074074075,베이스메이크업,베이스메이크업
총합,20대,오브제,0.08650888888888889,베이스메이크업,베이스메이크업
총합,20대,정샘물뷰티,45.01755111111111,베이스메이크업,베이스메이크업
총합,20대,지베르니,29.630046666666665,베이스메이크업,베이스메이크업
총합,30대,셀퓨전씨,49.30244592592593,베이스메이크업,베이스메이크업
총합,30대,에스네이처,18.603549814814816,베이스메이크업,베이스메이크업
총합,30대,오브제,0.08461074074074074,베이스메이크업,베이스메이크업
총합,30대,정샘물뷰티,62.17574333333333,베이스메이크업,베이스메이크업
총합,30대,지베르니,22.113186666666667,베이스메이크업,베이스메이크업
총합,40대,셀퓨전씨,37.504047407407406,베이스메이크업,베이스메이크업
총합,40대,에스네이처,10.361515555555556,베이스메이크업,베이스메이크업
총합,40대,오브제,0.05432018518518519,베이스메이크업,베이스메이크업
총합,40대,정샘물뷰티,48.22043037037037,베이스메이크업,베이스메이크업
총합,40대,지베르니,15.336587962962962,베이스메이크업,베이스메이크업
총합,50대,셀퓨전씨,26.411414074074074,베이스메이크업,베이스메이크업
총합,50대,에스네이처,7.371547407407407,베이스메이크업,베이스메이크업
총합,50대,오브제,0.06783,베이스메이크업,베이스메이크업
총합,50대,정샘물뷰티,45.38344796296296,베이스메이크업,베이스메이크업
총합,50대,지베르니,17.644432407407407,베이스메이크업,베이스메이크업
총합,60대 이상,셀퓨전씨,22.51851777777778,베이스메이크업,베이스메이크업
총합,60대 이상,에스네이처,6.949073888888889,베이스메이크업,베이스메이크업
총합,60대 이상,오브제,0.05555555555555555,베이스메이크업,베이스메이크업
총합,60대 이상,정샘물뷰티,46.43518481481482,베이스메이크업,베이스메이크업
총합,60대 이상,지베르니,31.94907388888889,베이스메이크업,베이스메이크업
2024-02-05,10대,셀퓨전씨,2.84644,베이스메이크업,베이스메이크업
2024-02-12,10대,셀퓨전씨,2.95131,베이스메이크업,베이스메이크업
2024-02-19,10대,셀퓨전씨,5.15355,베이스메이크업,베이스메이크업
2024-02-26,10대,셀퓨전씨,6.51685,베이스메이크업,베이스메이크업
2024-03-04,10대,셀퓨전씨,3.55056,베이스메이크업,베이스메이크업
2024-03-11,10대,셀퓨전씨,1.82771,베이스메이크업,베이스메이크업
2024-03-18,10대,셀퓨전씨,1.87265,베이스메이크업,베이스메이크업
2024-03-25,10대,셀퓨전씨,2.00749,베이스메이크업,베이스메이크업
2024-04-01,10대,셀퓨전씨,1.82771,베이스메이크업,베이스메이크업
2024-04-08,10대,셀퓨전씨,2.29213,베이스메이크업,베이스메이크업
2024-04-15,10대,셀퓨전씨,3.5955,베이스메이크업,베이스메이크업
2024-04-22,10대,셀퓨전씨,2.71161,베이스메이크업,베이스메이크업
2024-04-29,10대,셀퓨전씨,3.88014,베이스메이크업,베이스메이크업
2024-05-06,10대,셀퓨전씨,2.93632,베이스메이크업,베이스메이크업
2024-05-13,10대,셀퓨전씨,2.47191,베이스메이크업,베이스메이크업
2024-05-20,10대,셀퓨전씨,2.8764,베이스메이크업,베이스메이크업
2024-05-27,10대,셀퓨전씨,4.0,베이스메이크업,베이스메이크업
2024-06-03,10대,셀퓨전씨,3.61048,베이스메이크업,베이스메이크업
2024-06-10,10대,셀퓨전씨,2.33707,베이스메이크업,베이스메이크업
2024-06-17,10대,셀퓨전씨,1.9176,베이스메이크업,베이스메이크업
2024-06-24,10대,셀퓨전씨,2.32209,베이스메이크업,베이스메이크업
2024-07-01,10대,셀퓨전씨,2.38202,베이스메이크업,베이스메이크업
2024-07-08,10대,셀퓨전씨,2.95131,베이스메이크업,베이스메이크업
2024-07-15,10대,셀퓨전씨,2.09737,베이스메이크업,베이스메이크업
2024-07-22,10대,셀퓨전씨,2.47191,베이스메이크업,베이스메이크업
2024-07-29,10대,셀퓨전씨,2.45692,베이스메이크업,베이스메이크업
2024-08-05,10대,셀퓨전씨,2.72659,베이스메이크업,베이스메이크업
2024-08-12,10대,셀퓨전씨,2.06741,베이스메이크업,베이스메이크업
2024-08-19,10대,셀퓨전씨,1.52808,베이스메이크업,베이스메이크업
2024-08-26,10대,셀퓨전씨,2.11235,베이스메이크업,베이스메이크업
2024-09-02,10대,셀퓨전씨,1.82771,베이스메이크업,베이스메이크업
2024-09-09,10대,셀퓨전씨,1.58801,베이스메이크업,베이스메이크업
2024-09-16,10대,셀퓨전씨,1.84269,베이스메이크업,베이스메이크업
2024-09-23,10대,셀퓨전씨,1.18352,베이스메이크업,베이스메이크업
2024-09-30,10대,셀퓨전씨,1.49812,베이스메이크업,베이스메이크업
2024-10-07,10대,셀퓨전씨,1.7528,베이스메이크업,베이스메이크업
2024-10-14,10대,셀퓨전씨,1.46816,베이스메이크업,베이스메이크업
2024-10-21,10대,셀퓨전씨,1.25842,베이스메이크업,베이스메이크업
2024-10-28,10대,셀퓨전씨,1.5131,베이스메이크업,베이스메이크업
2024-11-04,10대,셀퓨전씨,1.54307,베이스메이크업,베이스메이크업
2024-11-11,10대,셀퓨전씨,1.10861,베이스메이크업,베이스메이크업
2024-11-18,10대,셀퓨전씨,1.33333,베이스메이크업,베이스메이크업
2024-11-25,10대,셀퓨전씨,1.36329,베이스메이크업,베이스메이크업
2024-12-02,10대,셀퓨전씨,1.93258,베이스메이크업,베이스메이크업
2024-12-09,10대,셀퓨전씨,1.40823,베이스메이크업,베이스메이크업
2024-12-16,10대,셀퓨전씨,1.0337,베이스메이크업,베이스메이크업
2024-12-23,10대,셀퓨전씨,1.0337,베이스메이크업,베이스메이크업
2024-12-30,10대,셀퓨전씨,1.30337,베이스메이크업,베이스메이크업
2025-01-06,10대,셀퓨전씨,1.81273,베이스메이크업,베이스메이크업
2025-01-13,10대,셀퓨전씨,2.86142,베이스메이크업,베이스메이크업
2025-01-20,10대,셀퓨전씨,2.2322,베이스메이크업,베이스메이크업
2025-01-27,10대,셀퓨전씨,2.2322,베이스메이크업,베이스메이크업
2025-02-03,10대,셀퓨전씨,2.17228,베이스메이크업,베이스메이크업
2025-02-10,10대,셀퓨전씨,2.47191,베이스메이크업,베이스메이크업
2024-02-05,20대,셀퓨전씨,41.13491,베이스메이크업,베이스메이크업
2024-02-12,20대,셀퓨전씨,48.35916,베이스메이크업,베이스메이크업
2024-02-19,20대,셀퓨전씨,53.62351,베이스메이크업,베이스메이크업
2024-02-26,20대,셀퓨전씨,55.56061,베이스메이크업,베이스메이크업
2024-03-04,20대,셀퓨전씨,54.76298,베이스메이크업,베이스메이크업
2024-03-11,20대,셀퓨전씨,39.67639,베이스메이크업,베이스메이크업
2024-03-18,20대,셀퓨전씨,40.31449,베이스메이크업,베이스메이크업
2024-03-25,20대,셀퓨전씨,35.61987,베이스메이크업,베이스메이크업
2024-04-01,20대,셀퓨전씨,37.10118,베이스메이크업,베이스메이크업
2024-04-08,20대,셀퓨전씨,41.81859,베이스메이크업,베이스메이크업
2024-04-15,20대,셀퓨전씨,52.30173,베이스메이크업,베이스메이크업
2024-04-22,20대,셀퓨전씨,43.25432,베이스메이크업,베이스메이크업
2024-04-29,20대,셀퓨전씨,56.47219,베이스메이크업,베이스메이크업
2024-05-06,20대,셀퓨전씨,47.1969,베이스메이크업,베이스메이크업
2024-05-13,20대,셀퓨전씨,42.77575,베이스메이크업,베이스메이크업
2024-05-20,20대,셀퓨전씨,50.45578,베이스메이크업,베이스메이크업
2024-05-27,20대,셀퓨전씨,60.36918,베이스메이크업,베이스메이크업
2024-06-03,20대,셀퓨전씨,63.14949,베이스메이크업,베이스메이크업
2024-06-10,20대,셀퓨전씨,48.88331,베이스메이크업,베이스메이크업
2024-06-17,20대,셀퓨전씨,43.55059,베이스메이크업,베이스메이크업
2024-06-24,20대,셀퓨전씨,45.92069,베이스메이크업,베이스메이크업
2024-07-01,20대,셀퓨전씨,53.4412,베이스메이크업,베이스메이크업
2024-07-08,20대,셀퓨전씨,53.30446,베이스메이크업,베이스메이크업
2024-07-15,20대,셀퓨전씨,48.33637,베이스메이크업,베이스메이크업
2024-07-22,20대,셀퓨전씨,50.2051,베이스메이크업,베이스메이크업
2024-07-29,20대,셀퓨전씨,42.09206,베이스메이크업,베이스메이크업
2024-08-05,20대,셀퓨전씨,39.60802,베이스메이크업,베이스메이크업
2024-08-12,20대,셀퓨전씨,37.83044,베이스메이크업,베이스메이크업
2024-08-19,20대,셀퓨전씨,34.73108,베이스메이크업,베이스메이크업
2024-08-26,20대,셀퓨전씨,41.06654,베이스메이크업,베이스메이크업
2024-09-02,20대,셀퓨전씨,36.80492,베이스메이크업,베이스메이크업
