날짜,닥터아토,바론시에,셀퓨전씨,에스네이처,연령대
2024-02-05,1.60919,0,43.67816,17.93103,10대
2024-02-12,1.83908,0,45.28735,25.74712,10대
2024-02-19,1.60919,0.22988,79.08045,16.7816,10대
2024-02-26,1.60919,0,100.0,29.65517,10대
2024-03-04,0.68965,0,54.48275,15.63218,10대
2024-03-11,0.68965,0,28.04597,11.72413,10대
2024-03-18,0.68965,0,28.73563,11.95402,10대
2024-03-25,2.52873,0,30.80459,10.34482,10대
2024-04-01,0.45977,0.68965,28.04597,7.5862,10대
2024-04-08,2.06896,0.22988,35.17241,19.31034,10대
2024-04-15,0.68965,0.91954,55.17241,14.25287,10대
2024-04-22,1.14942,0.68965,41.60919,13.10344,10대
2024-04-29,1.37931,0.22988,59.54022,28.50574,10대
2024-05-06,2.06896,0.45977,45.05747,24.13793,10대
2024-05-13,2.29885,0,37.93103,17.24137,10대
2024-05-20,2.06896,0.45977,44.13793,20.22988,10대
2024-05-27,1.14942,0,61.37931,24.82758,10대
2024-06-03,0.68965,0.68965,55.40229,22.75862,10대
2024-06-10,2.9885,0,35.86206,14.48275,10대
2024-06-17,1.37931,0,29.42528,19.77011,10대
2024-06-24,0.68965,0,35.63218,19.31034,10대
2024-07-01,1.37931,0,36.55172,14.48275,10대
2024-07-08,1.14942,0,45.28735,15.40229,10대
2024-07-15,1.37931,0.22988,32.1839,19.77011,10대
2024-07-22,1.60919,0,37.93103,23.67816,10대
2024-07-29,1.83908,0,37.70114,22.52873,10대
2024-08-05,1.83908,0.22988,41.83908,18.85057,10대
2024-08-12,4.36781,0.22988,31.72413,17.47126,10대
2024-08-19,0.45977,0,23.44827,14.71264,10대
2024-08-26,1.60919,0,32.41379,21.60919,10대
2024-09-02,0.22988,0,28.04597,24.82758,10대
2024-09-09,0.91954,0,24.36781,21.60919,10대
2024-09-16,0.45977,0,28.27586,21.83908,10대
2024-09-23,0.22988,0.22988,18.16091,23.67816,10대
2024-09-30,0.68965,0.22988,22.9885,19.08045,10대
2024-10-07,1.37931,0,26.89655,13.56321,10대
2024-10-14,0.91954,0.22988,22.52873,15.86206,10대
2024-10-21,1.14942,0,19.31034,17.70114,10대
2024-10-28,0.68965,0,23.21839,17.47126,10대
2024-11-04,0.45977,0,23.67816,19.54022,10대
2024-11-11,2.29885,0.91954,17.01149,15.86206,10대
2024-11-18,0.91954,0.22988,20.45977,15.40229,10대
2024-11-25,1.14942,0,20.91954,19.77011,10대
2024-12-02,0.91954,0,29.65517,24.5977,10대
2024-12-09,0.22988,0,21.60919,18.62068,10대
2024-12-16,0.45977,0,15.86206,13.56321,10대
2024-12-23,0.68965,0.22988,15.86206,12.1839,10대
2024-12-30,0.68965,0.22988,20.0,17.01149,10대
2025-01-06,0.22988,0.22988,27.81609,17.47126,10대
2025-01-13,1.37931,0.68965,43.90804,25.28735,10대
2025-01-20,0.45977,0,34.25287,19.77011,10대
2025-01-27,1.37931,0.22988,34.25287,29.65517,10대
2025-02-03,1.37931,0.68965,33.33333,28.27586,10대
2025-02-10,0.91954,0.45977,37.93103,27.81609,10대
2024-02-05,1.8044,0.18044,65.13893,25.83904,20대
2024-02-12,3.3201,0.21652,76.57885,34.428,20대
2024-02-19,2.7066,0.10826,84.91519,27.85997,20대
2024-02-26,2.74269,0.03608,87.98267,35.76326,20대
2024-03-04,3.10357,0.10826,86.71959,36.95416,20대
2024-03-11,2.63442,0.07217,62.8293,27.53518,20대
2024-03-18,3.86142,0.10826,63.83976,26.09166,20대
2024-03-25,2.88704,0.46914,56.40562,25.83904,20대
2024-04-01,2.12919,1.66005,58.75135,26.77733,20대
2024-04-08,3.10357,0.83002,66.22158,34.10321,20대
2024-04-15,3.50054,0.50523,82.82208,27.64345,20대
2024-04-22,2.49007,0.46914,68.49512,25.33381,20대
2024-04-29,3.68098,1.01046,89.42619,37.20678,20대
2024-05-06,4.47491,0.54132,74.73836,35.51064,20대
2024-05-13,3.82533,0.83002,67.73727,33.23709,20대
2024-05-20,4.36665,0.5774,79.89895,34.86106,20대
2024-05-27,4.65535,0.72176,95.59725,39.01118,20대
2024-06-03,3.82533,0.54132,100.0,39.66077,20대
2024-06-10,3.46445,1.08264,77.40887,31.46878,20대
2024-06-17,5.08841,0.93828,68.96427,28.54565,20대
2024-06-24,3.75315,0.46914,72.71743,31.57704,20대
2024-07-01,3.46445,0.32479,84.62648,29.12306,20대
2024-07-08,2.41789,0.50523,84.40996,29.26741,20대
2024-07-15,3.46445,1.08264,76.54276,32.58751,20대
2024-07-22,4.11403,0.46914,79.50198,36.48502,20대
2024-07-29,4.43883,1.47961,66.65463,36.26849,20대
2024-08-05,3.68098,0.25261,62.72103,32.98448,20대
2024-08-12,3.21183,0.46914,59.90617,29.3035,20대
2024-08-19,3.39227,0.64958,54.99819,26.8856,20대
2024-08-26,3.96968,0.93828,65.03067,38.18116,20대
