날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,에스네이처,40.641367592592594,스킨케어,스킨케어
총합,10대,일리윤,55.74525277777778,스킨케어,스킨케어
총합,10대,퓨리피아,2.475152037037037,스킨케어,스킨케어
총합,20대,에스네이처,48.070129259259254,스킨케어,스킨케어
총합,20대,일리윤,64.75532462962963,스킨케어,스킨케어
총합,20대,퓨리피아,1.7845598148148147,스킨케어,스킨케어
총합,30대,에스네이처,23.44900296296296,스킨케어,스킨케어
총합,30대,일리윤,66.99299148148148,스킨케어,스킨케어
총합,30대,퓨리피아,1.254372222222222,스킨케어,스킨케어
총합,40대,에스네이처,18.464644074074073,스킨케어,스킨케어
총합,40대,일리윤,63.372833148148146,스킨케어,스킨케어
총합,40대,퓨리피아,1.129686851851852,스킨케어,스킨케어
총합,50대,에스네이처,17.054519074074076,스킨케어,스킨케어
총합,50대,일리윤,54.001878148148144,스킨케어,스킨케어
총합,50대,퓨리피아,0.8384851851851851,스킨케어,스킨케어
총합,60대 이상,에스네이처,12.464702037037037,스킨케어,스킨케어
총합,60대 이상,일리윤,56.469019814814814,스킨케어,스킨케어
총합,60대 이상,퓨리피아,1.1875090740740741,스킨케어,스킨케어
2024-02-05,10대,에스네이처,38.04878,스킨케어,스킨케어
2024-02-12,10대,에스네이처,54.63414,스킨케어,스킨케어
2024-02-19,10대,에스네이처,35.60975,스킨케어,스킨케어
2024-02-26,10대,에스네이처,62.92682,스킨케어,스킨케어
2024-03-04,10대,에스네이처,33.17073,스킨케어,스킨케어
2024-03-11,10대,에스네이처,24.87804,스킨케어,스킨케어
2024-03-18,10대,에스네이처,25.36585,스킨케어,스킨케어
2024-03-25,10대,에스네이처,21.95121,스킨케어,스킨케어
2024-04-01,10대,에스네이처,16.09756,스킨케어,스킨케어
2024-04-08,10대,에스네이처,40.9756,스킨케어,스킨케어
2024-04-15,10대,에스네이처,30.2439,스킨케어,스킨케어
2024-04-22,10대,에스네이처,27.80487,스킨케어,스킨케어
2024-04-29,10대,에스네이처,60.4878,스킨케어,스킨케어
2024-05-06,10대,에스네이처,51.21951,스킨케어,스킨케어
2024-05-13,10대,에스네이처,36.58536,스킨케어,스킨케어
2024-05-20,10대,에스네이처,42.92682,스킨케어,스킨케어
2024-05-27,10대,에스네이처,52.68292,스킨케어,스킨케어
2024-06-03,10대,에스네이처,48.29268,스킨케어,스킨케어
2024-06-10,10대,에스네이처,30.7317,스킨케어,스킨케어
2024-06-17,10대,에스네이처,41.95121,스킨케어,스킨케어
