날짜,투크,연령대
2024-02-05,56.76567,10대
2024-02-12,65.0165,10대
2024-02-19,57.64576,10대
2024-02-26,59.95599,10대
2024-03-04,47.19471,10대
2024-03-11,24.20242,10대
2024-03-18,25.85258,10대
2024-03-25,23.76237,10대
2024-04-01,29.0429,10대
2024-04-08,27.28272,10대
2024-04-15,32.12321,10대
2024-04-22,35.75357,10대
2024-04-29,34.98349,10대
2024-05-06,51.81518,10대
2024-05-13,41.25412,10대
2024-05-20,36.41364,10대
2024-05-27,53.0253,10대
2024-06-03,41.36413,10대
2024-06-10,31.90319,10대
2024-06-17,29.15291,10대
2024-06-24,38.17381,10대
2024-07-01,30.033,10대
2024-07-08,23.21232,10대
2024-07-15,47.30473,10대
2024-07-22,41.58415,10대
2024-07-29,76.12761,10대
2024-08-05,48.84488,10대
2024-08-12,54.34543,10대
2024-08-19,29.92299,10대
2024-08-26,42.79427,10대
2024-09-02,35.20352,10대
2024-09-09,28.0528,10대
2024-09-16,100.0,10대
2024-09-23,49.72497,10대
2024-09-30,42.79427,10대
2024-10-07,37.84378,10대
2024-10-14,32.89328,10대
2024-10-21,30.69306,10대
2024-10-28,29.70297,10대
2024-11-04,32.12321,10대
2024-11-11,26.51265,10대
2024-11-18,21.78217,10대
2024-11-25,32.45324,10대
2024-12-02,45.54455,10대
2024-12-09,31.90319,10대
2024-12-16,54.34543,10대
2024-12-23,49.39493,10대
2024-12-30,30.91309,10대
2025-01-06,30.58305,10대
2025-01-13,47.52475,10대
2025-01-20,37.18371,10대
2025-01-27,40.044,10대
2025-02-03,36.41364,10대
2025-02-10,25.74257,10대
2024-02-05,53.15638,20대
2024-02-12,77.45098,20대
2024-02-19,79.43567,20대
2024-02-26,81.13342,20대
2024-03-04,85.55714,20대
2024-03-11,41.67862,20대
2024-03-18,39.14395,20대
2024-03-25,35.6767,20대
2024-04-01,39.47871,20대
2024-04-08,39.38307,20대
2024-04-15,38.57006,20대
2024-04-22,41.94165,20대
2024-04-29,37.01578,20대
2024-05-06,74.65327,20대
2024-05-13,69.67957,20대
2024-05-20,63.86896,20대
2024-05-27,63.43854,20대
2024-06-03,50.23912,20대
2024-06-10,45.36107,20대
2024-06-17,32.18555,20대
2024-06-24,34.21807,20대
2024-07-01,30.20086,20대
2024-07-08,29.6987,20대
2024-07-15,60.85604,20대
2024-07-22,42.22859,20대
2024-07-29,69.91869,20대
2024-08-05,50.93256,20대
2024-08-12,54.92587,20대
2024-08-19,41.27211,20대
2024-08-26,60.35389,20대
2024-09-02,62.81683,20대
2024-09-09,36.01147,20대
2024-09-16,100.0,20대
2024-09-23,63.24725,20대
2024-09-30,52.0086,20대
2024-10-07,32.92682,20대
2024-10-14,36.08321,20대
2024-10-21,34.8637,20대
2024-10-28,31.92252,20대
2024-11-04,31.03778,20대
2024-11-11,28.5031,20대
2024-11-18,25.58584,20대
2024-11-25,38.97656,20대
2024-12-02,41.41559,20대
2024-12-09,38.06791,20대
2024-12-16,85.74844,20대
2024-12-23,56.40841,20대
2024-12-30,34.76805,20대
2025-01-06,39.52654,20대
2025-01-13,43.95026,20대
2025-01-20,33.50071,20대
2025-01-27,36.96795,20대
2025-02-03,43.20899,20대
2025-02-10,29.77044,20대
2024-02-05,42.757,30대
2024-02-12,64.6028,30대
2024-02-19,64.91433,30대
2024-02-26,69.43146,30대
2024-03-04,54.78971,30대
2024-03-11,38.04517,30대
2024-03-18,37.81152,30대
2024-03-25,35.94236,30대
2024-04-01,40.77102,30대
2024-04-08,40.57632,30대
2024-04-15,39.75856,30대
2024-04-22,37.26635,30대
2024-04-29,31.93146,30대
2024-05-06,66.90031,30대
2024-05-13,53.38785,30대
2024-05-20,49.88317,30대
2024-05-27,43.96417,30대
2024-06-03,39.36915,30대
2024-06-10,42.5623,30대
2024-06-17,27.53115,30대
