날짜,연령대,브랜드,관심도,대분류,중분류1
총합,10대,투크,40.11530333333334,색조메이크업,아이메이크업
총합,20대,투크,48.536491851851856,색조메이크업,아이메이크업
총합,30대,투크,44.41271018518518,색조메이크업,아이메이크업
총합,40대,투크,39.351253888888884,색조메이크업,아이메이크업
총합,50대,투크,50.621688703703704,색조메이크업,아이메이크업
총합,60대 이상,투크,41.00064481481481,색조메이크업,아이메이크업
2024-02-05,10대,투크,56.76567,색조메이크업,아이메이크업
2024-02-12,10대,투크,65.0165,색조메이크업,아이메이크업
2024-02-19,10대,투크,57.64576,색조메이크업,아이메이크업
2024-02-26,10대,투크,59.95599,색조메이크업,아이메이크업
2024-03-04,10대,투크,47.19471,색조메이크업,아이메이크업
2024-03-11,10대,투크,24.20242,색조메이크업,아이메이크업
2024-03-18,10대,투크,25.85258,색조메이크업,아이메이크업
2024-03-25,10대,투크,23.76237,색조메이크업,아이메이크업
2024-04-01,10대,투크,29.0429,색조메이크업,아이메이크업
2024-04-08,10대,투크,27.28272,색조메이크업,아이메이크업
2024-04-15,10대,투크,32.12321,색조메이크업,아이메이크업
2024-04-22,10대,투크,35.75357,색조메이크업,아이메이크업
2024-04-29,10대,투크,34.98349,색조메이크업,아이메이크업
2024-05-06,10대,투크,51.81518,색조메이크업,아이메이크업
2024-05-13,10대,투크,41.25412,색조메이크업,아이메이크업
2024-05-20,10대,투크,36.41364,색조메이크업,아이메이크업
2024-05-27,10대,투크,53.0253,색조메이크업,아이메이크업
2024-06-03,10대,투크,41.36413,색조메이크업,아이메이크업
2024-06-10,10대,투크,31.90319,색조메이크업,아이메이크업
2024-06-17,10대,투크,29.15291,색조메이크업,아이메이크업
2024-06-24,10대,투크,38.17381,색조메이크업,아이메이크업
2024-07-01,10대,투크,30.033,색조메이크업,아이메이크업
2024-07-08,10대,투크,23.21232,색조메이크업,아이메이크업
2024-07-15,10대,투크,47.30473,색조메이크업,아이메이크업
2024-07-22,10대,투크,41.58415,색조메이크업,아이메이크업
2024-07-29,10대,투크,76.12761,색조메이크업,아이메이크업
2024-08-05,10대,투크,48.84488,색조메이크업,아이메이크업
2024-08-12,10대,투크,54.34543,색조메이크업,아이메이크업
2024-08-19,10대,투크,29.92299,색조메이크업,아이메이크업
2024-08-26,10대,투크,42.79427,색조메이크업,아이메이크업
2024-09-02,10대,투크,35.20352,색조메이크업,아이메이크업
2024-09-09,10대,투크,28.0528,색조메이크업,아이메이크업
2024-09-16,10대,투크,100.0,색조메이크업,아이메이크업
2024-09-23,10대,투크,49.72497,색조메이크업,아이메이크업
2024-09-30,10대,투크,42.79427,색조메이크업,아이메이크업
2024-10-07,10대,투크,37.84378,색조메이크업,아이메이크업
2024-10-14,10대,투크,32.89328,색조메이크업,아이메이크업
2024-10-21,10대,투크,30.69306,색조메이크업,아이메이크업
2024-10-28,10대,투크,29.70297,색조메이크업,아이메이크업
2024-11-04,10대,투크,32.12321,색조메이크업,아이메이크업
2024-11-11,10대,투크,26.51265,색조메이크업,아이메이크업
2024-11-18,10대,투크,21.78217,색조메이크업,아이메이크업
2024-11-25,10대,투크,32.45324,색조메이크업,아이메이크업
2024-12-02,10대,투크,45.54455,색조메이크업,아이메이크업
2024-12-09,10대,투크,31.90319,색조메이크업,아이메이크업
2024-12-16,10대,투크,54.34543,색조메이크업,아이메이크업
2024-12-23,10대,투크,49.39493,색조메이크업,아이메이크업
2024-12-30,10대,투크,30.91309,색조메이크업,아이메이크업
2025-01-06,10대,투크,30.58305,색조메이크업,아이메이크업
2025-01-13,10대,투크,47.52475,색조메이크업,아이메이크업
2025-01-20,10대,투크,37.18371,색조메이크업,아이메이크업
2025-01-27,10대,투크,40.044,색조메이크업,아이메이크업
2025-02-03,10대,투크,36.41364,색조메이크업,아이메이크업
2025-02-10,10대,투크,25.74257,색조메이크업,아이메이크업
2024-02-05,20대,투크,53.15638,색조메이크업,아이메이크업
2024-02-12,20대,투크,77.45098,색조메이크업,아이메이크업
2024-02-19,20대,투크,79.43567,색조메이크업,아이메이크업
2024-02-26,20대,투크,81.13342,색조메이크업,아이메이크업
2024-03-04,20대,투크,85.55714,색조메이크업,아이메이크업
2024-03-11,20대,투크,41.67862,색조메이크업,아이메이크업
2024-03-18,20대,투크,39.14395,색조메이크업,아이메이크업
2024-03-25,20대,투크,35.6767,색조메이크업,아이메이크업
2024-04-01,20대,투크,39.47871,색조메이크업,아이메이크업
2024-04-08,20대,투크,39.38307,색조메이크업,아이메이크업
2024-04-15,20대,투크,38.57006,색조메이크업,아이메이크업
2024-04-22,20대,투크,41.94165,색조메이크업,아이메이크업
2024-04-29,20대,투크,37.01578,색조메이크업,아이메이크업
2024-05-06,20대,투크,74.65327,색조메이크업,아이메이크업
2024-05-13,20대,투크,69.67957,색조메이크업,아이메이크업
2024-05-20,20대,투크,63.86896,색조메이크업,아이메이크업
2024-05-27,20대,투크,63.43854,색조메이크업,아이메이크업
2024-06-03,20대,투크,50.23912,색조메이크업,아이메이크업
2024-06-10,20대,투크,45.36107,색조메이크업,아이메이크업
2024-06-17,20대,투크,32.18555,색조메이크업,아이메이크업
2024-06-24,20대,투크,34.21807,색조메이크업,아이메이크업
2024-07-01,20대,투크,30.20086,색조메이크업,아이메이크업
2024-07-08,20대,투크,29.6987,색조메이크업,아이메이크업
2024-07-15,20대,투크,60.85604,색조메이크업,아이메이크업
2024-07-22,20대,투크,42.22859,색조메이크업,아이메이크업
2024-07-29,20대,투크,69.91869,색조메이크업,아이메이크업
2024-08-05,20대,투크,50.93256,색조메이크업,아이메이크업
2024-08-12,20대,투크,54.92587,색조메이크업,아이메이크업
2024-08-19,20대,투크,41.27211,색조메이크업,아이메이크업
2024-08-26,20대,투크,60.35389,색조메이크업,아이메이크업
2024-09-02,20대,투크,62.81683,색조메이크업,아이메이크업
2024-09-09,20대,투크,36.01147,색조메이크업,아이메이크업
2024-09-16,20대,투크,100.0,색조메이크업,아이메이크업
2024-09-23,20대,투크,63.24725,색조메이크업,아이메이크업
2024-09-30,20대,투크,52.0086,색조메이크업,아이메이크업
2024-10-07,20대,투크,32.92682,색조메이크업,아이메이크업
2024-10-14,20대,투크,36.08321,색조메이크업,아이메이크업
2024-10-21,20대,투크,34.8637,색조메이크업,아이메이크업
2024-10-28,20대,투크,31.92252,색조메이크업,아이메이크업
2024-11-04,20대,투크,31.03778,색조메이크업,아이메이크업
2024-11-11,20대,투크,28.5031,색조메이크업,아이메이크업
2024-11-18,20대,투크,25.58584,색조메이크업,아이메이크업
2024-11-25,20대,투크,38.97656,색조메이크업,아이메이크업
2024-12-02,20대,투크,41.41559,색조메이크업,아이메이크업
2024-12-09,20대,투크,38.06791,색조메이크업,아이메이크업
2024-12-16,20대,투크,85.74844,색조메이크업,아이메이크업
2024-12-23,20대,투크,56.40841,색조메이크업,아이메이크업
2024-12-30,20대,투크,34.76805,색조메이크업,아이메이크업
2025-01-06,20대,투크,39.52654,색조메이크업,아이메이크업
2025-01-13,20대,투크,43.95026,색조메이크업,아이메이크업
2025-01-20,20대,투크,33.50071,색조메이크업,아이메이크업
2025-01-27,20대,투크,36.96795,색조메이크업,아이메이크업
2025-02-03,20대,투크,43.20899,색조메이크업,아이메이크업
2025-02-10,20대,투크,29.77044,색조메이크업,아이메이크업
2024-02-05,30대,투크,42.757,색조메이크업,아이메이크업
2024-02-12,30대,투크,64.6028,색조메이크업,아이메이크업
2024-02-19,30대,투크,64.91433,색조메이크업,아이메이크업
2024-02-26,30대,투크,69.43146,색조메이크업,아이메이크업
2024-03-04,30대,투크,54.78971,색조메이크업,아이메이크업
2024-03-11,30대,투크,38.04517,색조메이크업,아이메이크업
2024-03-18,30대,투크,37.81152,색조메이크업,아이메이크업
2024-03-25,30대,투크,35.94236,색조메이크업,아이메이크업
2024-04-01,30대,투크,40.77102,색조메이크업,아이메이크업
2024-04-08,30대,투크,40.57632,색조메이크업,아이메이크업
2024-04-15,30대,투크,39.75856,색조메이크업,아이메이크업
