순위,브랜드,제품명,카테고리,평점,리뷰수,가격(円),발매일,url,업로드일,상품ID
1,ナンバーズイン(numbuzin),5番 白玉グルタチオンCふりかけマスク,シートマスク・パック,5.2,クチコミ6484件,1090,2024/1/15,https://www.cosme.net/products/10245780/,2025-02-21 00:43:00,10245780
2,rom&nd,ハンオールブロウカラ,眉マスカラ,5.4,クチコミ5885件,1210,2023/7/27 (2024/3/1追加発売),https://www.cosme.net/products/10235626/,2025-02-21 00:43:00,10235626
3,Torriden (トリデン),ダイブイン マスク,シートマスク・パック,5.4,クチコミ4721件,825,- (2023/6/20追加発売),https://www.cosme.net/products/10210539/,2025-02-21 00:43:00,10210539
4,fwee(フィー),フィー 3Dボリューミンググロス,リップグロス,5.4,クチコミ1580件,1760,2024/7/1,https://www.cosme.net/products/10254107/,2025-02-21 00:43:00,10254107
5,ナンバーズイン(numbuzin),3番 すべすべキメケアシートマスク,シートマスク・パック,5.0,クチコミ4396件,1090,2021/9/10 (2022/11/28追加発売),https://www.cosme.net/products/10216004/,2025-02-21 00:43:00,10216004
6,LANEIGE(ラネージュ),リップスリーピングマスク,リップケア・リップクリーム,5.3,クチコミ2916件,2750,2022/9/14 (2025/2/10追加発売),https://www.cosme.net/products/10165317/,2025-02-21 00:43:00,10165317
7,fwee(フィー),フィー リップアンドチーク ブラーリープリンポット,口紅,5.2,クチコミ1480件,1980,2024/4/22 (2025/2/20追加発売),https://www.cosme.net/products/10251711/,2025-02-21 00:43:00,10251711
8,LAGOM(ラゴム),ジェルトゥウォーター クレンザー,その他洗顔料,5.1,クチコミ1963件,2750,2019/5/28,https://www.cosme.net/products/10171625/,2025-02-21 00:43:00,10171625
9,Wonjungyo,ウォンジョンヨ ヌードアイラッシュ,マスカラ,5.3,クチコミ3047件,1430,2022/10/14 (2024/3/29追加発売),https://www.cosme.net/products/10228908/,2025-02-21 00:43:00,10228908
10,Torriden (トリデン),ソリッドイン セラミド リップエッセンス,リップケア・リップクリーム,4.9,クチコミ739件,880,- (2023/11/22追加発売),https://www.cosme.net/products/10218299/,2025-02-21 00:43:00,10218299
11,BIOHEAL BOH,プロバイオダーム(TM) 3D リフティングクリーム,フェイスクリーム,5.2,クチコミ908件,3300,2024/5/16,https://www.cosme.net/products/10251566/,2025-02-21 00:43:00,10251566
12,Torriden (トリデン),ダイブイン セラム,美容液,5.1,クチコミ1821件,3300,2021/3/1,https://www.cosme.net/products/10202882/,2025-02-21 00:43:00,10202882
13,Wonjungyo,ウォンジョンヨ メタルシャワーペンシル,ジェル・クリームアイシャドウ,5.2,クチコミ2185件,1650,2023/3/1 (2025/3/15追加発売),https://www.cosme.net/products/10235552/,2025-02-21 00:43:00,10235552
14,Torriden (トリデン),バランスフル シカ マスク,シートマスク・パック,5.1,クチコミ752件,825,2023/11/22 (2024/2/12追加発売),https://www.cosme.net/products/10248879/,2025-02-21 00:43:00,10248879
15,fwee(フィー),フィー フィンガーライク シリコン リップブラシ,メイクブラシ,5.2,クチコミ415件,880,2024/4/22 (2025/1/1追加発売),https://www.cosme.net/products/10256083/,2025-02-21 00:43:00,10256083
16,ナンバーズイン(numbuzin),2番 うるもち65％コラーゲンシートマスク,シートマスク・パック,5.0,クチコミ1426件,1090,2022/3/31 (2022/11/28追加発売),https://www.cosme.net/products/10222192/,2025-02-21 00:43:00,10222192
17,Anua,ドクダミ77 スージングトナー,化粧水,5.0,クチコミ5330件,2380,- (2022/4/25追加発売),https://www.cosme.net/products/10198590/,2025-02-21 00:43:00,10198590
18,ナンバーズイン(numbuzin),5番 白玉グルタチオンＣ美容液,美容液,5.0,クチコミ2177件,2420,2023/4/28,https://www.cosme.net/products/10239308/,2025-02-21 00:43:00,10239308
