플랫폼,브랜드,제품명,중분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,에스트라,에스트라 아토베리어365 크림 80ML 더블기획 (+세라히알 앰플 7ML+에이시카 세럼 3ML),1,스킨케어,크림,크림,4.9,25321,59400,44500.0
올리브영,에스트라,에스트라 아토베리어365 세라-히알 속수분 앰플 30ML+15ML 기획,2,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,1957,33000,24700.0
올리브영,에스트라,에스트라 아토베리어365 로션 150ml 리필 기획 (+150ML 리필 파우치 + 에이시카 세럼 3ML),3,스킨케어,로션,로션,4.9,2688,53400,39900.0
올리브영,바이오힐보,바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 30ml 리필 기획 (+프로그램14ml),4,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,2226,49500,27300.0
올리브영,구달,구달 청귤 비타C 잡티케어 세럼 70ml 대용량 어워즈 한정기획,5,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,28846,50000,32900.0
올리브영,바이오더마,바이오더마 시카비오 크림+ 100ml 기획 (+40ml 증정),6,스킨케어,크림,크림,4.8,3561,43000,33900.0
올리브영,토리든,토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),7,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,39708,36000,27000.0
올리브영,에스트라,에스트라 아토베리어365 크림미스트 120ml,8,스킨케어,미스트/오일,미스트/픽서,4.7,8269,23000,17200.0
올리브영,닥터자르트,닥터자르트 시카페어 인텐시브 수딩 리페어 세럼 30ml 1+1 기획,9,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,386,49000,41650.0
올리브영,라로슈포제,라로슈포제 시카플라스트 밤 B5+ 200ml 기획 (+시카PRO마스크 1매),10,스킨케어,크림,크림,4.8,21891,70000,49900.0
올리브영,차앤박,차앤박 더마앤서 액티브 부스트 PDRN앰플 30ml 기획 (+15ml 증정),11,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,4954,39000,26900.0
올리브영,웰라쥬,웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,12,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,25115,46000,29900.0
올리브영,바이오더마,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),13,스킨케어,크림,크림,4.8,11483,38000,28900.0
